seq_no=90,	ch0=1543, ch1= 301, ch2= 489, ch3= 505, ch4= 451, ch5=   0, ts=1714036271364486,	delta=788,
seq_no=91,	ch0=1542, ch1= 498, ch2= 274, ch3= 414, ch4= 516, ch5=   0, ts=1714036271365320,	delta=834,
seq_no=92,	ch0=1473, ch1= 717, ch2= 117, ch3= 329, ch4= 563, ch5=   2, ts=1714036271366161,	delta=841,
seq_no=93,	ch0=1353, ch1= 925, ch2=   0, ch3= 232, ch4= 597, ch5=  64, ts=1714036271367036,	delta=875,
seq_no=94,	ch0=1216, ch1=1128, ch2=   0, ch3= 171, ch4= 604, ch5= 117, ts=1714036271367859,	delta=823,
seq_no=95,	ch0=1028, ch1=1288, ch2=   0, ch3=  90, ch4= 582, ch5= 217, ts=1714036271368696,	delta=837,
seq_no=96,	ch0= 819, ch1=1459, ch2=  32, ch3=  28, ch4= 567, ch5= 312, ts=1714036271369551,	delta=855,
seq_no=97,	ch0= 613, ch1=1538, ch2= 261, ch3=   0, ch4= 511, ch5= 405, ts=1714036271370392,	delta=841,
seq_no=98,	ch0= 473, ch1=1629, ch2= 306, ch3=   0, ch4= 430, ch5= 358, ts=1714036271371244,	delta=852,
seq_no=99,	ch0= 230, ch1=1530, ch2= 540, ch3=   4, ch4= 406, ch5= 511, ts=1714036271372072,	delta=828,
seq_no=100,	ch0=  90, ch1=1516, ch2= 796, ch3=   8, ch4= 266, ch5= 570, ts=1714036271372914,	delta=842,
seq_no=101,	ch0=   0, ch1=1400, ch2=1016, ch3=  58, ch4= 192, ch5= 601, ts=1714036271373754,	delta=840,
seq_no=102,	ch0=   0, ch1=1238, ch2=1231, ch3= 126, ch4= 107, ch5= 602, ts=1714036271374632,	delta=878,
seq_no=103,	ch0=   0, ch1=1038, ch2=1433, ch3= 224, ch4=  36, ch5= 602, ts=1714036271375445,	delta=813,
seq_no=104,	ch0=  27, ch1= 826, ch2=1584, ch3= 320, ch4=   0, ch5= 560, ts=1714036271376283,	delta=838,
seq_no=105,	ch0= 119, ch1= 610, ch2=1701, ch3= 420, ch4=   0, ch5= 500, ts=1714036271377124,	delta=841,
seq_no=106,	ch0= 299, ch1= 401, ch2=1795, ch3= 496, ch4=   0, ch5= 438, ts=1714036271377963,	delta=839,
seq_no=107,	ch0= 497, ch1= 321, ch2=1712, ch3= 563, ch4=   0, ch5= 335, ts=1714036271378814,	delta=851,
seq_no=108,	ch0= 704, ch1=  75, ch2=1632, ch3= 610, ch4=   0, ch5= 274, ts=1714036271379649,	delta=835,
seq_no=109,	ch0= 868, ch1=   0, ch2=1548, ch3= 669, ch4=  57, ch5= 212, ts=1714036271380490,	delta=841,
seq_no=110,	ch0=1102, ch1=   0, ch2=1430, ch3= 653, ch4= 176, ch5= 109, ts=1714036271381333,	delta=843,
seq_no=111,	ch0=1330, ch1=   9, ch2=1075, ch3= 654, ch4= 229, ch5=   0, ts=1714036271382178,	delta=845,
seq_no=112,	ch0=1412, ch1=  45, ch2= 887, ch3= 625, ch4= 316, ch5=   2, ts=1714036271383025,	delta=847,
seq_no=113,	ch0=1507, ch1= 176, ch2= 642, ch3= 569, ch4= 402, ch5=   0, ts=1714036271383860,	delta=835,
seq_no=114,	ch0=1555, ch1= 357, ch2= 423, ch3= 495, ch4= 476, ch5=   0, ts=1714036271384702,	delta=842,
seq_no=115,	ch0=1528, ch1= 550, ch2= 250, ch3= 394, ch4= 530, ch5=   0, ts=1714036271385545,	delta=843,
seq_no=116,	ch0=1455, ch1= 764, ch2=  80, ch3= 303, ch4= 565, ch5=  13, ts=1714036271386386,	delta=841,
seq_no=117,	ch0=1330, ch1= 983, ch2=   0, ch3= 210, ch4= 586, ch5=  65, ts=1714036271387236,	delta=850,
seq_no=118,	ch0=1162, ch1=1176, ch2=   0, ch3= 116, ch4= 595, ch5= 138, ts=1714036271388073,	delta=837,
seq_no=119,	ch0= 968, ch1=1347, ch2=   0, ch3=  64, ch4= 590, ch5= 238, ts=1714036271389165,	delta=1092,
seq_no=120,	ch0= 794, ch1=1486, ch2=  46, ch3=  16, ch4= 553, ch5= 306, ts=1714036271389807,	delta=642,
seq_no=121,	ch0= 576, ch1=1525, ch2= 195, ch3=   0, ch4= 523, ch5= 389, ts=1714036271390673,	delta=866,
seq_no=122,	ch0= 274, ch1=1592, ch2= 406, ch3=  30, ch4= 399, ch5= 525, ts=1714036271391445,	delta=772,
seq_no=123,	ch0= 182, ch1=1559, ch2= 728, ch3=   0, ch4= 324, ch5= 525, ts=1714036271392280,	delta=835,
seq_no=124,	ch0=  56, ch1=1501, ch2= 851, ch3=  14, ch4= 239, ch5= 576, ts=1714036271393120,	delta=840,
seq_no=125,	ch0=   0, ch1=1359, ch2=1080, ch3=  75, ch4= 161, ch5= 605, ts=1714036271393965,	delta=845,
seq_no=126,	ch0=   0, ch1=1182, ch2=1282, ch3= 160, ch4=  96, ch5= 604, ts=1714036271394824,	delta=859,
seq_no=127,	ch0=   0, ch1= 981, ch2=1472, ch3= 253, ch4=  31, ch5= 588, ts=1714036271395662,	delta=838,
seq_no=128,	ch0=  57, ch1= 767, ch2=1615, ch3= 340, ch4=   0, ch5= 561, ts=1714036271396502,	delta=840,
seq_no=129,	ch0= 183, ch1= 657, ch2=1697, ch3= 426, ch4=   0, ch5= 470, ts=1714036271397339,	delta=837,
seq_no=130,	ch0= 353, ch1= 346, ch2=1738, ch3= 512, ch4=   0, ch5= 414, ts=1714036271398182,	delta=843,
seq_no=131,	ch0= 522, ch1= 192, ch2=1707, ch3= 608, ch4=   0, ch5= 321, ts=1714036271399033,	delta=851,
seq_no=132,	ch0= 738, ch1=  45, ch2=1679, ch3= 629, ch4=  22, ch5= 237, ts=1714036271399865,	delta=832,
seq_no=133,	ch0= 992, ch1=   0, ch2=1431, ch3= 653, ch4=  69, ch5=  85, ts=1714036271400709,	delta=844,
seq_no=134,	ch0=1136, ch1=   0, ch2=1269, ch3= 672, ch4= 218, ch5=  75, ts=1714036271401596,	delta=887,
seq_no=135,	ch0=1367, ch1=   0, ch2=1065, ch3= 662, ch4= 232, ch5=  25, ts=1714036271402396,	delta=800,
seq_no=136,	ch0=1447, ch1=  82, ch2= 814, ch3= 614, ch4= 335, ch5=   0, ts=1714036271403242,	delta=846,
seq_no=137,	ch0=1516, ch1= 224, ch2= 587, ch3= 550, ch4= 415, ch5=   0, ts=1714036271404072,	delta=830,
seq_no=138,	ch0=1542, ch1= 388, ch2= 378, ch3= 470, ch4= 484, ch5=   0, ts=1714036271404918,	delta=846,
seq_no=139,	ch0=1520, ch1= 593, ch2= 179, ch3= 375, ch4= 545, ch5=   0, ts=1714036271405758,	delta=840,
seq_no=140,	ch0=1430, ch1= 809, ch2=  43, ch3= 283, ch4= 594, ch5=  34, ts=1714036271406640,	delta=882,
seq_no=141,	ch0=1288, ch1=1028, ch2=   0, ch3= 192, ch4= 605, ch5=  92, ts=1714036271407444,	delta=804,
seq_no=142,	ch0=1134, ch1=1219, ch2=   0, ch3= 121, ch4= 597, ch5= 151, ts=1714036271408284,	delta=840,
seq_no=143,	ch0= 924, ch1=1376, ch2=   0, ch3=  42, ch4= 571, ch5= 263, ts=1714036271409129,	delta=845,
seq_no=144,	ch0= 693, ch1=1505, ch2=  88, ch3=   3, ch4= 540, ch5= 344, ts=1714036271409967,	delta=838,
seq_no=145,	ch0= 496, ch1=1624, ch2= 247, ch3=   0, ch4= 474, ch5= 407, ts=1714036271410818,	delta=851,
seq_no=146,	ch0= 339, ch1=1624, ch2= 397, ch3=   0, ch4= 435, ch5= 564, ts=1714036271411656,	delta=838,
seq_no=147,	ch0= 196, ch1=1623, ch2= 661, ch3=   1, ch4= 320, ch5= 517, ts=1714036271412493,	delta=837,
seq_no=148,	ch0=  31, ch1=1464, ch2= 901, ch3=  25, ch4= 225, ch5= 597, ts=1714036271413337,	delta=844,
seq_no=149,	ch0=   0, ch1=1324, ch2=1138, ch3=  90, ch4= 138, ch5= 604, ts=1714036271414177,	delta=840,
seq_no=150,	ch0=   0, ch1=1143, ch2=1344, ch3= 170, ch4=  76, ch5= 608, ts=1714036271415028,	delta=851,
seq_no=151,	ch0=   0, ch1= 931, ch2=1514, ch3= 273, ch4=  11, ch5= 579, ts=1714036271415862,	delta=834,
seq_no=152,	ch0=  77, ch1= 723, ch2=1651, ch3= 373, ch4=   0, ch5= 534, ts=1714036271416702,	delta=840,
seq_no=153,	ch0= 170, ch1= 502, ch2=1725, ch3= 503, ch4=   0, ch5= 474, ts=1714036271417548,	delta=846,
seq_no=154,	ch0= 389, ch1= 325, ch2=1735, ch3= 526, ch4=   0, ch5= 392, ts=1714036271418389,	delta=841,
seq_no=155,	ch0= 602, ch1= 154, ch2=1656, ch3= 586, ch4=   0, ch5= 362, ts=1714036271419237,	delta=848,
seq_no=156,	ch0= 812, ch1=   0, ch2=1569, ch3= 625, ch4=  77, ch5= 221, ts=1714036271420073,	delta=836,
seq_no=157,	ch0=1095, ch1=   0, ch2=1443, ch3= 649, ch4=  70, ch5= 145, ts=1714036271420913,	delta=840,
seq_no=158,	ch0=1164, ch1=   0, ch2=1216, ch3= 617, ch4= 186, ch5=  93, ts=1714036271421953,	delta=1040,
seq_no=159,	ch0=1344, ch1=  20, ch2= 890, ch3= 642, ch4= 274, ch5= 119, ts=1714036271422689,	delta=736,
seq_no=160,	ch0=1472, ch1= 103, ch2= 755, ch3= 603, ch4= 370, ch5=   0, ts=1714036271423462,	delta=773,
seq_no=161,	ch0=1533, ch1= 262, ch2= 529, ch3= 530, ch4= 440, ch5=   0, ts=1714036271424294,	delta=832,
seq_no=162,	ch0=1549, ch1= 448, ch2= 322, ch3= 450, ch4= 500, ch5=   0, ts=1714036271425129,	delta=835,
seq_no=163,	ch0=1501, ch1= 660, ch2= 148, ch3= 348, ch4= 548, ch5=   0, ts=1714036271425970,	delta=841,
seq_no=164,	ch0=1393, ch1= 871, ch2=  34, ch3= 258, ch4= 589, ch5=  42, ts=1714036271426823,	delta=853,
seq_no=165,	ch0=1248, ch1=1074, ch2=   0, ch3= 178, ch4= 598, ch5= 114, ts=1714036271427656,	delta=833,
seq_no=166,	ch0=1048, ch1=1261, ch2=   0, ch3= 101, ch4= 595, ch5= 200, ts=1714036271428496,	delta=840,
seq_no=167,	ch0= 871, ch1=1420, ch2=   1, ch3=  31, ch4= 564, ch5= 301, ts=1714036271429334,	delta=838,
seq_no=168,	ch0= 675, ch1=1535, ch2= 117, ch3=   0, ch4= 534, ch5= 366, ts=1714036271430190,	delta=856,
seq_no=169,	ch0= 453, ch1=1480, ch2= 292, ch3=   0, ch4= 541, ch5= 432, ts=1714036271431034,	delta=844,
seq_no=170,	ch0= 348, ch1=1588, ch2= 549, ch3=   0, ch4= 335, ch5= 509, ts=1714036271431867,	delta=833,
seq_no=171,	ch0=  96, ch1=1551, ch2= 728, ch3=   0, ch4= 278, ch5= 567, ts=1714036271432710,	delta=843,
seq_no=172,	ch0=   0, ch1=1434, ch2= 972, ch3=  37, ch4= 202, ch5= 595, ts=1714036271433547,	delta=837,
seq_no=173,	ch0=   0, ch1=1278, ch2=1187, ch3= 114, ch4= 126, ch5= 609, ts=1714036271434389,	delta=842,
seq_no=174,	ch0=   0, ch1=1095, ch2=1395, ch3= 200, ch4=  68, ch5= 600, ts=1714036271435239,	delta=850,
seq_no=175,	ch0=   8, ch1= 881, ch2=1543, ch3= 295, ch4=  11, ch5= 569, ts=1714036271436074,	delta=835,
seq_no=176,	ch0= 114, ch1= 674, ch2=1677, ch3= 386, ch4=   0, ch5= 530, ts=1714036271436918,	delta=844,
seq_no=177,	ch0= 266, ch1= 466, ch2=1715, ch3= 476, ch4=   0, ch5= 501, ts=1714036271437759,	delta=841,
seq_no=178,	ch0= 453, ch1= 230, ch2=1729, ch3= 549, ch4=  37, ch5= 361, ts=1714036271438639,	delta=880,
seq_no=179,	ch0= 699, ch1= 113, ch2=1686, ch3= 601, ch4=   5, ch5= 283, ts=1714036271439446,	delta=807,
seq_no=180,	ch0= 856, ch1=  10, ch2=1535, ch3= 633, ch4=  56, ch5= 201, ts=1714036271440288,	delta=842,
seq_no=181,	ch0=1047, ch1=   0, ch2=1297, ch3= 658, ch4= 115, ch5= 203, ts=1714036271441130,	delta=842,
seq_no=182,	ch0=1278, ch1=  52, ch2=1165, ch3= 654, ch4= 196, ch5=  43, ts=1714036271441972,	delta=842,
seq_no=183,	ch0=1495, ch1=  17, ch2= 952, ch3= 631, ch4= 244, ch5=   1, ts=1714036271442818,	delta=846,
seq_no=184,	ch0=1484, ch1= 146, ch2= 690, ch3= 576, ch4= 378, ch5=   0, ts=1714036271443654,	delta=836,
seq_no=185,	ch0=1539, ch1= 301, ch2= 474, ch3= 512, ch4= 452, ch5=   0, ts=1714036271444497,	delta=843,
seq_no=186,	ch0=1539, ch1= 492, ch2= 276, ch3= 427, ch4= 516, ch5=   0, ts=1714036271445338,	delta=841,
seq_no=187,	ch0=1476, ch1= 710, ch2= 108, ch3= 322, ch4= 565, ch5=   8, ts=1714036271446180,	delta=842,
seq_no=188,	ch0=1368, ch1= 924, ch2=   1, ch3= 226, ch4= 594, ch5=  64, ts=1714036271447021,	delta=841,
seq_no=189,	ch0=1214, ch1=1135, ch2=   0, ch3= 149, ch4= 590, ch5= 130, ts=1714036271447867,	delta=846,
seq_no=190,	ch0=1040, ch1=1311, ch2=   0, ch3=  86, ch4= 591, ch5= 204, ts=1714036271448707,	delta=840,
seq_no=191,	ch0= 804, ch1=1391, ch2=  45, ch3=  37, ch4= 562, ch5= 282, ts=1714036271449548,	delta=841,
seq_no=192,	ch0= 602, ch1=1550, ch2= 174, ch3=   0, ch4= 512, ch5= 376, ts=1714036271450434,	delta=886,
seq_no=193,	ch0= 389, ch1=1603, ch2= 346, ch3=   0, ch4= 438, ch5= 491, ts=1714036271451245,	delta=811,
seq_no=194,	ch0= 214, ch1=1583, ch2= 474, ch3=   0, ch4= 340, ch5= 632, ts=1714036271452078,	delta=833,
seq_no=195,	ch0= 117, ch1=1606, ch2= 782, ch3=  30, ch4= 274, ch5= 526, ts=1714036271452922,	delta=844,
seq_no=196,	ch0=   0, ch1=1399, ch2=1022, ch3=  64, ch4= 182, ch5= 600, ts=1714036271453761,	delta=839,
seq_no=197,	ch0=   0, ch1=1240, ch2=1238, ch3= 136, ch4= 105, ch5= 595, ts=1714036271454700,	delta=939,
seq_no=198,	ch0=   0, ch1=1042, ch2=1434, ch3= 226, ch4=  53, ch5= 597, ts=1714036271455487,	delta=787,
seq_no=199,	ch0=  26, ch1= 824, ch2=1583, ch3= 325, ch4=   0, ch5= 567, ts=1714036271456309,	delta=822,
seq_no=200,	ch0= 146, ch1= 610, ch2=1692, ch3= 417, ch4=   0, ch5= 514, ts=1714036271457138,	delta=829,
seq_no=201,	ch0= 337, ch1= 405, ch2=1729, ch3= 510, ch4=   0, ch5= 437, ts=1714036271457973,	delta=835,
seq_no=202,	ch0= 487, ch1= 234, ch2=1728, ch3= 545, ch4=   0, ch5= 354, ts=1714036271458830,	delta=857,
seq_no=203,	ch0= 697, ch1=  86, ch2=1612, ch3= 614, ch4=  14, ch5= 329, ts=1714036271459658,	delta=828,
seq_no=204,	ch0= 908, ch1=  30, ch2=1504, ch3= 649, ch4=  70, ch5= 162, ts=1714036271460499,	delta=841,
seq_no=205,	ch0=1228, ch1=   0, ch2=1329, ch3= 665, ch4=  98, ch5= 112, ts=1714036271461342,	delta=843,
seq_no=206,	ch0=1228, ch1=   0, ch2=1120, ch3= 629, ch4= 228, ch5=  54, ts=1714036271462182,	delta=840,
seq_no=207,	ch0=1409, ch1=  42, ch2= 972, ch3= 609, ch4= 355, ch5=  11, ts=1714036271463033,	delta=851,
