seq_no=74,	ch0= 743, ch1=  82, ch2= 302, ch3= 426, ch4= 289, ch5=   0, ts=1714038074611255,	delta=849,
seq_no=75,	ch0= 766, ch1= 159, ch2= 192, ch3= 361, ch4= 341, ch5=   0, ts=1714038074612090,	delta=835,
seq_no=76,	ch0= 757, ch1= 258, ch2= 102, ch3= 291, ch4= 370, ch5=   0, ts=1714038074612930,	delta=840,
seq_no=77,	ch0= 725, ch1= 371, ch2=  35, ch3= 224, ch4= 407, ch5=  10, ts=1714038074613774,	delta=844,
seq_no=78,	ch0= 650, ch1= 474, ch2=   0, ch3= 154, ch4= 440, ch5=  53, ts=1714038074614655,	delta=881,
seq_no=79,	ch0= 568, ch1= 568, ch2=   0, ch3= 100, ch4= 424, ch5=  97, ts=1714038074615694,	delta=1039,
seq_no=80,	ch0= 471, ch1= 652, ch2=   0, ch3=  45, ch4= 416, ch5= 182, ts=1714038074616368,	delta=674,
seq_no=81,	ch0= 366, ch1= 725, ch2=  21, ch3=  17, ch4= 401, ch5= 252, ts=1714038074617164,	delta=796,
seq_no=82,	ch0= 257, ch1= 884, ch2=  69, ch3=   2, ch4= 368, ch5= 274, ts=1714038074617997,	delta=833,
seq_no=83,	ch0= 192, ch1= 756, ch2= 170, ch3=   0, ch4= 227, ch5= 373, ts=1714038074618847,	delta=850,
seq_no=84,	ch0=   2, ch1= 766, ch2= 301, ch3=  27, ch4= 218, ch5= 462, ts=1714038074619727,	delta=880,
seq_no=85,	ch0=  25, ch1= 733, ch2= 417, ch3=   8, ch4= 164, ch5= 448, ts=1714038074620523,	delta=796,
seq_no=86,	ch0=   0, ch1= 670, ch2= 533, ch3=  56, ch4= 102, ch5= 468, ts=1714038074621354,	delta=831,
seq_no=87,	ch0=   0, ch1= 590, ch2= 640, ch3= 116, ch4=  64, ch5= 472, ts=1714038074622194,	delta=840,
seq_no=88,	ch0=   0, ch1= 495, ch2= 727, ch3= 184, ch4=  23, ch5= 454, ts=1714038074623048,	delta=854,
seq_no=89,	ch0=  13, ch1= 383, ch2= 802, ch3= 258, ch4=   0, ch5= 433, ts=1714038074623873,	delta=825,
seq_no=90,	ch0=  68, ch1= 256, ch2= 846, ch3= 320, ch4=   0, ch5= 388, ts=1714038074624713,	delta=840,
seq_no=91,	ch0= 174, ch1= 165, ch2= 824, ch3= 386, ch4=   0, ch5= 370, ts=1714038074625555,	delta=842,
seq_no=92,	ch0= 273, ch1=  37, ch2= 832, ch3= 426, ch4=  47, ch5= 244, ts=1714038074626396,	delta=841,
seq_no=93,	ch0= 420, ch1=  13, ch2= 796, ch3= 461, ch4=   1, ch5= 192, ts=1714038074627314,	delta=918,
seq_no=94,	ch0= 441, ch1=   0, ch2= 710, ch3= 437, ch4=  46, ch5= 133, ts=1714038074628099,	delta=785,
seq_no=95,	ch0= 553, ch1=  18, ch2= 675, ch3= 492, ch4= 130, ch5=  71, ts=1714038074628931,	delta=832,
seq_no=96,	ch0= 630, ch1= 124, ch2= 498, ch3= 501, ch4= 188, ch5=   0, ts=1714038074629764,	delta=833,
seq_no=97,	ch0= 704, ch1=  28, ch2= 406, ch3= 469, ch4= 241, ch5=   0, ts=1714038074630659,	delta=895,
seq_no=98,	ch0= 749, ch1=  91, ch2= 278, ch3= 409, ch4= 298, ch5=   0, ts=1714038074631451,	delta=792,
seq_no=99,	ch0= 761, ch1= 185, ch2= 171, ch3= 346, ch4= 350, ch5=   0, ts=1714038074632307,	delta=856,
seq_no=100,	ch0= 745, ch1= 283, ch2=  92, ch3= 267, ch4= 382, ch5=   0, ts=1714038074633144,	delta=837,
seq_no=101,	ch0= 705, ch1= 392, ch2=  10, ch3= 207, ch4= 410, ch5=  14, ts=1714038074633985,	delta=841,
seq_no=102,	ch0= 643, ch1= 501, ch2=   0, ch3= 145, ch4= 422, ch5=  64, ts=1714038074634837,	delta=852,
seq_no=103,	ch0= 519, ch1= 587, ch2=   0, ch3=  76, ch4= 420, ch5= 122, ts=1714038074635672,	delta=835,
seq_no=104,	ch0= 448, ch1= 676, ch2=   0, ch3=  37, ch4= 426, ch5= 204, ts=1714038074636510,	delta=838,
seq_no=105,	ch0= 365, ch1= 744, ch2=  14, ch3=   6, ch4= 393, ch5= 229, ts=1714038074637352,	delta=842,
seq_no=106,	ch0= 281, ch1= 719, ch2= 100, ch3=   0, ch4= 385, ch5= 320, ts=1714038074638193,	delta=841,
seq_no=107,	ch0=  42, ch1= 784, ch2= 192, ch3=  42, ch4= 270, ch5= 414, ts=1714038074639043,	delta=850,
seq_no=108,	ch0=  36, ch1= 796, ch2= 335, ch3=   0, ch4= 224, ch5= 429, ts=1714038074639879,	delta=836,
seq_no=109,	ch0=   5, ch1= 722, ch2= 442, ch3=  16, ch4= 145, ch5= 458, ts=1714038074640722,	delta=843,
seq_no=110,	ch0=   0, ch1= 649, ch2= 557, ch3=  71, ch4=  86, ch5= 471, ts=1714038074641561,	delta=839,
seq_no=111,	ch0=   0, ch1= 561, ch2= 660, ch3= 135, ch4=  56, ch5= 463, ts=1714038074642400,	delta=839,
seq_no=112,	ch0=   0, ch1= 456, ch2= 751, ch3= 201, ch4=  16, ch5= 457, ts=1714038074643251,	delta=851,
seq_no=113,	ch0=  24, ch1= 345, ch2= 814, ch3= 274, ch4=   0, ch5= 420, ts=1714038074644088,	delta=837,
seq_no=114,	ch0= 104, ch1= 240, ch2= 832, ch3= 346, ch4=   0, ch5= 413, ts=1714038074644929,	delta=841,
seq_no=115,	ch0= 188, ch1=  96, ch2= 839, ch3= 386, ch4=  45, ch5= 302, ts=1714038074645771,	delta=842,
seq_no=116,	ch0= 352, ch1=  58, ch2= 822, ch3= 433, ch4=   0, ch5= 235, ts=1714038074646647,	delta=876,
seq_no=117,	ch0= 357, ch1=  10, ch2= 764, ch3= 438, ch4=  10, ch5= 165, ts=1714038074647457,	delta=810,
seq_no=118,	ch0= 498, ch1=  18, ch2= 753, ch3= 493, ch4=  66, ch5=  96, ts=1714038074648296,	delta=839,
seq_no=119,	ch0= 587, ch1=  87, ch2= 589, ch3= 533, ch4= 141, ch5=  26, ts=1714038074649346,	delta=1050,
seq_no=120,	ch0= 662, ch1=   0, ch2= 488, ch3= 476, ch4= 157, ch5=  18, ts=1714038074650035,	delta=689,
seq_no=121,	ch0= 736, ch1=  38, ch2= 360, ch3= 452, ch4= 266, ch5=   0, ts=1714038074650852,	delta=817,
seq_no=122,	ch0= 752, ch1= 117, ch2= 242, ch3= 395, ch4= 322, ch5=   0, ts=1714038074651670,	delta=818,
seq_no=123,	ch0= 759, ch1= 208, ch2= 154, ch3= 323, ch4= 349, ch5=   0, ts=1714038074652509,	delta=839,
seq_no=124,	ch0= 736, ch1= 311, ch2=  65, ch3= 251, ch4= 382, ch5=   0, ts=1714038074653351,	delta=842,
seq_no=125,	ch0= 688, ch1= 425, ch2=   0, ch3= 192, ch4= 416, ch5=  29, ts=1714038074654189,	delta=838,
seq_no=126,	ch0= 608, ch1= 535, ch2=   0, ch3= 109, ch4= 434, ch5=  73, ts=1714038074655041,	delta=852,
seq_no=127,	ch0= 522, ch1= 622, ch2=   0, ch3=  74, ch4= 433, ch5= 142, ts=1714038074655865,	delta=824,
seq_no=128,	ch0= 421, ch1= 692, ch2=   0, ch3=  29, ch4= 405, ch5= 205, ts=1714038074656707,	delta=842,
seq_no=129,	ch0= 338, ch1= 704, ch2=  40, ch3=  13, ch4= 418, ch5= 279, ts=1714038074657549,	delta=842,
seq_no=130,	ch0=  96, ch1= 782, ch2= 116, ch3=  53, ch4= 325, ch5= 358, ts=1714038074658390,	delta=841,
seq_no=131,	ch0= 119, ch1= 839, ch2= 237, ch3=   0, ch4= 272, ch5= 414, ts=1714038074659264,	delta=874,
seq_no=132,	ch0=  57, ch1= 765, ch2= 354, ch3=   0, ch4= 201, ch5= 454, ts=1714038074660091,	delta=827,
seq_no=133,	ch0=   0, ch1= 702, ch2= 475, ch3=  29, ch4= 131, ch5= 474, ts=1714038074660929,	delta=838,
seq_no=134,	ch0=   0, ch1= 629, ch2= 591, ch3=  81, ch4=  86, ch5= 469, ts=1714038074661773,	delta=844,
