seq_no=103,	ch0= 306, ch1= 410, ch2=1747, ch3= 330, ch4=   0, ch5= 293, ts=1714036308919609,	delta=835,
seq_no=104,	ch0= 509, ch1= 224, ch2=1721, ch3= 373, ch4=   0, ch5= 224, ts=1714036308920450,	delta=841,
seq_no=105,	ch0= 719, ch1=  89, ch2=1636, ch3= 401, ch4=   9, ch5= 165, ts=1714036308921290,	delta=840,
seq_no=106,	ch0= 913, ch1=   0, ch2=1496, ch3= 416, ch4=  48, ch5= 114, ts=1714036308922133,	delta=843,
seq_no=107,	ch0=1108, ch1=   0, ch2=1295, ch3= 421, ch4=  86, ch5= 146, ts=1714036308922980,	delta=847,
seq_no=108,	ch0=1290, ch1=  53, ch2=1103, ch3= 418, ch4= 141, ch5=  13, ts=1714036308923817,	delta=837,
seq_no=109,	ch0=1519, ch1=  42, ch2= 872, ch3= 392, ch4= 176, ch5=   0, ts=1714036308924657,	delta=840,
seq_no=110,	ch0=1489, ch1= 181, ch2= 643, ch3= 329, ch4= 256, ch5=   0, ts=1714036308925503,	delta=846,
seq_no=111,	ch0=1529, ch1= 338, ch2= 530, ch3= 305, ch4= 337, ch5=   0, ts=1714036308926341,	delta=838,
seq_no=112,	ch0=1550, ch1= 546, ch2= 197, ch3= 254, ch4= 337, ch5=   0, ts=1714036308927191,	delta=850,
seq_no=113,	ch0=1468, ch1= 715, ch2=  45, ch3= 200, ch4= 427, ch5=   2, ts=1714036308928027,	delta=836,
seq_no=114,	ch0=1324, ch1= 976, ch2=   0, ch3= 121, ch4= 385, ch5=  56, ts=1714036308928867,	delta=840,
seq_no=115,	ch0=1167, ch1=1174, ch2=   0, ch3=  70, ch4= 388, ch5=  96, ts=1714036308929710,	delta=843,
seq_no=116,	ch0= 967, ch1=1349, ch2=   0, ch3=  36, ch4= 377, ch5= 141, ts=1714036308930551,	delta=841,
seq_no=117,	ch0= 753, ch1=1487, ch2=  69, ch3=   3, ch4= 356, ch5= 209, ts=1714036308931411,	delta=860,
seq_no=118,	ch0= 546, ch1=1580, ch2= 213, ch3=   0, ch4= 322, ch5= 260, ts=1714036308932244,	delta=833,
seq_no=119,	ch0= 346, ch1=1609, ch2= 407, ch3=   0, ch4= 267, ch5= 332, ts=1714036308933273,	delta=1029,
seq_no=120,	ch0= 178, ch1=1573, ch2= 617, ch3=   0, ch4= 202, ch5= 354, ts=1714036308933956,	delta=683,
seq_no=121,	ch0=  74, ch1=1504, ch2= 851, ch3=   5, ch4= 158, ch5= 361, ts=1714036308934788,	delta=832,
seq_no=122,	ch0=   0, ch1=1348, ch2=1079, ch3=  46, ch4=  96, ch5= 395, ts=1714036308935669,	delta=881,
seq_no=123,	ch0=  38, ch1=1184, ch2=1289, ch3=  98, ch4=  30, ch5= 390, ts=1714036308936461,	delta=792,
seq_no=124,	ch0=   0, ch1=1003, ch2=1483, ch3= 130, ch4=   0, ch5= 415, ts=1714036308937289,	delta=828,
seq_no=125,	ch0=  45, ch1= 813, ch2=1675, ch3= 224, ch4=   0, ch5= 370, ts=1714036308938131,	delta=842,
seq_no=126,	ch0= 186, ch1= 555, ch2=1720, ch3= 286, ch4=   0, ch5= 325, ts=1714036308938981,	delta=850,
seq_no=127,	ch0= 348, ch1= 356, ch2=1752, ch3= 343, ch4=   0, ch5= 271, ts=1714036308939815,	delta=834,
seq_no=128,	ch0= 553, ch1= 192, ch2=1702, ch3= 374, ch4=   0, ch5= 212, ts=1714036308940657,	delta=842,
seq_no=129,	ch0= 762, ch1=  57, ch2=1603, ch3= 411, ch4=  16, ch5= 157, ts=1714036308941496,	delta=839,
seq_no=130,	ch0= 965, ch1=   0, ch2=1472, ch3= 414, ch4=  46, ch5= 106, ts=1714036308942341,	delta=845,
seq_no=131,	ch0=1158, ch1=   0, ch2=1273, ch3= 428, ch4= 162, ch5=  40, ts=1714036308943189,	delta=848,
seq_no=132,	ch0=1415, ch1=   0, ch2=1060, ch3= 418, ch4= 138, ch5=   9, ts=1714036308944025,	delta=836,
seq_no=133,	ch0=1410, ch1=  78, ch2= 816, ch3= 362, ch4= 219, ch5=   0, ts=1714036308944866,	delta=841,
seq_no=134,	ch0=1516, ch1= 224, ch2= 635, ch3= 349, ch4= 273, ch5=   0, ts=1714036308945705,	delta=839,
seq_no=135,	ch0=1540, ch1= 520, ch2= 354, ch3= 289, ch4= 320, ch5=   0, ts=1714036308946550,	delta=845,
seq_no=136,	ch0=1536, ch1= 562, ch2= 182, ch3= 241, ch4= 363, ch5=   0, ts=1714036308947398,	delta=848,
seq_no=137,	ch0=1327, ch1= 812, ch2=  64, ch3= 224, ch4= 377, ch5=  56, ts=1714036308948237,	delta=839,
seq_no=138,	ch0=1287, ch1=1025, ch2=   0, ch3= 118, ch4= 380, ch5=  50, ts=1714036308949079,	delta=842,
seq_no=139,	ch0=1118, ch1=1224, ch2=   0, ch3=  70, ch4= 381, ch5= 102, ts=1714036308949919,	delta=840,
seq_no=140,	ch0= 908, ch1=1387, ch2=   0, ch3=  23, ch4= 374, ch5= 164, ts=1714036308950771,	delta=852,
seq_no=141,	ch0= 704, ch1=1513, ch2= 100, ch3=   0, ch4= 349, ch5= 229, ts=1714036308951604,	delta=833,
seq_no=142,	ch0= 507, ch1=1590, ch2= 255, ch3=   0, ch4= 313, ch5= 281, ts=1714036308952446,	delta=842,
seq_no=143,	ch0= 301, ch1=1603, ch2= 448, ch3=   0, ch4= 266, ch5= 328, ts=1714036308953288,	delta=842,
seq_no=144,	ch0= 154, ch1=1568, ch2= 661, ch3=   0, ch4= 196, ch5= 355, ts=1714036308954130,	delta=842,
seq_no=145,	ch0=  31, ch1=1472, ch2= 913, ch3=  13, ch4= 130, ch5= 405, ts=1714036308954981,	delta=851,
seq_no=146,	ch0=   0, ch1=1328, ch2=1138, ch3=  64, ch4=  73, ch5= 405, ts=1714036308955813,	delta=832,
seq_no=147,	ch0=   0, ch1=1189, ch2=1363, ch3= 100, ch4=  45, ch5= 386, ts=1714036308956658,	delta=845,
seq_no=148,	ch0=   0, ch1= 911, ch2=1436, ch3= 180, ch4=   5, ch5= 452, ts=1714036308957499,	delta=841,
seq_no=149,	ch0= 114, ch1= 756, ch2=1627, ch3= 272, ch4=   0, ch5= 314, ts=1714036308958339,	delta=840,
seq_no=150,	ch0= 228, ch1= 503, ch2=1728, ch3= 307, ch4=   0, ch5= 312, ts=1714036308959191,	delta=852,
seq_no=151,	ch0= 405, ch1= 320, ch2=1735, ch3= 344, ch4=   0, ch5= 260, ts=1714036308960026,	delta=835,
seq_no=152,	ch0= 609, ch1= 157, ch2=1694, ch3= 385, ch4=   0, ch5= 203, ts=1714036308960869,	delta=843,
seq_no=153,	ch0= 821, ch1=  31, ch2=1584, ch3= 418, ch4=  18, ch5= 138, ts=1714036308961708,	delta=839,
seq_no=154,	ch0=1011, ch1=   1, ch2=1422, ch3= 426, ch4=  64, ch5=  82, ts=1714036308962547,	delta=839,
seq_no=155,	ch0=1233, ch1=   2, ch2=1216, ch3= 471, ch4= 110, ch5=  36, ts=1714036308963395,	delta=848,
seq_no=156,	ch0=1344, ch1=   4, ch2= 995, ch3= 389, ch4= 176, ch5=   5, ts=1714036308964236,	delta=841,
seq_no=157,	ch0=1464, ch1= 106, ch2= 809, ch3= 384, ch4= 232, ch5=   4, ts=1714036308965077,	delta=841,
seq_no=158,	ch0=1534, ch1= 311, ch2= 518, ch3= 346, ch4= 296, ch5=   0, ts=1714036308966098,	delta=1021,
seq_no=159,	ch0=1547, ch1= 408, ch2= 315, ch3= 268, ch4= 272, ch5=   0, ts=1714036308966803,	delta=705,
seq_no=160,	ch0=1435, ch1= 650, ch2= 171, ch3= 242, ch4= 348, ch5=   9, ts=1714036308967613,	delta=810,
seq_no=161,	ch0=1396, ch1= 885, ch2= 107, ch3= 138, ch4= 402, ch5=  34, ts=1714036308968453,	delta=840,
seq_no=162,	ch0=1248, ch1=1082, ch2=   0, ch3= 102, ch4= 392, ch5=  65, ts=1714036308969289,	delta=836,
seq_no=163,	ch0=1063, ch1=1277, ch2=   2, ch3=  50, ch4= 383, ch5= 118, ts=1714036308970132,	delta=843,
seq_no=164,	ch0= 856, ch1=1420, ch2=   2, ch3=  12, ch4= 372, ch5= 183, ts=1714036308970983,	delta=851,
seq_no=165,	ch0= 656, ch1=1538, ch2= 125, ch3=   0, ch4= 341, ch5= 244, ts=1714036308971813,	delta=830,
seq_no=166,	ch0= 452, ch1=1600, ch2= 293, ch3=   0, ch4= 296, ch5= 301, ts=1714036308972657,	delta=844,
seq_no=167,	ch0= 261, ch1=1603, ch2= 498, ch3=   0, ch4= 242, ch5= 325, ts=1714036308973500,	delta=843,
seq_no=168,	ch0= 128, ch1=1536, ch2= 744, ch3=   0, ch4= 154, ch5= 365, ts=1714036308974341,	delta=841,
seq_no=169,	ch0=   0, ch1=1418, ch2= 982, ch3=  33, ch4= 116, ch5= 397, ts=1714036308975190,	delta=849,
seq_no=170,	ch0=   0, ch1=1285, ch2=1199, ch3=  79, ch4=  74, ch5= 390, ts=1714036308976022,	delta=832,
seq_no=171,	ch0=   0, ch1=1071, ch2=1309, ch3= 138, ch4=  22, ch5= 468, ts=1714036308976868,	delta=846,
seq_no=172,	ch0=  34, ch1= 939, ch2=1555, ch3= 218, ch4=   0, ch5= 343, ts=1714036308977707,	delta=839,
seq_no=173,	ch0= 224, ch1= 631, ch2=1696, ch3= 251, ch4=   0, ch5= 335, ts=1714036308978547,	delta=840,
seq_no=174,	ch0= 268, ch1= 451, ch2=1729, ch3= 320, ch4=   0, ch5= 297, ts=1714036308979397,	delta=850,
seq_no=175,	ch0= 454, ch1= 266, ch2=1716, ch3= 353, ch4=   0, ch5= 239, ts=1714036308980235,	delta=838,
seq_no=176,	ch0= 662, ch1= 125, ch2=1675, ch3= 394, ch4=   0, ch5= 195, ts=1714036308981076,	delta=841,
seq_no=177,	ch0= 869, ch1=   6, ch2=1539, ch3= 421, ch4=  21, ch5= 118, ts=1714036308981920,	delta=844,
seq_no=178,	ch0=1066, ch1=   1, ch2=1374, ch3= 425, ch4=  82, ch5=  70, ts=1714036308982772,	delta=852,
seq_no=179,	ch0=1222, ch1=   0, ch2=1165, ch3= 411, ch4= 144, ch5=  40, ts=1714036308983603,	delta=831,
seq_no=180,	ch0=1376, ch1=  25, ch2= 971, ch3= 406, ch4= 192, ch5=  57, ts=1714036308984486,	delta=883,
seq_no=181,	ch0=1493, ch1= 206, ch2= 679, ch3= 382, ch4= 253, ch5=   0, ts=1714036308985294,	delta=808,
seq_no=182,	ch0=1603, ch1= 291, ch2= 461, ch3= 320, ch4= 272, ch5=   0, ts=1714036308986130,	delta=836,
seq_no=183,	ch0=1472, ch1= 500, ch2= 308, ch3= 293, ch4= 320, ch5=  11, ts=1714036308986980,	delta=850,
seq_no=184,	ch0=1467, ch1= 690, ch2= 201, ch3= 197, ch4= 373, ch5=   0, ts=1714036308987814,	delta=834,
seq_no=185,	ch0=1388, ch1= 926, ch2=   0, ch3= 141, ch4= 383, ch5=   0, ts=1714036308988655,	delta=841,
seq_no=186,	ch0=1204, ch1=1135, ch2=   0, ch3=  89, ch4= 395, ch5=  77, ts=1714036308989496,	delta=841,
seq_no=187,	ch0=1012, ch1=1306, ch2=   0, ch3=  42, ch4= 383, ch5= 143, ts=1714036308990340,	delta=844,
seq_no=188,	ch0= 821, ch1=1451, ch2=  32, ch3=  11, ch4= 363, ch5= 194, ts=1714036308991187,	delta=847,
seq_no=189,	ch0= 597, ch1=1560, ch2= 164, ch3=   0, ch4= 335, ch5= 250, ts=1714036308992023,	delta=836,
seq_no=190,	ch0= 405, ch1=1607, ch2= 344, ch3=   0, ch4= 286, ch5= 309, ts=1714036308992864,	delta=841,
seq_no=191,	ch0= 232, ch1=1576, ch2= 566, ch3=   0, ch4= 218, ch5= 345, ts=1714036308993709,	delta=845,
seq_no=192,	ch0=  74, ch1=1520, ch2= 794, ch3=   4, ch4= 158, ch5= 389, ts=1714036308994549,	delta=840,
seq_no=193,	ch0=   0, ch1=1401, ch2=1031, ch3=  34, ch4=  92, ch5= 390, ts=1714036308995392,	delta=843,
seq_no=194,	ch0=   0, ch1=1241, ch2=1250, ch3=  89, ch4=  64, ch5= 392, ts=1714036308996235,	delta=843,
seq_no=195,	ch0=   2, ch1=1103, ch2=1432, ch3= 178, ch4=  29, ch5= 344, ts=1714036308997076,	delta=841,
seq_no=196,	ch0= 148, ch1= 794, ch2=1596, ch3= 213, ch4=   0, ch5= 363, ts=1714036308997919,	delta=843,
seq_no=197,	ch0=  94, ch1= 614, ch2=1724, ch3= 312, ch4=   0, ch5= 381, ts=1714036308998766,	delta=847,
seq_no=198,	ch0= 311, ch1= 404, ch2=1740, ch3= 324, ch4=   0, ch5= 293, ts=1714036308999635,	delta=869,
seq_no=199,	ch0= 506, ch1= 228, ch2=1720, ch3= 368, ch4=   0, ch5= 227, ts=1714036309000454,	delta=819,
seq_no=200,	ch0= 719, ch1=  88, ch2=1641, ch3= 396, ch4=   4, ch5= 173, ts=1714036309001284,	delta=830,
seq_no=201,	ch0= 915, ch1=   0, ch2=1504, ch3= 424, ch4=  37, ch5= 120, ts=1714036309002132,	delta=848,
seq_no=202,	ch0=1105, ch1=   0, ch2=1320, ch3= 426, ch4=  92, ch5=  64, ts=1714036309002987,	delta=855,
seq_no=203,	ch0=1278, ch1=   2, ch2=1158, ch3= 427, ch4= 152, ch5=  17, ts=1714036309003815,	delta=828,
seq_no=204,	ch0=1411, ch1=  52, ch2= 861, ch3= 395, ch4= 201, ch5=   0, ts=1714036309004651,	delta=836,
seq_no=205,	ch0=1506, ch1= 155, ch2= 640, ch3= 369, ch4= 293, ch5=   0, ts=1714036309005495,	delta=844,
seq_no=206,	ch0=1496, ch1= 339, ch2= 426, ch3= 367, ch4= 306, ch5=   0, ts=1714036309006335,	delta=840,
seq_no=207,	ch0=1505, ch1= 616, ch2= 229, ch3= 218, ch4= 350, ch5=   0, ts=1714036309007187,	delta=852,
