seq_no=188,	ch0=1795, ch1=2510, ch2=  21, ch3= 501, ch4= 166, ch5=  40, ts=1713174321606233,	delta=843,
seq_no=189,	ch0=2196, ch1=2424, ch2=  17, ch3= 500, ch4=  70, ch5=  97, ts=1713174321607081,	delta=848,
seq_no=190,	ch0=2378, ch1=2072, ch2=   8, ch3= 499, ch4=  50, ch5= 171, ts=1713174321607916,	delta=835,
seq_no=191,	ch0=2428, ch1=1632, ch2=  50, ch3= 482, ch4=   5, ch5= 234, ts=1713174321608758,	delta=842,
seq_no=192,	ch0=2456, ch1=1200, ch2= 326, ch3= 451, ch4=   0, ch5= 306, ts=1713174321609601,	delta=843,
seq_no=193,	ch0=2471, ch1= 786, ch2= 677, ch3= 404, ch4=   0, ch5= 361, ts=1713174321610445,	delta=844,
seq_no=194,	ch0=2455, ch1= 421, ch2=1103, ch3= 324, ch4=   0, ch5= 408, ts=1713174321611296,	delta=851,
seq_no=195,	ch0=2450, ch1= 134, ch2=1560, ch3= 253, ch4=  28, ch5= 448, ts=1713174321612132,	delta=836,
seq_no=196,	ch0=2407, ch1=  13, ch2=2017, ch3= 192, ch4=  53, ch5= 457, ts=1713174321612970,	delta=838,
seq_no=197,	ch0=2294, ch1=   9, ch2=2468, ch3= 122, ch4= 101, ch5= 460, ts=1713174321613815,	delta=845,
seq_no=198,	ch0=1956, ch1=   9, ch2=2630, ch3=  78, ch4= 158, ch5= 346, ts=1713174321614748,	delta=933,
seq_no=199,	ch0=1508, ch1= 146, ch2=2700, ch3=  67, ch4= 251, ch5= 389, ts=1713174321615577,	delta=829,
seq_no=200,	ch0=1088, ch1= 210, ch2=2723, ch3=   6, ch4= 382, ch5= 375, ts=1713174321616375,	delta=798,
seq_no=201,	ch0= 710, ch1= 662, ch2=2732, ch3=  20, ch4= 357, ch5= 334, ts=1713174321617198,	delta=823,
seq_no=202,	ch0= 366, ch1=1060, ch2=2723, ch3=  12, ch4= 405, ch5= 276, ts=1713174321618034,	delta=836,
seq_no=203,	ch0=  79, ch1=1479, ch2=2704, ch3=  34, ch4= 444, ch5= 205, ts=1713174321618891,	delta=857,
seq_no=204,	ch0=   0, ch1=1903, ch2=2672, ch3=  75, ch4= 450, ch5= 138, ts=1713174321619716,	delta=825,
seq_no=205,	ch0=   0, ch1=2296, ch2=2554, ch3= 123, ch4= 450, ch5=  77, ts=1713174321620561,	delta=845,
seq_no=206,	ch0=   0, ch1=2488, ch2=2126, ch3= 226, ch4= 438, ch5=  37, ts=1713174321621453,	delta=892,
seq_no=207,	ch0=  64, ch1=2540, ch2=1670, ch3= 264, ch4= 419, ch5=  10, ts=1713174321622249,	delta=796,
