seq_no=67,	ch0=  96, ch1= 635, ch2=1693, ch3=  90, ch4= 420, ch5=1126, ts=1712137735293497,	delta=848,
seq_no=68,	ch0=  26, ch1= 949, ch2=1582, ch3=  81, ch4= 592, ch5=1066, ts=1712137735294329,	delta=832,
seq_no=69,	ch0=   0, ch1=1059, ch2=1433, ch3=   5, ch4= 733, ch5= 988, ts=1712137735295171,	delta=842,
seq_no=70,	ch0=   0, ch1=1248, ch2=1236, ch3=   0, ch4= 856, ch5= 858, ts=1712137735296014,	delta=843,
seq_no=71,	ch0=   0, ch1=1408, ch2=1005, ch3=   0, ch4= 974, ch5= 711, ts=1712137735296855,	delta=841,
seq_no=72,	ch0=  92, ch1=1528, ch2= 790, ch3=  23, ch4=1050, ch5= 543, ts=1712137735297706,	delta=851,
seq_no=73,	ch0= 237, ch1=1602, ch2= 548, ch3= 107, ch4=1100, ch5= 386, ts=1712137735298541,	delta=835,
seq_no=74,	ch0= 416, ch1=1615, ch2= 386, ch3= 242, ch4=1127, ch5= 246, ts=1712137735299384,	delta=843,
seq_no=75,	ch0= 617, ch1=1550, ch2= 162, ch3= 405, ch4=1068, ch5= 126, ts=1712137735300229,	delta=845,
seq_no=76,	ch0= 825, ch1=1472, ch2=  98, ch3= 581, ch4=1050, ch5=  43, ts=1712137735301071,	delta=842,
seq_no=77,	ch0=1051, ch1=1285, ch2=   0, ch3= 756, ch4= 887, ch5=   0, ts=1712137735301980,	delta=909,
seq_no=78,	ch0=1198, ch1=1171, ch2=   0, ch3= 882, ch4= 811, ch5=   0, ts=1712137735302754,	delta=774,
seq_no=79,	ch0=1353, ch1= 842, ch2=   0, ch3=1006, ch4= 729, ch5=   0, ts=1712137735303882,	delta=1128,
seq_no=80,	ch0=1464, ch1= 711, ch2= 114, ch3=1111, ch4= 503, ch5=  37, ts=1712137735304483,	delta=601,
seq_no=81,	ch0=1540, ch1= 495, ch2= 274, ch3=1180, ch4= 342, ch5= 149, ts=1712137735305286,	delta=803,
seq_no=82,	ch0=1551, ch1= 312, ch2= 472, ch3=1221, ch4= 212, ch5= 283, ts=1712137735306145,	delta=859,
seq_no=83,	ch0=1500, ch1= 149, ch2= 698, ch3=1201, ch4= 106, ch5= 440, ts=1712137735306972,	delta=827,
seq_no=84,	ch0=1400, ch1=  26, ch2= 934, ch3=1151, ch4=  25, ch5= 602, ts=1712137735307819,	delta=847,
seq_no=85,	ch0=1248, ch1=   0, ch2=1155, ch3=1058, ch4=   0, ch5= 762, ts=1712137735308653,	delta=834,
seq_no=86,	ch0=1054, ch1=   0, ch2=1372, ch3= 919, ch4=   0, ch5= 903, ts=1712137735309511,	delta=858,
seq_no=87,	ch0= 875, ch1=  12, ch2=1541, ch3= 752, ch4=   0, ch5=1008, ts=1712137735310339,	delta=828,
seq_no=88,	ch0= 661, ch1= 121, ch2=1678, ch3= 582, ch4=  51, ch5=1089, ts=1712137735311176,	delta=837,
seq_no=89,	ch0= 437, ch1= 244, ch2=1651, ch3= 410, ch4= 158, ch5=1218, ts=1712137735312090,	delta=914,
seq_no=90,	ch0= 340, ch1= 448, ch2=1791, ch3= 283, ch4= 272, ch5=1163, ts=1712137735312928,	delta=838,
seq_no=91,	ch0= 121, ch1= 637, ch2=1605, ch3= 149, ch4= 448, ch5=1204, ts=1712137735314359,	delta=1431,
seq_no=92,	ch0=  10, ch1= 874, ch2=1562, ch3=  68, ch4= 608, ch5=1088, ts=1712137735314609,	delta=250,
seq_no=93,	ch0=   0, ch1=1081, ch2=1416, ch3=   0, ch4= 756, ch5= 972, ts=1712137735315471,	delta=862,
seq_no=94,	ch0=   0, ch1=1274, ch2=1203, ch3=   0, ch4= 887, ch5= 845, ts=1712137735316258,	delta=787,
seq_no=95,	ch0=  16, ch1=1428, ch2= 976, ch3=   0, ch4= 977, ch5= 676, ts=1712137735317086,	delta=828,
seq_no=96,	ch0= 116, ch1=1551, ch2= 737, ch3=  32, ch4=1052, ch5= 515, ts=1712137735317947,	delta=861,
seq_no=97,	ch0= 266, ch1=1608, ch2= 514, ch3= 129, ch4=1103, ch5= 362, ts=1712137735318770,	delta=823,
seq_no=98,	ch0= 455, ch1=1656, ch2= 304, ch3= 276, ch4=1166, ch5= 218, ts=1712137735319604,	delta=834,
seq_no=99,	ch0= 644, ch1=1548, ch2= 138, ch3= 422, ch4=1088, ch5= 108, ts=1712137735320450,	delta=846,
seq_no=100,	ch0= 884, ch1=1479, ch2=  10, ch3= 617, ch4=1022, ch5=   9, ts=1712137735321288,	delta=838,
seq_no=101,	ch0=1030, ch1=1282, ch2=   0, ch3= 729, ch4= 899, ch5=   0, ts=1712137735322137,	delta=849,
seq_no=102,	ch0=1230, ch1=1206, ch2=   0, ch3= 939, ch4= 778, ch5=   0, ts=1712137735322977,	delta=840,
seq_no=103,	ch0=1321, ch1= 887, ch2=  37, ch3=1072, ch4= 619, ch5=  23, ts=1712137735323812,	delta=835,
seq_no=104,	ch0=1496, ch1= 686, ch2= 146, ch3=1120, ch4= 470, ch5=  64, ts=1712137735324659,	delta=847,
seq_no=105,	ch0=1555, ch1= 474, ch2= 320, ch3=1173, ch4= 313, ch5= 169, ts=1712137735325516,	delta=857,
seq_no=106,	ch0=1551, ch1= 284, ch2= 514, ch3=1216, ch4= 186, ch5= 306, ts=1712137735326346,	delta=830,
seq_no=107,	ch0=1493, ch1= 133, ch2= 737, ch3=1197, ch4=  78, ch5= 455, ts=1712137735327188,	delta=842,
seq_no=108,	ch0=1380, ch1=  11, ch2= 977, ch3=1140, ch4=   0, ch5= 636, ts=1712137735328026,	delta=838,
seq_no=109,	ch0=1224, ch1=   0, ch2=1205, ch3=1027, ch4=   0, ch5= 783, ts=1712137735328868,	delta=842,
seq_no=110,	ch0=1040, ch1=   0, ch2=1378, ch3= 891, ch4=   0, ch5= 916, ts=1712137735329720,	delta=852,
seq_no=111,	ch0= 834, ch1=  13, ch2=1558, ch3= 726, ch4=   0, ch5=1028, ts=1712137735330553,	delta=833,
seq_no=112,	ch0= 622, ch1= 136, ch2=1676, ch3= 550, ch4=  66, ch5=1107, ts=1712137735331395,	delta=842,
seq_no=113,	ch0= 448, ch1= 260, ch2=1728, ch3= 383, ch4= 104, ch5=1149, ts=1712137735332236,	delta=841,
seq_no=114,	ch0= 241, ch1= 510, ch2=1807, ch3= 241, ch4= 344, ch5=1181, ts=1712137735333081,	delta=845,
seq_no=115,	ch0= 109, ch1= 664, ch2=1687, ch3= 122, ch4= 409, ch5=1143, ts=1712137735333932,	delta=851,
seq_no=116,	ch0=   0, ch1= 914, ch2=1538, ch3=  40, ch4= 626, ch5=1075, ts=1712137735334769,	delta=837,
seq_no=117,	ch0=   0, ch1=1126, ch2=1372, ch3=   0, ch4= 772, ch5= 961, ts=1712137735335608,	delta=839,
seq_no=118,	ch0=   0, ch1=1313, ch2=1162, ch3=   0, ch4= 905, ch5= 818, ts=1712137735336449,	delta=841,
seq_no=119,	ch0=  17, ch1=1431, ch2= 930, ch3=   0, ch4=1000, ch5= 672, ts=1712137735337723,	delta=1274,
seq_no=120,	ch0= 146, ch1=1555, ch2= 698, ch3=  50, ch4=1075, ch5= 491, ts=1712137735338192,	delta=469,
seq_no=121,	ch0= 296, ch1=1672, ch2= 470, ch3= 170, ch4=1126, ch5= 322, ts=1712137735338993,	delta=801,
seq_no=122,	ch0= 454, ch1=1600, ch2= 272, ch3= 273, ch4=1120, ch5= 204, ts=1712137735339830,	delta=837,
seq_no=123,	ch0= 684, ch1=1613, ch2= 102, ch3= 473, ch4=1089, ch5=  79, ts=1712137735340664,	delta=834,
seq_no=124,	ch0= 873, ch1=1427, ch2=   0, ch3= 594, ch4=1014, ch5=  20, ts=1712137735341524,	delta=860,
seq_no=125,	ch0=1088, ch1=1300, ch2=   0, ch3= 804, ch4= 887, ch5=   0, ts=1712137735342352,	delta=828,
seq_no=126,	ch0=1169, ch1=1051, ch2=   0, ch3=1001, ch4= 749, ch5=  23, ts=1712137735343195,	delta=843,
seq_no=127,	ch0=1413, ch1= 857, ch2=   0, ch3=1047, ch4= 619, ch5=  50, ts=1712137735344034,	delta=839,
seq_no=128,	ch0=1509, ch1= 648, ch2= 161, ch3=1137, ch4= 443, ch5=  76, ts=1712137735344875,	delta=841,
seq_no=129,	ch0=1555, ch1= 425, ch2= 346, ch3=1196, ch4= 295, ch5= 192, ts=1712137735345727,	delta=852,
seq_no=130,	ch0=1545, ch1= 250, ch2= 548, ch3=1212, ch4= 176, ch5= 335, ts=1712137735346562,	delta=835,
seq_no=131,	ch0=1464, ch1= 101, ch2= 783, ch3=1190, ch4=  69, ch5= 496, ts=1712137735347404,	delta=842,
seq_no=132,	ch0=1348, ch1=   0, ch2=1011, ch3=1121, ch4=   2, ch5= 661, ts=1712137735348308,	delta=904,
seq_no=133,	ch0=1187, ch1=   0, ch2=1236, ch3=1019, ch4=   0, ch5= 808, ts=1712137735349095,	delta=787,
seq_no=134,	ch0= 998, ch1=   0, ch2=1439, ch3= 864, ch4=   0, ch5= 939, ts=1712137735349941,	delta=846,
seq_no=135,	ch0= 780, ch1=  29, ch2=1593, ch3= 693, ch4=   6, ch5=1048, ts=1712137735350772,	delta=831,
seq_no=136,	ch0= 576, ch1= 100, ch2=1699, ch3= 527, ch4= 134, ch5=1112, ts=1712137735351618,	delta=846,
seq_no=137,	ch0= 365, ch1= 322, ch2=1860, ch3= 354, ch4= 202, ch5=1159, ts=1712137735352458,	delta=840,
seq_no=138,	ch0= 226, ch1= 482, ch2=1714, ch3= 251, ch4= 389, ch5=1160, ts=1712137735353302,	delta=844,
seq_no=139,	ch0=  82, ch1= 736, ch2=1704, ch3= 118, ch4= 506, ch5=1133, ts=1712137735354149,	delta=847,
seq_no=140,	ch0=   0, ch1= 953, ch2=1516, ch3=  36, ch4= 663, ch5=1048, ts=1712137735354989,	delta=840,
seq_no=141,	ch0=   0, ch1=1154, ch2=1341, ch3=   0, ch4= 816, ch5= 933, ts=1712137735355829,	delta=840,
