seq_no=95,	ch0=1431, ch1=  83, ch2=2685, ch3= 437, ch4=   8, ch5= 168, ts=1714037838370293,	delta=841,
seq_no=96,	ch0=1856, ch1=  13, ch2=2664, ch3= 442, ch4=  50, ch5= 109, ts=1714037838371144,	delta=851,
seq_no=97,	ch0=2241, ch1=   2, ch2=2515, ch3= 440, ch4=  93, ch5=  52, ts=1714037838371980,	delta=836,
seq_no=98,	ch0=2401, ch1=   0, ch2=2080, ch3= 435, ch4= 155, ch5=  22, ts=1714037838372824,	delta=844,
seq_no=99,	ch0=2440, ch1= 100, ch2=1664, ch3= 432, ch4= 207, ch5=   0, ts=1714037838373662,	delta=838,
seq_no=100,	ch0=2462, ch1= 413, ch2=1177, ch3= 358, ch4= 270, ch5=  26, ts=1714037838374506,	delta=844,
seq_no=101,	ch0=2465, ch1= 713, ch2= 656, ch3= 335, ch4= 320, ch5=  77, ts=1714037838375355,	delta=849,
seq_no=102,	ch0=2451, ch1=1138, ch2= 342, ch3= 253, ch4= 352, ch5=   0, ts=1714037838376197,	delta=842,
seq_no=103,	ch0=2435, ch1=1570, ch2=  65, ch3= 195, ch4= 365, ch5=  14, ts=1714037838377035,	delta=838,
seq_no=104,	ch0=2400, ch1=2007, ch2=   5, ch3= 128, ch4= 384, ch5=  46, ts=1714037838377873,	delta=838,
seq_no=105,	ch0=2200, ch1=2390, ch2=   5, ch3=  74, ch4= 373, ch5=  99, ts=1714037838378782,	delta=909,
seq_no=106,	ch0=1822, ch1=2504, ch2=  13, ch3=  40, ch4= 373, ch5= 165, ts=1714037838379566,	delta=784,
seq_no=107,	ch0=1459, ch1=2538, ch2= 147, ch3=   5, ch4= 334, ch5= 233, ts=1714037838380405,	delta=839,
seq_no=108,	ch0= 994, ch1=2560, ch2= 448, ch3=   0, ch4= 303, ch5= 268, ts=1714037838381247,	delta=842,
seq_no=109,	ch0= 610, ch1=2552, ch2= 811, ch3=   4, ch4= 269, ch5= 360, ts=1714037838382089,	delta=842,
seq_no=110,	ch0= 281, ch1=2559, ch2=1269, ch3=   4, ch4= 236, ch5= 346, ts=1714037838382939,	delta=850,
seq_no=111,	ch0=   0, ch1=2524, ch2=1732, ch3=  79, ch4= 122, ch5= 406, ts=1714037838383774,	delta=835,
seq_no=112,	ch0=   0, ch1=2476, ch2=2205, ch3=  42, ch4=  73, ch5= 365, ts=1714037838384614,	delta=840,
seq_no=113,	ch0=   0, ch1=2267, ch2=2528, ch3= 121, ch4=  57, ch5= 425, ts=1714037838385456,	delta=842,
seq_no=114,	ch0=   0, ch1=1841, ch2=2679, ch3= 199, ch4=  10, ch5= 363, ts=1714037838386298,	delta=842,
seq_no=115,	ch0= 113, ch1=1409, ch2=2713, ch3= 267, ch4=   0, ch5= 348, ts=1714037838387146,	delta=848,
seq_no=116,	ch0= 407, ch1= 992, ch2=2727, ch3= 322, ch4=   0, ch5= 309, ts=1714037838387984,	delta=838,
seq_no=117,	ch0= 756, ch1= 617, ch2=2668, ch3= 365, ch4=   0, ch5= 261, ts=1714037838388826,	delta=842,
seq_no=118,	ch0=1151, ch1= 273, ch2=2716, ch3= 402, ch4=   0, ch5= 217, ts=1714037838389667,	delta=841,
seq_no=119,	ch0=1563, ch1=  13, ch2=2689, ch3= 449, ch4=  21, ch5= 125, ts=1714037838390778,	delta=1111,
seq_no=120,	ch0=1952, ch1=   2, ch2=2639, ch3= 441, ch4=  58, ch5=  93, ts=1714037838391409,	delta=631,
seq_no=121,	ch0=2328, ch1=  13, ch2=2414, ch3= 450, ch4= 125, ch5=  50, ts=1714037838392212,	delta=803,
seq_no=122,	ch0=2404, ch1=  76, ch2=1940, ch3= 449, ch4= 177, ch5=   0, ts=1714037838393046,	delta=834,
seq_no=123,	ch0=2472, ch1= 170, ch2=1505, ch3= 421, ch4= 185, ch5=   0, ts=1714037838393886,	delta=840,
seq_no=124,	ch0=2472, ch1= 483, ch2=1041, ch3= 296, ch4= 272, ch5=   0, ts=1714037838394737,	delta=851,
seq_no=125,	ch0=2470, ch1= 858, ch2= 674, ch3= 312, ch4= 329, ch5=   0, ts=1714037838395563,	delta=826,
seq_no=126,	ch0=2456, ch1=1250, ch2= 280, ch3= 246, ch4= 357, ch5=   2, ts=1714037838396409,	delta=846,
seq_no=127,	ch0=2422, ch1=1694, ch2=   0, ch3= 173, ch4= 377, ch5=  26, ts=1714037838397251,	delta=842,
seq_no=128,	ch0=2371, ch1=2112, ch2=   4, ch3= 117, ch4= 373, ch5=  67, ts=1714037838398093,	delta=842,
seq_no=129,	ch0=2111, ch1=2456, ch2=   6, ch3=  64, ch4= 365, ch5= 116, ts=1714037838398947,	delta=854,
seq_no=130,	ch0=1712, ch1=2520, ch2=  21, ch3=  25, ch4= 362, ch5= 161, ts=1714037838399778,	delta=831,
seq_no=131,	ch0=1413, ch1=2544, ch2= 194, ch3=   5, ch4= 320, ch5= 230, ts=1714037838400620,	delta=842,
seq_no=132,	ch0= 876, ch1=2551, ch2= 526, ch3=   0, ch4= 307, ch5= 285, ts=1714037838401462,	delta=842,
seq_no=133,	ch0= 525, ch1=2555, ch2= 967, ch3=   0, ch4= 242, ch5= 332, ts=1714037838402303,	delta=841,
seq_no=134,	ch0= 205, ch1=2541, ch2=1387, ch3=  48, ch4= 204, ch5= 312, ts=1714037838403154,	delta=851,
seq_no=135,	ch0=  64, ch1=2520, ch2=1886, ch3=  45, ch4=  89, ch5= 370, ts=1714037838403987,	delta=833,
seq_no=136,	ch0=   0, ch1=2456, ch2=2288, ch3=  13, ch4=  64, ch5= 360, ts=1714037838404831,	delta=844,
seq_no=137,	ch0=   0, ch1=2150, ch2=2639, ch3= 137, ch4=  37, ch5= 378, ts=1714037838405672,	delta=841,
seq_no=138,	ch0=   0, ch1=1728, ch2=2683, ch3= 212, ch4=   2, ch5= 370, ts=1714037838406514,	delta=842,
seq_no=139,	ch0= 187, ch1=1308, ch2=2716, ch3= 281, ch4=   0, ch5= 334, ts=1714037838407363,	delta=849,
seq_no=140,	ch0= 488, ch1= 903, ch2=2727, ch3= 335, ch4=   0, ch5= 297, ts=1714037838408203,	delta=840,
seq_no=141,	ch0= 854, ch1= 517, ch2=2731, ch3= 384, ch4=   0, ch5= 260, ts=1714037838409046,	delta=843,
seq_no=142,	ch0=1261, ch1= 193, ch2=2712, ch3= 422, ch4=   1, ch5= 178, ts=1714037838410205,	delta=1159,
seq_no=143,	ch0=1676, ch1=   0, ch2=2684, ch3= 448, ch4=  36, ch5= 121, ts=1714037838410805,	delta=600,
seq_no=144,	ch0=2040, ch1=   0, ch2=2616, ch3= 448, ch4=  53, ch5=  92, ts=1714037838411589,	delta=784,
seq_no=145,	ch0=2369, ch1=  16, ch2=2289, ch3= 448, ch4= 113, ch5=  32, ts=1714037838412421,	delta=832,
seq_no=146,	ch0=2423, ch1=  13, ch2=1763, ch3= 438, ch4= 202, ch5=  54, ts=1714037838413259,	delta=838,
seq_no=147,	ch0=2438, ch1= 162, ch2=1359, ch3= 395, ch4= 312, ch5=   0, ts=1714037838414100,	delta=841,
seq_no=148,	ch0=2461, ch1= 551, ch2= 932, ch3= 415, ch4= 273, ch5=   0, ts=1714037838414953,	delta=853,
