seq_no=101,	ch0= 751, ch1= 141, ch2= 245, ch3= 435, ch4= 354, ch5=   0, ts=1714038040069444,	delta=841,
seq_no=102,	ch0= 754, ch1= 226, ch2= 144, ch3= 363, ch4= 409, ch5=   0, ts=1714038040070284,	delta=840,
seq_no=103,	ch0= 730, ch1= 322, ch2=  64, ch3= 281, ch4= 448, ch5=   0, ts=1714038040071132,	delta=848,
seq_no=104,	ch0= 683, ch1= 434, ch2=   0, ch3= 204, ch4= 482, ch5=  42, ts=1714038040071969,	delta=837,
seq_no=105,	ch0= 616, ch1= 530, ch2=   0, ch3= 137, ch4= 495, ch5=  96, ts=1714038040072809,	delta=840,
seq_no=106,	ch0= 512, ch1= 629, ch2=   0, ch3=  72, ch4= 490, ch5= 169, ts=1714038040073652,	delta=843,
seq_no=107,	ch0= 411, ch1= 704, ch2=   0, ch3=  23, ch4= 455, ch5= 312, ts=1714038040074492,	delta=840,
seq_no=108,	ch0= 309, ch1= 832, ch2=  57, ch3=   0, ch4= 425, ch5= 302, ts=1714038040075333,	delta=841,
seq_no=109,	ch0= 209, ch1= 773, ch2= 149, ch3=   0, ch4= 320, ch5= 381, ts=1714038040076177,	delta=844,
seq_no=110,	ch0=  37, ch1= 778, ch2= 276, ch3=  33, ch4= 274, ch5= 474, ts=1714038040077021,	delta=844,
seq_no=111,	ch0=  34, ch1= 759, ch2= 405, ch3=   0, ch4= 212, ch5= 454, ts=1714038040077860,	delta=839,
seq_no=112,	ch0=   1, ch1= 707, ch2= 429, ch3=  37, ch4= 170, ch5= 566, ts=1714038040078712,	delta=852,
seq_no=113,	ch0=   0, ch1= 619, ch2= 608, ch3=  98, ch4=  92, ch5= 499, ts=1714038040079541,	delta=829,
seq_no=114,	ch0=   0, ch1= 519, ch2= 706, ch3= 173, ch4=  44, ch5= 500, ts=1714038040080384,	delta=843,
seq_no=115,	ch0=   0, ch1= 415, ch2= 764, ch3= 253, ch4=   5, ch5= 473, ts=1714038040081226,	delta=842,
