seq_no=105,	ch0=2319, ch1= 602, ch2= 481, ch3= 945, ch4=1112, ch5=   0, ts=1714036808808428,	delta=840,
seq_no=106,	ch0=2301, ch1= 986, ch2= 229, ch3= 741, ch4=1099, ch5=   9, ts=1714036808809271,	delta=843,
seq_no=107,	ch0=2064, ch1=1348, ch2=  26, ch3= 534, ch4=1208, ch5= 117, ts=1714036808810115,	delta=844,
seq_no=108,	ch0=1875, ch1=1642, ch2=   0, ch3= 390, ch4=1235, ch5= 262, ts=1714036808810962,	delta=847,
seq_no=109,	ch0=1600, ch1=1927, ch2=  10, ch3= 253, ch4=1240, ch5= 455, ts=1714036808811800,	delta=838,
seq_no=110,	ch0=1308, ch1=2156, ch2=  40, ch3= 136, ch4=1195, ch5= 664, ts=1714036808812644,	delta=844,
seq_no=111,	ch0= 988, ch1=2342, ch2= 219, ch3=  24, ch4=1095, ch5= 852, ts=1714036808813487,	delta=843,
seq_no=112,	ch0= 695, ch1=2414, ch2= 490, ch3=   0, ch4= 952, ch5=1002, ts=1714036808814328,	delta=841,
seq_no=113,	ch0= 422, ch1=2380, ch2= 804, ch3=   0, ch4= 785, ch5=1129, ts=1714036808815177,	delta=849,
seq_no=114,	ch0= 123, ch1=2312, ch2=1141, ch3=  64, ch4= 591, ch5=1248, ts=1714036808816013,	delta=836,
seq_no=115,	ch0=   4, ch1=2144, ch2=1485, ch3=  86, ch4= 423, ch5=1328, ts=1714036808816854,	delta=841,
seq_no=116,	ch0=  14, ch1=1926, ch2=1772, ch3= 249, ch4= 311, ch5=1414, ts=1714036808817696,	delta=842,
seq_no=117,	ch0=   0, ch1=1571, ch2=2112, ch3= 457, ch4= 201, ch5=1344, ts=1714036808818540,	delta=844,
seq_no=118,	ch0=   0, ch1=1311, ch2=2354, ch3= 720, ch4=  45, ch5=1296, ts=1714036808819387,	delta=847,
seq_no=119,	ch0= 174, ch1= 988, ch2=2558, ch3= 847, ch4=   0, ch5=1196, ts=1714036808820431,	delta=1044,
seq_no=120,	ch0= 430, ch1= 694, ch2=2592, ch3=1008, ch4=   0, ch5=1038, ts=1714036808821106,	delta=675,
seq_no=121,	ch0= 711, ch1= 406, ch2=2596, ch3=1143, ch4=   0, ch5= 859, ts=1714036808821922,	delta=816,
seq_no=122,	ch0=1023, ch1= 178, ch2=2503, ch3=1265, ch4=  22, ch5= 635, ts=1714036808822774,	delta=852,
seq_no=123,	ch0=1322, ch1=  10, ch2=2303, ch3=1358, ch4= 138, ch5= 468, ts=1714036808823597,	delta=823,
seq_no=124,	ch0=1623, ch1=   0, ch2=2043, ch3=1406, ch4= 277, ch5= 309, ts=1714036808824439,	delta=842,
seq_no=125,	ch0=1888, ch1=   0, ch2=1729, ch3=1399, ch4= 450, ch5= 176, ts=1714036808825279,	delta=840,
seq_no=126,	ch0=2095, ch1=  64, ch2=1399, ch3=1361, ch4= 629, ch5=  76, ts=1714036808826125,	delta=846,
seq_no=127,	ch0=2242, ch1= 250, ch2=1043, ch3=1255, ch4= 816, ch5=   0, ts=1714036808826976,	delta=851,
seq_no=128,	ch0=2294, ch1= 576, ch2= 677, ch3=1107, ch4= 949, ch5=   0, ts=1714036808827805,	delta=829,
seq_no=129,	ch0=2446, ch1= 760, ch2= 410, ch3= 888, ch4=1003, ch5=   2, ts=1714036808828649,	delta=844,
seq_no=130,	ch0=2165, ch1=1088, ch2= 177, ch3= 609, ch4=1137, ch5=   9, ts=1714036808829494,	delta=845,
seq_no=131,	ch0=2032, ch1=1413, ch2=   0, ch3= 507, ch4=1228, ch5= 136, ts=1714036808830332,	delta=838,
seq_no=132,	ch0=1804, ch1=1712, ch2=   0, ch3= 354, ch4=1244, ch5= 320, ts=1714036808831185,	delta=853,
seq_no=133,	ch0=1527, ch1=1989, ch2=   2, ch3= 220, ch4=1230, ch5= 518, ts=1714036808832017,	delta=832,
seq_no=134,	ch0=1231, ch1=2215, ch2=  86, ch3= 107, ch4=1165, ch5= 709, ts=1714036808832863,	delta=846,
seq_no=135,	ch0= 910, ch1=2370, ch2= 298, ch3=  14, ch4=1067, ch5= 883, ts=1714036808833705,	delta=842,
seq_no=136,	ch0= 615, ch1=2432, ch2= 560, ch3=   0, ch4= 912, ch5=1035, ts=1714036808834653,	delta=948,
seq_no=137,	ch0= 440, ch1=2392, ch2= 884, ch3=   0, ch4= 707, ch5=1176, ts=1714036808835403,	delta=750,
seq_no=138,	ch0= 109, ch1=2281, ch2=1231, ch3=   0, ch4= 543, ch5=1279, ts=1714036808836231,	delta=828,
seq_no=139,	ch0=   0, ch1=2098, ch2=1603, ch3= 124, ch4= 388, ch5=1346, ts=1714036808837075,	delta=844,
seq_no=140,	ch0=   2, ch1=1907, ch2=1882, ch3= 334, ch4= 258, ch5=1331, ts=1714036808837960,	delta=885,
seq_no=141,	ch0=  77, ch1=1524, ch2=2207, ch3= 521, ch4= 101, ch5=1344, ts=1714036808838787,	delta=827,
seq_no=142,	ch0=  42, ch1=1236, ch2=2423, ch3= 655, ch4=  29, ch5=1295, ts=1714036808839612,	delta=825,
seq_no=143,	ch0= 249, ch1= 917, ch2=2547, ch3= 888, ch4=   0, ch5=1158, ts=1714036808840448,	delta=836,
seq_no=144,	ch0= 494, ch1= 613, ch2=2599, ch3=1052, ch4=   0, ch5= 992, ts=1714036808841289,	delta=841,
seq_no=145,	ch0= 791, ch1= 347, ch2=2579, ch3=1191, ch4=   0, ch5= 792, ts=1714036808842132,	delta=843,
seq_no=146,	ch0=1096, ch1= 128, ch2=2454, ch3=1290, ch4=  49, ch5= 597, ts=1714036808842984,	delta=852,
seq_no=147,	ch0=1415, ch1=   0, ch2=2247, ch3=1369, ch4= 153, ch5= 415, ts=1714036808843830,	delta=846,
seq_no=148,	ch0=1688, ch1=   0, ch2=1963, ch3=1404, ch4= 330, ch5= 265, ts=1714036808844658,	delta=828,
seq_no=149,	ch0=1944, ch1=   0, ch2=1655, ch3=1405, ch4= 493, ch5= 137, ts=1714036808845502,	delta=844,
seq_no=150,	ch0=2161, ch1=  97, ch2=1293, ch3=1343, ch4= 681, ch5=  53, ts=1714036808846341,	delta=839,
seq_no=151,	ch0=2289, ch1= 301, ch2= 939, ch3=1216, ch4= 825, ch5=   0, ts=1714036808847194,	delta=853,
