seq_no=90,	ch0=  42, ch1=2195, ch2=1400, ch3=  57, ch4= 407, ch5=1152, ts=1714036743253833,	delta=838,
seq_no=91,	ch0=   0, ch1=1971, ch2=1741, ch3= 174, ch4= 260, ch5=1188, ts=1714036743254682,	delta=849,
seq_no=92,	ch0=   0, ch1=1695, ch2=2049, ch3= 353, ch4= 156, ch5=1196, ts=1714036743255522,	delta=840,
seq_no=93,	ch0=   0, ch1=1407, ch2=2316, ch3= 525, ch4=  66, ch5=1145, ts=1714036743256363,	delta=841,
seq_no=94,	ch0= 173, ch1=1062, ch2=2488, ch3= 705, ch4=   1, ch5=1064, ts=1714036743257206,	delta=843,
seq_no=95,	ch0= 377, ch1= 746, ch2=2585, ch3= 855, ch4=   0, ch5= 942, ts=1714036743258047,	delta=841,
seq_no=96,	ch0= 533, ch1= 469, ch2=2571, ch3=1044, ch4=   0, ch5= 792, ts=1714036743258895,	delta=848,
seq_no=97,	ch0= 928, ch1= 265, ch2=2547, ch3=1072, ch4=   4, ch5= 597, ts=1714036743259735,	delta=840,
seq_no=98,	ch0=1299, ch1=  69, ch2=2335, ch3=1173, ch4= 101, ch5= 480, ts=1714036743260831,	delta=1096,
seq_no=99,	ch0=1553, ch1=   0, ch2=2112, ch3=1221, ch4= 210, ch5= 295, ts=1714036743261459,	delta=628,
seq_no=100,	ch0=1833, ch1=   4, ch2=1816, ch3=1228, ch4= 352, ch5= 178, ts=1714036743262270,	delta=811,
seq_no=101,	ch0=2061, ch1=  41, ch2=1477, ch3=1206, ch4= 521, ch5=  74, ts=1714036743263122,	delta=852,
seq_no=102,	ch0=2228, ch1= 203, ch2=1134, ch3=1116, ch4= 673, ch5=   8, ts=1714036743263951,	delta=829,
seq_no=103,	ch0=2328, ch1= 430, ch2= 792, ch3= 999, ch4= 801, ch5=   0, ts=1714036743264790,	delta=839,
seq_no=104,	ch0=2240, ch1= 711, ch2= 466, ch3= 876, ch4= 901, ch5=   0, ts=1714036743265633,	delta=843,
seq_no=105,	ch0=2237, ch1=1053, ch2= 221, ch3= 633, ch4= 981, ch5=   2, ts=1714036743266475,	delta=842,
seq_no=106,	ch0=2080, ch1=1351, ch2=  12, ch3= 468, ch4=1055, ch5= 138, ts=1714036743267318,	delta=843,
seq_no=107,	ch0=1859, ch1=1624, ch2=   0, ch3= 330, ch4=1120, ch5= 228, ts=1714036743268159,	delta=841,
seq_no=108,	ch0=1468, ch1=1927, ch2=   0, ch3= 267, ch4=1073, ch5= 400, ts=1714036743269002,	delta=843,
seq_no=109,	ch0=1271, ch1=2232, ch2=  64, ch3=  79, ch4=1023, ch5= 591, ts=1714036743269843,	delta=841,
seq_no=110,	ch0= 997, ch1=2349, ch2= 192, ch3=  17, ch4= 951, ch5= 778, ts=1714036743270749,	delta=906,
seq_no=111,	ch0= 665, ch1=2392, ch2= 493, ch3=   0, ch4= 820, ch5= 884, ts=1714036743271533,	delta=784,
seq_no=112,	ch0= 406, ch1=2402, ch2= 811, ch3=   0, ch4= 673, ch5=1004, ts=1714036743272373,	delta=840,
seq_no=113,	ch0= 174, ch1=2311, ch2=1136, ch3=   0, ch4= 505, ch5=1091, ts=1714036743273214,	delta=841,
seq_no=114,	ch0=   9, ch1=2144, ch2=1504, ch3=  83, ch4= 353, ch5=1167, ts=1714036743274057,	delta=843,
seq_no=115,	ch0=   0, ch1=1902, ch2=1824, ch3= 220, ch4= 226, ch5=1198, ts=1714036743274906,	delta=849,
seq_no=116,	ch0=   0, ch1=1610, ch2=2131, ch3= 400, ch4= 124, ch5=1161, ts=1714036743275740,	delta=834,
seq_no=117,	ch0=  12, ch1=1297, ch2=2374, ch3= 576, ch4=  46, ch5=1139, ts=1714036743276583,	delta=843,
seq_no=118,	ch0= 195, ch1= 975, ch2=2531, ch3= 750, ch4=   0, ch5=1041, ts=1714036743277425,	delta=842,
seq_no=119,	ch0= 448, ch1= 697, ch2=2603, ch3= 894, ch4=  19, ch5= 890, ts=1714036743278501,	delta=1076,
seq_no=120,	ch0= 799, ch1= 397, ch2=2631, ch3=1022, ch4=   0, ch5= 726, ts=1714036743279157,	delta=656,
seq_no=121,	ch0=1001, ch1= 193, ch2=2519, ch3=1076, ch4=  10, ch5= 582, ts=1714036743279967,	delta=810,
seq_no=122,	ch0=1334, ch1=   0, ch2=2235, ch3=1178, ch4= 118, ch5= 462, ts=1714036743280803,	delta=836,
seq_no=123,	ch0=1629, ch1=   1, ch2=2041, ch3=1219, ch4= 240, ch5= 266, ts=1714036743281645,	delta=842,
seq_no=124,	ch0=1901, ch1=   2, ch2=1729, ch3=1229, ch4= 397, ch5= 154, ts=1714036743282482,	delta=837,
seq_no=125,	ch0=2118, ch1=  71, ch2=1395, ch3=1186, ch4= 568, ch5=  64, ts=1714036743283328,	delta=846,
seq_no=126,	ch0=2266, ch1= 259, ch2=1036, ch3=1091, ch4= 722, ch5=   0, ts=1714036743284164,	delta=836,
seq_no=127,	ch0=2328, ch1= 503, ch2= 693, ch3= 950, ch4= 825, ch5=   0, ts=1714036743285009,	delta=845,
seq_no=128,	ch0=2368, ch1= 785, ch2= 402, ch3= 782, ch4= 900, ch5=   0, ts=1714036743285853,	delta=844,
seq_no=129,	ch0=2184, ch1=1103, ch2= 162, ch3= 568, ch4=1005, ch5=  21, ts=1714036743286704,	delta=851,
seq_no=130,	ch0=2024, ch1=1434, ch2=   0, ch3= 433, ch4=1068, ch5= 200, ts=1714036743287538,	delta=834,
seq_no=131,	ch0=1810, ch1=1800, ch2=   0, ch3= 325, ch4=1096, ch5= 251, ts=1714036743288375,	delta=837,
seq_no=132,	ch0=1612, ch1=1984, ch2=  36, ch3= 182, ch4=1032, ch5= 457, ts=1714036743289221,	delta=846,
seq_no=133,	ch0=1188, ch1=2208, ch2=  92, ch3=  34, ch4=1000, ch5= 634, ts=1714036743290062,	delta=841,
seq_no=134,	ch0= 881, ch1=2368, ch2= 260, ch3=   0, ch4= 919, ch5= 832, ts=1714036743290913,	delta=851,
seq_no=135,	ch0= 598, ch1=2418, ch2= 576, ch3=   0, ch4= 784, ch5= 921, ts=1714036743291750,	delta=837,
seq_no=136,	ch0= 335, ch1=2396, ch2= 900, ch3=   0, ch4= 624, ch5=1031, ts=1714036743292589,	delta=839,
seq_no=137,	ch0= 122, ch1=2276, ch2=1241, ch3=  14, ch4= 458, ch5=1118, ts=1714036743293431,	delta=842,
seq_no=138,	ch0=   0, ch1=2081, ch2=1600, ch3= 118, ch4= 320, ch5=1159, ts=1714036743294275,	delta=844,
seq_no=139,	ch0=   0, ch1=1831, ch2=1911, ch3= 265, ch4= 204, ch5=1196, ts=1714036743295119,	delta=844,
seq_no=140,	ch0=   0, ch1=1529, ch2=2201, ch3= 448, ch4= 101, ch5=1172, ts=1714036743295952,	delta=833,
seq_no=141,	ch0=  48, ch1=1228, ch2=2417, ch3= 609, ch4=  25, ch5=1103, ts=1714036743296867,	delta=915,
seq_no=142,	ch0= 264, ch1= 897, ch2=2574, ch3= 783, ch4=   0, ch5=1006, ts=1714036743297653,	delta=786,
seq_no=143,	ch0= 514, ch1= 665, ch2=2597, ch3= 960, ch4=   6, ch5= 816, ts=1714036743298490,	delta=837,
seq_no=144,	ch0= 895, ch1= 321, ch2=2591, ch3=1046, ch4=   0, ch5= 684, ts=1714036743299362,	delta=872,
seq_no=145,	ch0=1059, ch1= 117, ch2=2456, ch3=1067, ch4=  41, ch5= 493, ts=1714036743300176,	delta=814,
seq_no=146,	ch0=1409, ch1=   0, ch2=2243, ch3=1192, ch4= 142, ch5= 363, ts=1714036743301012,	delta=836,
seq_no=147,	ch0=1701, ch1=   0, ch2=1959, ch3=1228, ch4= 277, ch5= 228, ts=1714036743301852,	delta=840,
seq_no=148,	ch0=1951, ch1=   2, ch2=1634, ch3=1219, ch4= 450, ch5= 114, ts=1714036743302721,	delta=869,
seq_no=149,	ch0=2163, ch1= 114, ch2=1283, ch3=1170, ch4= 608, ch5=  37, ts=1714036743303545,	delta=824,
seq_no=150,	ch0=2296, ch1= 313, ch2= 934, ch3=1054, ch4= 743, ch5=   0, ts=1714036743304388,	delta=843,
seq_no=151,	ch0=2333, ch1= 578, ch2= 619, ch3= 901, ch4= 849, ch5=   0, ts=1714036743305230,	delta=842,
seq_no=152,	ch0=2296, ch1= 864, ch2= 334, ch3= 731, ch4= 921, ch5=   0, ts=1714036743306070,	delta=840,
seq_no=153,	ch0=2141, ch1=1186, ch2= 107, ch3= 504, ch4=1017, ch5=  55, ts=1714036743306924,	delta=854,
seq_no=154,	ch0=1968, ch1=1504, ch2=  29, ch3= 406, ch4=1075, ch5= 166, ts=1714036743307757,	delta=833,
seq_no=155,	ch0=1700, ch1=1899, ch2=   0, ch3= 278, ch4=1088, ch5= 282, ts=1714036743308598,	delta=841,
seq_no=156,	ch0=1486, ch1=2045, ch2=   2, ch3= 137, ch4= 993, ch5= 486, ts=1714036743309441,	delta=843,
seq_no=157,	ch0=1069, ch1=2269, ch2= 145, ch3=   0, ch4= 982, ch5= 642, ts=1714036743310283,	delta=842,
