seq_no=148,	ch0= 787, ch1=2560, ch2= 690, ch3=1048, ch4=2536, ch5= 438, ts=1712137831485195,	delta=844,
seq_no=149,	ch0=1216, ch1=2555, ch2= 261, ch3=1425, ch4=2480, ch5= 192, ts=1712137831486048,	delta=853,
seq_no=150,	ch0=1584, ch1=2522, ch2=  91, ch3=1704, ch4=2307, ch5=  17, ts=1712137831486880,	delta=832,
seq_no=151,	ch0=2013, ch1=2463, ch2=  13, ch3=2016, ch4=1969, ch5=   0, ts=1712137831487722,	delta=842,
seq_no=152,	ch0=2342, ch1=2223, ch2=   3, ch3=2255, ch4=1609, ch5=   0, ts=1712137831488563,	delta=841,
seq_no=153,	ch0=2417, ch1=1811, ch2=   8, ch3=2342, ch4=1271, ch5=  83, ts=1712137831489453,	delta=890,
seq_no=154,	ch0=2457, ch1=1385, ch2= 187, ch3=2369, ch4= 960, ch5= 379, ts=1712137831490255,	delta=802,
seq_no=155,	ch0=2480, ch1= 960, ch2= 517, ch3=2392, ch4= 639, ch5= 759, ts=1712137831491099,	delta=844,
seq_no=156,	ch0=2471, ch1= 561, ch2= 895, ch3=2399, ch4= 405, ch5=1124, ts=1712137831491940,	delta=841,
seq_no=157,	ch0=2466, ch1= 244, ch2=1344, ch3=2376, ch4= 201, ch5=1460, ts=1712137831492779,	delta=839,
seq_no=158,	ch0=2432, ch1=  24, ch2=1802, ch3=2336, ch4=  18, ch5=1783, ts=1712137831493992,	delta=1213,
seq_no=159,	ch0=2374, ch1=   0, ch2=2252, ch3=2092, ch4=  11, ch5=2062, ts=1712137831494517,	delta=525,
seq_no=160,	ch0=2104, ch1=   4, ch2=2618, ch3=1708, ch4=  23, ch5=2336, ts=1712137831495327,	delta=810,
seq_no=161,	ch0=1734, ch1=  55, ch2=2688, ch3=1368, ch4= 117, ch5=2459, ts=1712137831496160,	delta=833,
seq_no=162,	ch0=1248, ch1= 197, ch2=2712, ch3= 992, ch4= 378, ch5=2524, ts=1712137831496998,	delta=838,
seq_no=163,	ch0= 913, ch1= 549, ch2=2724, ch3= 743, ch4= 774, ch5=2530, ts=1712137831497858,	delta=860,
seq_no=164,	ch0= 511, ch1= 872, ch2=2736, ch3= 480, ch4=1088, ch5=2522, ts=1712137831498686,	delta=828,
seq_no=165,	ch0= 202, ch1=1294, ch2=2719, ch3= 236, ch4=1420, ch5=2496, ts=1712137831499527,	delta=841,
seq_no=166,	ch0=   0, ch1=1703, ch2=2685, ch3=  22, ch4=1708, ch5=2327, ts=1712137831500368,	delta=841,
seq_no=167,	ch0=   0, ch1=2119, ch2=2647, ch3=  10, ch4=2004, ch5=1957, ts=1712137831501210,	delta=842,
seq_no=168,	ch0=   0, ch1=2459, ch2=2342, ch3=   0, ch4=2262, ch5=1586, ts=1712137831502064,	delta=854,
seq_no=169,	ch0=   0, ch1=2535, ch2=1889, ch3=  23, ch4=2448, ch5=1219, ts=1712137831502897,	delta=833,
seq_no=170,	ch0= 162, ch1=2541, ch2=1409, ch3= 352, ch4=2528, ch5= 923, ts=1712137831503740,	delta=843,
seq_no=171,	ch0= 486, ch1=2548, ch2= 955, ch3= 719, ch4=2533, ch5= 629, ts=1712137831504582,	delta=842,
seq_no=172,	ch0= 844, ch1=2567, ch2= 529, ch3=1103, ch4=2529, ch5= 390, ts=1712137831505434,	delta=852,
seq_no=173,	ch0=1273, ch1=2392, ch2= 202, ch3=1457, ch4=2559, ch5= 146, ts=1712137831506268,	delta=834,
seq_no=174,	ch0=1647, ch1=2552, ch2=  31, ch3=1750, ch4=2232, ch5=  45, ts=1712137831507111,	delta=843,
seq_no=175,	ch0=2103, ch1=2469, ch2=   0, ch3=2073, ch4=1896, ch5=   0, ts=1712137831507952,	delta=841,
seq_no=176,	ch0=2353, ch1=2161, ch2=   0, ch3=2285, ch4=1555, ch5=   4, ts=1712137831508795,	delta=843,
seq_no=177,	ch0=2430, ch1=1747, ch2=   5, ch3=2344, ch4=1223, ch5= 145, ts=1712137831509642,	delta=847,
seq_no=178,	ch0=2458, ch1=1318, ch2= 239, ch3=2382, ch4= 911, ch5= 462, ts=1712137831510478,	delta=836,
seq_no=179,	ch0=2471, ch1= 888, ch2= 588, ch3=2395, ch4= 608, ch5= 838, ts=1712137831511324,	delta=846,
seq_no=180,	ch0=2475, ch1= 517, ch2= 977, ch3=2328, ch4= 370, ch5=1192, ts=1712137831512167,	delta=843,
seq_no=181,	ch0=2455, ch1= 219, ch2=1439, ch3=2372, ch4= 166, ch5=1497, ts=1712137831513008,	delta=841,
seq_no=182,	ch0=2417, ch1=   0, ch2=1903, ch3=2304, ch4=   0, ch5=1842, ts=1712137831513861,	delta=853,
seq_no=183,	ch0=2344, ch1=  14, ch2=2344, ch3=2030, ch4=   2, ch5=2119, ts=1712137831514692,	delta=831,
seq_no=184,	ch0=1974, ch1=   5, ch2=2632, ch3=1676, ch4=   0, ch5=2381, ts=1712137831515538,	delta=846,
seq_no=185,	ch0=1676, ch1=  25, ch2=2699, ch3=1282, ch4= 139, ch5=2368, ts=1712137831516379,	delta=841,
