seq_no=144,	ch0=   0, ch1=2508, ch2=1830, ch3= 118, ch4= 507, ch5=1680, ts=1714037740777321,	delta=840,
seq_no=145,	ch0=  19, ch1=2447, ch2=2350, ch3= 324, ch4= 358, ch5=1568, ts=1714037740778163,	delta=842,
seq_no=146,	ch0=   0, ch1=2105, ch2=2637, ch3= 510, ch4= 210, ch5=1615, ts=1714037740779012,	delta=849,
seq_no=147,	ch0=   0, ch1=1697, ch2=2694, ch3= 771, ch4=  90, ch5=1554, ts=1714037740779848,	delta=836,
seq_no=148,	ch0= 209, ch1=1266, ch2=2716, ch3= 993, ch4=   8, ch5=1420, ts=1714037740780690,	delta=842,
seq_no=149,	ch0= 529, ch1= 857, ch2=2719, ch3=1181, ch4=   0, ch5=1238, ts=1714037740781528,	delta=838,
seq_no=150,	ch0= 900, ch1= 487, ch2=2728, ch3=1340, ch4=  13, ch5=1022, ts=1714037740782376,	delta=848,
seq_no=151,	ch0=1281, ch1= 177, ch2=2718, ch3=1464, ch4=  17, ch5= 772, ts=1714037740783218,	delta=842,
seq_no=152,	ch0=1703, ch1=  11, ch2=2663, ch3=1600, ch4= 152, ch5= 615, ts=1714037740784062,	delta=844,
seq_no=153,	ch0=2092, ch1=   0, ch2=2616, ch3=1649, ch4= 397, ch5= 377, ts=1714037740784903,	delta=841,
seq_no=154,	ch0=2368, ch1=  10, ch2=2244, ch3=1670, ch4= 518, ch5= 235, ts=1714037740785744,	delta=841,
seq_no=155,	ch0=2427, ch1=  86, ch2=1840, ch3=1600, ch4= 754, ch5= 120, ts=1714037740786627,	delta=883,
seq_no=156,	ch0=2488, ch1= 304, ch2=1282, ch3=1499, ch4= 968, ch5=  10, ts=1714037740787434,	delta=807,
seq_no=157,	ch0=2471, ch1= 576, ch2= 869, ch3=1335, ch4=1161, ch5=   6, ts=1714037740788276,	delta=842,
seq_no=158,	ch0=2464, ch1= 981, ch2= 481, ch3=1082, ch4=1252, ch5=   4, ts=1714037740789288,	delta=1012,
seq_no=159,	ch0=2447, ch1=1407, ch2= 145, ch3= 832, ch4=1361, ch5=  33, ts=1714037740789992,	delta=704,
seq_no=160,	ch0=2414, ch1=1840, ch2=   5, ch3= 615, ch4=1446, ch5= 192, ts=1714037740790827,	delta=835,
seq_no=161,	ch0=2331, ch1=2230, ch2=   0, ch3= 436, ch4=1479, ch5= 380, ts=1714037740791653,	delta=826,
seq_no=162,	ch0=1976, ch1=2480, ch2=  17, ch3= 286, ch4=1472, ch5= 605, ts=1714037740792492,	delta=839,
seq_no=163,	ch0=1575, ch1=2527, ch2=  45, ch3= 145, ch4=1408, ch5= 836, ts=1714037740793335,	delta=843,
seq_no=164,	ch0=1165, ch1=2528, ch2= 302, ch3=  34, ch4=1276, ch5=1050, ts=1714037740794173,	delta=838,
seq_no=165,	ch0= 736, ch1=2541, ch2= 689, ch3=   0, ch4=1082, ch5=1231, ts=1714037740795028,	delta=855,
seq_no=166,	ch0= 402, ch1=2551, ch2=1120, ch3=   0, ch4= 884, ch5=1383, ts=1714037740795864,	delta=836,
seq_no=167,	ch0= 173, ch1=2535, ch2=1547, ch3=  11, ch4= 672, ch5=1406, ts=1714037740796705,	delta=841,
seq_no=168,	ch0=  16, ch1=2487, ch2=2032, ch3= 177, ch4= 517, ch5=1555, ts=1714037740797547,	delta=842,
seq_no=169,	ch0=   0, ch1=2390, ch2=2435, ch3= 406, ch4= 294, ch5=1634, ts=1714037740798390,	delta=843,
seq_no=170,	ch0=   0, ch1=2011, ch2=2659, ch3= 592, ch4= 172, ch5=1604, ts=1714037740799247,	delta=857,
seq_no=171,	ch0=  36, ch1=1595, ch2=2699, ch3= 846, ch4=  78, ch5=1526, ts=1714037740800069,	delta=822,
seq_no=172,	ch0= 292, ch1=1160, ch2=2719, ch3=1049, ch4=   6, ch5=1382, ts=1714037740800908,	delta=839,
seq_no=173,	ch0= 617, ch1= 765, ch2=2732, ch3=1224, ch4=   4, ch5=1175, ts=1714037740801750,	delta=842,
seq_no=174,	ch0= 998, ch1= 405, ch2=2726, ch3=1377, ch4=   0, ch5= 960, ts=1714037740802739,	delta=989,
seq_no=175,	ch0=1394, ch1= 201, ch2=2703, ch3=1516, ch4=  54, ch5= 696, ts=1714037740803486,	delta=747,
seq_no=176,	ch0=1918, ch1=   0, ch2=2670, ch3=1607, ch4= 166, ch5= 515, ts=1714037740804294,	delta=808,
seq_no=177,	ch0=2185, ch1=   2, ch2=2541, ch3=1620, ch4= 377, ch5= 341, ts=1714037740805128,	delta=834,
seq_no=178,	ch0=2383, ch1=  19, ch2=2166, ch3=1660, ch4= 591, ch5= 274, ts=1714037740805968,	delta=840,
seq_no=179,	ch0=2458, ch1= 138, ch2=1656, ch3=1616, ch4= 813, ch5=  57, ts=1714037740806829,	delta=861,
seq_no=180,	ch0=2449, ch1= 340, ch2=1239, ch3=1460, ch4= 983, ch5=   5, ts=1714037740807660,	delta=831,
seq_no=181,	ch0=2464, ch1= 748, ch2= 797, ch3=1233, ch4=1132, ch5=  16, ts=1714037740808501,	delta=841,
seq_no=182,	ch0=2463, ch1=1088, ch2= 394, ch3=1015, ch4=1273, ch5=   2, ts=1714037740809343,	delta=842,
seq_no=183,	ch0=2441, ch1=1516, ch2=  76, ch3= 772, ch4=1388, ch5=  79, ts=1714037740810225,	delta=882,
seq_no=184,	ch0=2382, ch1=1946, ch2=   0, ch3= 556, ch4=1459, ch5= 230, ts=1714037740811040,	delta=815,
seq_no=185,	ch0=2247, ch1=2326, ch2=   1, ch3= 381, ch4=1478, ch5= 442, ts=1714037740811869,	delta=829,
seq_no=186,	ch0=1872, ch1=2497, ch2=  18, ch3= 238, ch4=1472, ch5= 659, ts=1714037740812716,	delta=847,
seq_no=187,	ch0=1473, ch1=2532, ch2= 109, ch3= 118, ch4=1383, ch5= 896, ts=1714037740813558,	delta=842,
seq_no=188,	ch0=1044, ch1=2555, ch2= 405, ch3=   2, ch4=1244, ch5=1106, ts=1714037740814400,	delta=842,
seq_no=189,	ch0= 670, ch1=2556, ch2= 784, ch3=  10, ch4=1032, ch5=1272, ts=1714037740815250,	delta=850,
seq_no=190,	ch0= 342, ch1=2400, ch2=1239, ch3=   0, ch4= 916, ch5=1412, ts=1714037740816083,	delta=833,
seq_no=191,	ch0=   0, ch1=2535, ch2=1677, ch3= 109, ch4= 600, ch5=1527, ts=1714037740816931,	delta=848,
seq_no=192,	ch0=   0, ch1=2466, ch2=2150, ch3= 183, ch4= 419, ch5=1574, ts=1714037740817770,	delta=839,
seq_no=193,	ch0=   0, ch1=2311, ch2=2560, ch3= 409, ch4= 267, ch5=1606, ts=1714037740818655,	delta=885,
seq_no=194,	ch0=   0, ch1=1892, ch2=2672, ch3= 657, ch4= 147, ch5=1600, ts=1714037740819460,	delta=805,
seq_no=195,	ch0= 116, ch1=1473, ch2=2704, ch3= 899, ch4=  53, ch5=1488, ts=1714037740820297,	delta=837,
seq_no=196,	ch0= 368, ch1=1059, ch2=2723, ch3=1098, ch4=   1, ch5=1331, ts=1714037740821141,	delta=844,
seq_no=197,	ch0= 713, ch1= 666, ch2=2730, ch3=1274, ch4=   0, ch5=1132, ts=1714037740821983,	delta=842,
seq_no=198,	ch0=1103, ch1= 330, ch2=2719, ch3=1424, ch4=   2, ch5= 886, ts=1714037740822875,	delta=892,
seq_no=199,	ch0=1484, ch1=  43, ch2=2696, ch3=1575, ch4=  85, ch5= 664, ts=1714037740823680,	delta=805,
seq_no=200,	ch0=1904, ch1=   0, ch2=2672, ch3=1612, ch4= 242, ch5= 465, ts=1714037740824516,	delta=836,
seq_no=201,	ch0=2287, ch1=  91, ch2=2444, ch3=1663, ch4= 418, ch5= 276, ts=1714037740825358,	delta=842,
seq_no=202,	ch0=2416, ch1=   0, ch2=2007, ch3=1657, ch4= 562, ch5= 161, ts=1714037740826197,	delta=839,
seq_no=203,	ch0=2439, ch1= 145, ch2=1544, ch3=1486, ch4= 862, ch5=  53, ts=1714037740827051,	delta=854,
seq_no=204,	ch0=2458, ch1= 448, ch2= 986, ch3=1402, ch4=1010, ch5= 110, ts=1714037740827884,	delta=833,
seq_no=205,	ch0=2472, ch1= 789, ch2= 674, ch3=1195, ch4=1184, ch5=   2, ts=1714037740828723,	delta=839,
seq_no=206,	ch0=2460, ch1=1196, ch2= 302, ch3= 953, ch4=1317, ch5=   9, ts=1714037740829567,	delta=844,
seq_no=207,	ch0=2428, ch1=1629, ch2=  10, ch3= 712, ch4=1412, ch5= 103, ts=1714037740830411,	delta=844,
