seq_no=143,	ch0=2461, ch1=1304, ch2= 201, ch3=1134, ch4=1728, ch5=  10, ts=1714037700868092,	delta=815,
seq_no=144,	ch0=2424, ch1=1752, ch2=   0, ch3= 839, ch4=1853, ch5= 186, ts=1714037700868924,	delta=832,
seq_no=145,	ch0=2358, ch1=2146, ch2=   2, ch3= 608, ch4=1896, ch5= 440, ts=1714037700869763,	delta=839,
seq_no=146,	ch0=2035, ch1=2463, ch2=  10, ch3= 429, ch4=1918, ch5= 718, ts=1714037700870654,	delta=891,
seq_no=147,	ch0=1651, ch1=2520, ch2=  25, ch3= 251, ch4=1863, ch5=1015, ts=1714037700871462,	delta=808,
seq_no=148,	ch0=1235, ch1=2545, ch2= 258, ch3=  96, ch4=1702, ch5=1299, ts=1714037700872300,	delta=838,
seq_no=149,	ch0= 843, ch1=2557, ch2= 610, ch3=   0, ch4=1473, ch5=1508, ts=1714037700873147,	delta=847,
seq_no=150,	ch0= 480, ch1=2556, ch2=1029, ch3=  13, ch4=1184, ch5=1712, ts=1714037700873984,	delta=837,
seq_no=151,	ch0= 169, ch1=2542, ch2=1504, ch3=   1, ch4= 915, ch5=1871, ts=1714037700874839,	delta=855,
seq_no=152,	ch0=   0, ch1=2500, ch2=1968, ch3= 125, ch4= 677, ch5=1999, ts=1714037700875673,	delta=834,
seq_no=153,	ch0=   0, ch1=2406, ch2=2307, ch3= 425, ch4= 472, ch5=2115, ts=1714037700876512,	delta=839,
seq_no=154,	ch0=   0, ch1=1990, ch2=2656, ch3= 718, ch4= 359, ch5=2034, ts=1714037700877356,	delta=844,
seq_no=155,	ch0=   5, ch1=1675, ch2=2694, ch3=1022, ch4= 134, ch5=1996, ts=1714037700878198,	delta=842,
seq_no=156,	ch0= 232, ch1=1252, ch2=2711, ch3=1304, ch4=  22, ch5=1793, ts=1714037700879047,	delta=849,
seq_no=157,	ch0= 548, ch1= 844, ch2=2736, ch3=1535, ch4=   9, ch5=1553, ts=1714037700879882,	delta=835,
seq_no=158,	ch0= 923, ch1= 486, ch2=2736, ch3=1720, ch4=   8, ch5=1256, ts=1714037700880905,	delta=1023,
seq_no=159,	ch0=1340, ch1= 159, ch2=2705, ch3=1904, ch4=  14, ch5= 964, ts=1714037700881602,	delta=697,
seq_no=160,	ch0=1734, ch1=   9, ch2=2685, ch3=2049, ch4= 213, ch5= 791, ts=1714037700884172,	delta=2570,
seq_no=161,	ch0=2118, ch1=  53, ch2=2588, ch3=2125, ch4= 463, ch5= 474, ts=1714037700884231,	delta=59,
seq_no=162,	ch0=2398, ch1=   5, ch2=2200, ch3=2152, ch4= 704, ch5= 310, ts=1714037700884262,	delta=31,
seq_no=163,	ch0=2344, ch1=  43, ch2=1755, ch3=2096, ch4= 999, ch5= 157, ts=1714037700884984,	delta=722,
seq_no=164,	ch0=2467, ch1= 270, ch2=1224, ch3=1931, ch4=1241, ch5= 109, ts=1714037700885792,	delta=808,
seq_no=165,	ch0=2432, ch1= 528, ch2= 861, ch3=1648, ch4=1527, ch5=   4, ts=1714037700886768,	delta=976,
seq_no=166,	ch0=2364, ch1=1000, ch2= 440, ch3=1408, ch4=1600, ch5=  19, ts=1714037700887484,	delta=716,
seq_no=167,	ch0=2449, ch1=1435, ch2= 125, ch3=1048, ch4=1756, ch5=  53, ts=1714037700888311,	delta=827,
seq_no=168,	ch0=2416, ch1=1856, ch2=   0, ch3= 781, ch4=1861, ch5= 241, ts=1714037700889150,	delta=839,
seq_no=169,	ch0=2312, ch1=2252, ch2=   2, ch3= 546, ch4=1912, ch5= 514, ts=1714037700889990,	delta=840,
seq_no=170,	ch0=1934, ch1=2487, ch2=  13, ch3= 376, ch4=1905, ch5= 799, ts=1714037700890849,	delta=859,
seq_no=171,	ch0=1534, ch1=2528, ch2=  49, ch3= 222, ch4=1823, ch5=1091, ts=1714037700891684,	delta=835,
seq_no=172,	ch0=1131, ch1=2512, ch2= 343, ch3=  53, ch4=1634, ch5=1344, ts=1714037700892523,	delta=839,
seq_no=173,	ch0= 716, ch1=2554, ch2= 741, ch3=   5, ch4=1398, ch5=1578, ts=1714037700893363,	delta=840,
seq_no=174,	ch0= 400, ch1=2552, ch2=1149, ch3=   3, ch4=1122, ch5=1766, ts=1714037700894203,	delta=840,
seq_no=175,	ch0=  98, ch1=2624, ch2=1607, ch3=  16, ch4= 833, ch5=1860, ts=1714037700895063,	delta=860,
seq_no=176,	ch0=  98, ch1=2503, ch2=2072, ch3= 206, ch4= 550, ch5=1975, ts=1714037700895898,	delta=835,
seq_no=177,	ch0=   0, ch1=2355, ch2=2480, ch3= 429, ch4= 397, ch5=2043, ts=1714037700896794,	delta=896,
seq_no=178,	ch0=   0, ch1=1968, ch2=2669, ch3= 803, ch4= 237, ch5=2065, ts=1714037700897586,	delta=792,
seq_no=179,	ch0=  52, ch1=1548, ch2=2700, ch3=1116, ch4=  89, ch5=1949, ts=1714037700898423,	delta=837,
seq_no=180,	ch0= 302, ch1=1125, ch2=2725, ch3=1357, ch4=   2, ch5=1743, ts=1714037700899293,	delta=870,
seq_no=181,	ch0= 651, ch1= 729, ch2=2736, ch3=1593, ch4=  11, ch5=1473, ts=1714037700900126,	delta=833,
seq_no=182,	ch0=1024, ch1= 378, ch2=2723, ch3=1774, ch4=   5, ch5=1182, ts=1714037700900959,	delta=833,
seq_no=183,	ch0=1430, ch1=  93, ch2=2700, ch3=1948, ch4=  71, ch5= 885, ts=1714037700901801,	delta=842,
seq_no=184,	ch0=1812, ch1=   0, ch2=2663, ch3=2102, ch4= 269, ch5= 651, ts=1714037700902655,	delta=854,
seq_no=185,	ch0=2224, ch1=   6, ch2=2575, ch3=2134, ch4= 534, ch5= 438, ts=1714037700903489,	delta=834,
seq_no=186,	ch0=2391, ch1=  98, ch2=2071, ch3=2160, ch4= 803, ch5= 234, ts=1714037700904329,	delta=840,
seq_no=187,	ch0=2531, ch1=  92, ch2=1632, ch3=2060, ch4=1010, ch5= 112, ts=1714037700905173,	delta=844,
seq_no=188,	ch0=2469, ch1= 374, ch2=1159, ch3=1817, ch4=1316, ch5=  22, ts=1714037700906014,	delta=841,
seq_no=189,	ch0=2459, ch1= 721, ch2= 678, ch3=1579, ch4=1493, ch5=  88, ts=1714037700906867,	delta=853,
seq_no=190,	ch0=2457, ch1=1132, ch2= 373, ch3=1272, ch4=1660, ch5=   4, ts=1714037700907702,	delta=835,
seq_no=191,	ch0=2385, ch1=1551, ch2=  50, ch3= 967, ch4=1792, ch5=  96, ts=1714037700908545,	delta=843,
seq_no=192,	ch0=2395, ch1=1992, ch2=   2, ch3= 708, ch4=1880, ch5= 325, ts=1714037700909386,	delta=841,
seq_no=193,	ch0=2220, ch1=2359, ch2=   4, ch3= 502, ch4=1911, ch5= 598, ts=1714037700910230,	delta=844,
seq_no=194,	ch0=1836, ch1=2499, ch2=  19, ch3= 329, ch4=1896, ch5= 886, ts=1714037700911079,	delta=849,
seq_no=195,	ch0=1428, ch1=2529, ch2= 122, ch3= 149, ch4=1779, ch5=1173, ts=1714037700911917,	delta=838,
seq_no=196,	ch0=1031, ch1=2553, ch2= 429, ch3=  37, ch4=1556, ch5=1413, ts=1714037700912760,	delta=843,
seq_no=197,	ch0= 637, ch1=2556, ch2= 847, ch3=   0, ch4=1312, ch5=1632, ts=1714037700913604,	delta=844,
seq_no=198,	ch0= 296, ch1=2546, ch2=1282, ch3=   0, ch4=1045, ch5=1809, ts=1714037700914492,	delta=888,
seq_no=199,	ch0=  24, ch1=2528, ch2=1803, ch3=  64, ch4= 795, ch5=1952, ts=1714037700915306,	delta=814,
seq_no=200,	ch0=   0, ch1=2589, ch2=2164, ch3= 279, ch4= 541, ch5=1966, ts=1714037700916144,	delta=838,
seq_no=201,	ch0=   0, ch1=2224, ch2=2581, ch3= 579, ch4= 290, ch5=2073, ts=1714037700916977,	delta=833,
seq_no=202,	ch0=   0, ch1=1856, ch2=2684, ch3= 880, ch4= 194, ch5=2033, ts=1714037700917818,	delta=841,
seq_no=203,	ch0= 108, ch1=1431, ch2=2709, ch3=1188, ch4=  79, ch5=1889, ts=1714037700918675,	delta=857,
seq_no=204,	ch0= 388, ch1=1014, ch2=2726, ch3=1432, ch4=   0, ch5=1675, ts=1714037700919504,	delta=829,
seq_no=205,	ch0= 745, ch1= 629, ch2=2732, ch3=1645, ch4=   9, ch5=1396, ts=1714037700920345,	delta=841,
seq_no=206,	ch0=1143, ch1= 289, ch2=2721, ch3=1823, ch4=   0, ch5=1108, ts=1714037700921187,	delta=842,
seq_no=207,	ch0=1545, ch1=  24, ch2=2695, ch3=1987, ch4= 122, ch5= 832, ts=1714037700922029,	delta=842,
