seq_no=64,	ch0=2462, ch1= 374, ch2=1161, ch3= 778, ch4= 580, ch5=   0, ts=1714037800371165,	delta=853,
seq_no=65,	ch0=2467, ch1= 718, ch2= 739, ch3= 676, ch4= 682, ch5=   6, ts=1714037800372000,	delta=835,
seq_no=66,	ch0=2457, ch1=1143, ch2= 338, ch3= 548, ch4= 761, ch5=   0, ts=1714037800372842,	delta=842,
seq_no=67,	ch0=2432, ch1=1540, ch2=  70, ch3= 406, ch4= 795, ch5=  46, ts=1714037800373682,	delta=840,
seq_no=68,	ch0=2399, ch1=1969, ch2=   0, ch3= 264, ch4= 836, ch5= 114, ts=1714037800374527,	delta=845,
seq_no=69,	ch0=2215, ch1=2356, ch2=   0, ch3= 182, ch4= 847, ch5= 285, ts=1714037800375373,	delta=846,
seq_no=70,	ch0=1840, ch1=2354, ch2=  10, ch3= 102, ch4= 916, ch5= 340, ts=1714037800376213,	delta=840,
seq_no=71,	ch0=1313, ch1=2534, ch2= 116, ch3= 104, ch4= 769, ch5= 491, ts=1714037800377057,	delta=844,
seq_no=72,	ch0=1016, ch1=2529, ch2= 515, ch3=   0, ch4= 689, ch5= 576, ts=1714037800377897,	delta=840,
seq_no=73,	ch0= 624, ch1=2559, ch2= 823, ch3=   2, ch4= 592, ch5= 688, ts=1714037800378751,	delta=854,
seq_no=74,	ch0= 296, ch1=2543, ch2=1269, ch3=   1, ch4= 465, ch5= 772, ts=1714037800379584,	delta=833,
seq_no=75,	ch0=  35, ch1=2519, ch2=1740, ch3=  49, ch4= 332, ch5= 825, ts=1714037800380483,	delta=899,
seq_no=76,	ch0=   0, ch1=2485, ch2=2191, ch3= 125, ch4= 228, ch5= 832, ts=1714037800382172,	delta=1689,
seq_no=77,	ch0=   0, ch1=2268, ch2=2595, ch3= 233, ch4= 137, ch5= 847, ts=1714037800382215,	delta=43,
seq_no=78,	ch0=   0, ch1=1854, ch2=2680, ch3= 378, ch4=  67, ch5= 822, ts=1714037800383043,	delta=828,
seq_no=79,	ch0= 100, ch1=1436, ch2=2704, ch3= 511, ch4=   0, ch5= 786, ts=1714037800383834,	delta=791,
seq_no=80,	ch0= 397, ch1=1040, ch2=2726, ch3= 616, ch4=   0, ch5= 692, ts=1714037800384714,	delta=880,
seq_no=81,	ch0= 754, ch1= 640, ch2=2732, ch3= 733, ch4=   0, ch5= 513, ts=1714037800385497,	delta=783,
seq_no=82,	ch0=1153, ch1= 253, ch2=2723, ch3= 824, ch4=  48, ch5= 440, ts=1714037800386332,	delta=835,
seq_no=83,	ch0=1480, ch1=  26, ch2=2728, ch3= 907, ch4=  44, ch5= 388, ts=1714037800387191,	delta=859,
seq_no=84,	ch0=1944, ch1=   0, ch2=2657, ch3= 888, ch4= 154, ch5= 228, ts=1714037800388015,	delta=824,
seq_no=85,	ch0=2319, ch1=  15, ch2=2412, ch3= 908, ch4= 243, ch5= 137, ts=1714037800388857,	delta=842,
seq_no=86,	ch0=2417, ch1=  22, ch2=1964, ch3= 893, ch4= 381, ch5=  64, ts=1714037800389697,	delta=840,
seq_no=87,	ch0=2439, ch1= 157, ch2=1490, ch3= 837, ch4= 508, ch5=   6, ts=1714037800390662,	delta=965,
seq_no=88,	ch0=2459, ch1= 451, ch2=1038, ch3= 752, ch4= 626, ch5=   0, ts=1714037800391399,	delta=737,
seq_no=89,	ch0=2465, ch1= 818, ch2= 636, ch3= 644, ch4= 692, ch5=   4, ts=1714037800392227,	delta=828,
seq_no=90,	ch0=2450, ch1=1228, ch2= 287, ch3= 513, ch4= 769, ch5=   1, ts=1714037800393068,	delta=841,
seq_no=91,	ch0=2426, ch1=1655, ch2=   0, ch3= 363, ch4= 826, ch5=  67, ts=1714037800393904,	delta=836,
seq_no=92,	ch0=2376, ch1=2064, ch2=   0, ch3= 254, ch4= 847, ch5= 225, ts=1714037800394762,	delta=858,
seq_no=93,	ch0=2145, ch1=2444, ch2=   2, ch3= 179, ch4= 857, ch5= 228, ts=1714037800395593,	delta=831,
seq_no=94,	ch0=1815, ch1=2511, ch2=  48, ch3=  93, ch4= 788, ch5= 382, ts=1714037800396435,	delta=842,
seq_no=95,	ch0=1294, ch1=2563, ch2= 207, ch3=   0, ch4= 776, ch5= 548, ts=1714037800397275,	delta=840,
seq_no=96,	ch0= 909, ch1=2556, ch2= 500, ch3=   0, ch4= 680, ch5= 656, ts=1714037800398119,	delta=844,
seq_no=97,	ch0= 545, ch1=2544, ch2= 929, ch3=   0, ch4= 560, ch5= 719, ts=1714037800398973,	delta=854,
seq_no=98,	ch0= 211, ch1=2547, ch2=1388, ch3=   8, ch4= 450, ch5= 777, ts=1714037800399803,	delta=830,
seq_no=99,	ch0=   0, ch1=2513, ch2=1859, ch3=  64, ch4= 308, ch5= 832, ts=1714037800400648,	delta=845,
seq_no=100,	ch0=   0, ch1=2465, ch2=2296, ch3= 157, ch4= 200, ch5= 841, ts=1714037800401487,	delta=839,
seq_no=101,	ch0=   0, ch1=2173, ch2=2631, ch3= 276, ch4= 113, ch5= 847, ts=1714037800402333,	delta=846,
seq_no=102,	ch0=   0, ch1=1764, ch2=2681, ch3= 409, ch4=  41, ch5= 815, ts=1714037800403176,	delta=843,
seq_no=103,	ch0= 184, ch1=1338, ch2=2712, ch3= 539, ch4=   0, ch5= 752, ts=1714037800404022,	delta=846,
seq_no=104,	ch0= 488, ch1= 922, ch2=2733, ch3= 653, ch4=   0, ch5= 673, ts=1714037800404860,	delta=838,
seq_no=105,	ch0= 832, ch1= 467, ch2=2736, ch3= 739, ch4=  48, ch5= 538, ts=1714037800405702,	delta=842,
seq_no=106,	ch0=1152, ch1= 202, ch2=2659, ch3= 874, ch4=   2, ch5= 434, ts=1714037800406544,	delta=842,
seq_no=107,	ch0=1659, ch1=   0, ch2=2792, ch3= 879, ch4=  67, ch5= 283, ts=1714037800407393,	delta=849,
seq_no=108,	ch0=2059, ch1=   4, ch2=2631, ch3= 907, ch4= 170, ch5= 198, ts=1714037800408231,	delta=838,
seq_no=109,	ch0=2368, ch1=   5, ch2=2307, ch3= 910, ch4= 280, ch5= 114, ts=1714037800409074,	delta=843,
seq_no=110,	ch0=2419, ch1=  17, ch2=1848, ch3= 884, ch4= 421, ch5=  46, ts=1714037800409915,	delta=841,
seq_no=111,	ch0=2455, ch1= 234, ch2=1385, ch3= 820, ch4= 527, ch5=   0, ts=1714037800410767,	delta=852,
seq_no=112,	ch0=2463, ch1= 532, ch2= 937, ch3= 727, ch4= 636, ch5=   7, ts=1714037800411597,	delta=830,
seq_no=113,	ch0=2473, ch1= 909, ch2= 537, ch3= 609, ch4= 721, ch5=   1, ts=1714037800412442,	delta=845,
seq_no=114,	ch0=2446, ch1=1336, ch2= 192, ch3= 427, ch4= 782, ch5=  18, ts=1714037800413286,	delta=844,
seq_no=115,	ch0=2423, ch1=1791, ch2=   3, ch3= 336, ch4= 822, ch5= 178, ts=1714037800414129,	delta=843,
seq_no=116,	ch0=2352, ch1=2236, ch2=   0, ch3= 229, ch4= 847, ch5= 156, ts=1714037800414977,	delta=848,
seq_no=117,	ch0=2125, ch1=2460, ch2=  14, ch3= 128, ch4= 797, ch5= 292, ts=1714037800415814,	delta=837,
seq_no=118,	ch0=1588, ch1=2515, ch2=   1, ch3=   5, ch4= 823, ch5= 422, ts=1714037800416654,	delta=840,
seq_no=119,	ch0=1207, ch1=2532, ch2= 205, ch3=   6, ch4= 725, ch5= 621, ts=1714037800417694,	delta=1040,
seq_no=120,	ch0= 799, ch1=2462, ch2= 623, ch3=   5, ch4= 646, ch5= 638, ts=1714037800418388,	delta=694,
seq_no=121,	ch0= 444, ch1=2553, ch2=1042, ch3=   0, ch4= 528, ch5= 736, ts=1714037800419211,	delta=823,
seq_no=122,	ch0= 144, ch1=2540, ch2=1511, ch3=   1, ch4= 392, ch5= 802, ts=1714037800420032,	delta=821,
seq_no=123,	ch0=   0, ch1=2512, ch2=1984, ch3=  81, ch4= 269, ch5= 832, ts=1714037800420873,	delta=841,
seq_no=124,	ch0=   0, ch1=2416, ch2=2403, ch3= 179, ch4= 176, ch5= 854, ts=1714037800421716,	delta=843,
seq_no=125,	ch0=   0, ch1=2054, ch2=2648, ch3= 315, ch4=  88, ch5= 848, ts=1714037800422601,	delta=885,
seq_no=126,	ch0=   4, ch1=1645, ch2=2696, ch3= 442, ch4=  33, ch5= 815, ts=1714037800423407,	delta=806,
seq_no=127,	ch0= 273, ch1=1216, ch2=2713, ch3= 549, ch4=   0, ch5= 727, ts=1714037800424243,	delta=836,
seq_no=128,	ch0= 566, ch1= 793, ch2=2730, ch3= 678, ch4=  13, ch5= 640, ts=1714037800425083,	delta=840,
seq_no=129,	ch0= 872, ch1= 430, ch2=2750, ch3= 798, ch4=   0, ch5= 557, ts=1714037800425928,	delta=845,
seq_no=130,	ch0=1344, ch1= 146, ch2=2712, ch3= 844, ch4=  53, ch5= 413, ts=1714037800426777,	delta=849,
seq_no=131,	ch0=1754, ch1= 109, ch2=2682, ch3= 868, ch4=  87, ch5= 233, ts=1714037800427615,	delta=838,
seq_no=132,	ch0=2155, ch1=  13, ch2=2595, ch3= 907, ch4= 197, ch5= 172, ts=1714037800428453,	delta=838,
seq_no=133,	ch0=2383, ch1=   9, ch2=2191, ch3= 913, ch4= 322, ch5=  90, ts=1714037800429295,	delta=842,
seq_no=134,	ch0=2426, ch1=  64, ch2=1728, ch3= 879, ch4= 452, ch5=  36, ts=1714037800430139,	delta=844,
seq_no=135,	ch0=2453, ch1= 320, ch2=1261, ch3= 793, ch4= 576, ch5=   4, ts=1714037800430990,	delta=851,
seq_no=136,	ch0=2467, ch1= 645, ch2= 832, ch3= 704, ch4= 660, ch5=   5, ts=1714037800431822,	delta=832,
seq_no=137,	ch0=2463, ch1=1028, ch2= 434, ch3= 542, ch4= 750, ch5=   0, ts=1714037800432663,	delta=841,
seq_no=138,	ch0=2445, ch1=1457, ch2=  64, ch3= 438, ch4= 807, ch5= 119, ts=1714037800433505,	delta=842,
seq_no=139,	ch0=2407, ch1=1932, ch2=   2, ch3= 302, ch4= 834, ch5=  92, ts=1714037800434349,	delta=844,
seq_no=140,	ch0=2339, ch1=2284, ch2=   2, ch3= 210, ch4= 832, ch5= 195, ts=1714037800435196,	delta=847,
seq_no=141,	ch0=1881, ch1=2489, ch2=   0, ch3=  64, ch4= 843, ch5= 304, ts=1714037800436045,	delta=849,
seq_no=142,	ch0=1504, ch1=2511, ch2=   0, ch3=  50, ch4= 779, ch5= 543, ts=1714037800436878,	delta=833,
seq_no=143,	ch0=1126, ch1=2486, ch2= 349, ch3=   0, ch4= 815, ch5= 547, ts=1714037800437719,	delta=841,
seq_no=144,	ch0= 707, ch1=2560, ch2= 717, ch3=   0, ch4= 615, ch5= 675, ts=1714037800438660,	delta=941,
seq_no=145,	ch0= 360, ch1=2555, ch2=1166, ch3=   8, ch4= 494, ch5= 747, ts=1714037800439416,	delta=756,
seq_no=146,	ch0=  78, ch1=2535, ch2=1632, ch3=  34, ch4= 363, ch5= 816, ts=1714037800440254,	delta=838,
seq_no=147,	ch0=   0, ch1=2496, ch2=2086, ch3=  99, ch4= 260, ch5= 841, ts=1714037800441089,	delta=835,
seq_no=148,	ch0=   0, ch1=2352, ch2=2506, ch3= 203, ch4= 165, ch5= 852, ts=1714037800441928,	delta=839,
seq_no=149,	ch0=   0, ch1=1957, ch2=2672, ch3= 334, ch4=  66, ch5= 837, ts=1714037800442784,	delta=856,
seq_no=150,	ch0=  82, ch1=1530, ch2=2702, ch3= 488, ch4=  10, ch5= 783, ts=1714037800443618,	delta=834,
seq_no=151,	ch0= 335, ch1=1081, ch2=2723, ch3= 611, ch4=   0, ch5= 712, ts=1714037800444458,	delta=840,
seq_no=152,	ch0= 697, ch1= 689, ch2=2732, ch3= 704, ch4=   0, ch5= 612, ts=1714037800445303,	delta=845,
seq_no=153,	ch0=1027, ch1= 400, ch2=2739, ch3= 770, ch4=   0, ch5= 491, ts=1714037800446142,	delta=839,
seq_no=154,	ch0=1500, ch1=  85, ch2=2712, ch3= 856, ch4=  57, ch5= 403, ts=1714037800446994,	delta=852,
seq_no=155,	ch0=1863, ch1=   0, ch2=2663, ch3= 903, ch4= 162, ch5= 235, ts=1714037800447831,	delta=837,
seq_no=156,	ch0=2254, ch1=   9, ch2=2508, ch3= 910, ch4= 226, ch5= 158, ts=1714037800448672,	delta=841,
seq_no=157,	ch0=2403, ch1=  13, ch2=2059, ch3= 896, ch4= 360, ch5=  70, ts=1714037800449514,	delta=842,
seq_no=158,	ch0=2444, ch1= 115, ch2=1616, ch3= 857, ch4= 481, ch5=  13, ts=1714037800450546,	delta=1032,
seq_no=159,	ch0=2464, ch1= 399, ch2=1155, ch3= 778, ch4= 605, ch5=   0, ts=1714037800451254,	delta=708,
seq_no=160,	ch0=2464, ch1= 737, ch2= 715, ch3= 678, ch4= 690, ch5=   5, ts=1714037800452063,	delta=809,
seq_no=161,	ch0=2451, ch1=1142, ch2= 417, ch3= 539, ch4= 764, ch5=   6, ts=1714037800452896,	delta=833,
seq_no=162,	ch0=2440, ch1=1635, ch2=  50, ch3= 406, ch4= 808, ch5=  22, ts=1714037800453735,	delta=839,
seq_no=163,	ch0=2429, ch1=1991, ch2=  12, ch3= 278, ch4= 822, ch5= 130, ts=1714037800454625,	delta=890,
seq_no=164,	ch0=2168, ch1=2376, ch2=   0, ch3= 121, ch4= 845, ch5= 216, ts=1714037800455423,	delta=798,
seq_no=165,	ch0=1805, ch1=2495, ch2=   0, ch3=  83, ch4= 835, ch5= 473, ts=1714037800456264,	delta=841,
seq_no=166,	ch0=1430, ch1=2536, ch2= 136, ch3=  38, ch4= 798, ch5= 470, ts=1714037800457098,	delta=834,
seq_no=167,	ch0=1035, ch1=2553, ch2= 457, ch3=   0, ch4= 688, ch5= 603, ts=1714037800457946,	delta=848,
seq_no=168,	ch0= 612, ch1=2568, ch2= 840, ch3=   1, ch4= 598, ch5= 694, ts=1714037800458795,	delta=849,
seq_no=169,	ch0= 281, ch1=2548, ch2=1308, ch3=   1, ch4= 450, ch5= 771, ts=1714037800459628,	delta=833,
seq_no=170,	ch0=  21, ch1=2511, ch2=1768, ch3=  54, ch4= 322, ch5= 818, ts=1714037800460470,	delta=842,
seq_no=171,	ch0=   0, ch1=2486, ch2=2211, ch3= 126, ch4= 225, ch5= 836, ts=1714037800461313,	delta=843,
seq_no=172,	ch0=   0, ch1=2240, ch2=2616, ch3= 244, ch4= 129, ch5= 846, ts=1714037800462156,	delta=843,
seq_no=173,	ch0=   0, ch1=1832, ch2=2678, ch3= 383, ch4=  64, ch5= 822, ts=1714037800463007,	delta=851,
seq_no=174,	ch0= 130, ch1=1406, ch2=2720, ch3= 494, ch4=   1, ch5= 775, ts=1714037800463839,	delta=832,
seq_no=175,	ch0= 418, ch1=1019, ch2=2728, ch3= 627, ch4=   0, ch5= 684, ts=1714037800464683,	delta=844,
seq_no=176,	ch0= 748, ch1= 660, ch2=2727, ch3= 713, ch4=  11, ch5= 580, ts=1714037800465525,	delta=842,
seq_no=177,	ch0=1219, ch1= 296, ch2=2730, ch3= 814, ch4=   9, ch5= 353, ts=1714037800466371,	delta=846,
seq_no=178,	ch0=1590, ch1=   0, ch2=2715, ch3= 883, ch4= 101, ch5= 320, ts=1714037800467219,	delta=848,
seq_no=179,	ch0=1961, ch1=  10, ch2=2648, ch3= 913, ch4= 126, ch5= 213, ts=1714037800468050,	delta=831,
seq_no=180,	ch0=2328, ch1=   5, ch2=2391, ch3= 912, ch4= 258, ch5= 117, ts=1714037800468894,	delta=844,
seq_no=181,	ch0=2407, ch1=  12, ch2=1937, ch3= 903, ch4= 388, ch5=  55, ts=1714037800469735,	delta=841,
seq_no=182,	ch0=2446, ch1= 178, ch2=1480, ch3= 832, ch4= 508, ch5=  10, ts=1714037800470614,	delta=879,
seq_no=183,	ch0=2463, ch1= 474, ch2=1028, ch3= 746, ch4= 616, ch5=   6, ts=1714037800471426,	delta=812,
seq_no=184,	ch0=2462, ch1= 834, ch2= 600, ch3= 633, ch4= 710, ch5=   0, ts=1714037800472265,	delta=839,
seq_no=185,	ch0=2450, ch1=1330, ch2= 245, ch3= 504, ch4= 777, ch5=   0, ts=1714037800473109,	delta=844,
seq_no=186,	ch0=2504, ch1=1666, ch2=   0, ch3= 359, ch4= 802, ch5=  74, ts=1714037800473950,	delta=841,
seq_no=187,	ch0=2372, ch1=2096, ch2=   0, ch3= 204, ch4= 846, ch5= 150, ts=1714037800474801,	delta=851,
seq_no=188,	ch0=2107, ch1=2463, ch2=  59, ch3= 160, ch4= 871, ch5= 262, ts=1714037800475635,	delta=834,
