seq_no=105,	ch0=   0, ch1=1363, ch2=1088, ch3=  46, ch4=  64, ch5= 285, ts=1714036333456653,	delta=840,
seq_no=106,	ch0=   0, ch1=1193, ch2=1293, ch3=  78, ch4=  13, ch5= 278, ts=1714036333457494,	delta=841,
seq_no=107,	ch0=  69, ch1= 977, ch2=1474, ch3= 125, ch4=   0, ch5= 270, ts=1714036333458334,	delta=840,
seq_no=108,	ch0=  24, ch1= 775, ch2=1625, ch3= 204, ch4=   0, ch5= 249, ts=1714036333459183,	delta=849,
seq_no=109,	ch0= 179, ch1= 561, ch2=1795, ch3= 211, ch4=   0, ch5= 216, ts=1714036333460021,	delta=838,
seq_no=110,	ch0= 354, ch1= 352, ch2=1731, ch3= 258, ch4=   0, ch5= 163, ts=1714036333460862,	delta=841,
seq_no=111,	ch0= 533, ch1= 105, ch2=1694, ch3= 293, ch4=  50, ch5= 129, ts=1714036333461702,	delta=840,
seq_no=112,	ch0= 820, ch1=  53, ch2=1621, ch3= 300, ch4=   0, ch5=  97, ts=1714036333462542,	delta=840,
seq_no=113,	ch0= 933, ch1=   0, ch2=1452, ch3= 267, ch4=  16, ch5=  82, ts=1714036333463390,	delta=848,
seq_no=114,	ch0=1155, ch1=   0, ch2=1274, ch3= 314, ch4=  65, ch5=  41, ts=1714036333464229,	delta=839,
seq_no=115,	ch0=1321, ch1=   0, ch2=1054, ch3= 302, ch4= 105, ch5=   5, ts=1714036333465080,	delta=851,
seq_no=116,	ch0=1452, ch1=  78, ch2= 821, ch3= 283, ch4= 145, ch5=   0, ts=1714036333465915,	delta=835,
seq_no=117,	ch0=1523, ch1= 224, ch2= 591, ch3= 256, ch4= 186, ch5=   0, ts=1714036333466761,	delta=846,
seq_no=118,	ch0=1544, ch1= 401, ch2= 378, ch3= 218, ch4= 216, ch5=   0, ts=1714036333467596,	delta=835,
seq_no=119,	ch0=1504, ch1= 606, ch2= 192, ch3= 174, ch4= 244, ch5=   0, ts=1714036333468711,	delta=1115,
seq_no=120,	ch0=1422, ch1= 819, ch2=  48, ch3= 132, ch4= 264, ch5=   2, ts=1714036333469330,	delta=619,
seq_no=121,	ch0=1292, ch1=1021, ch2=   0, ch3=  82, ch4= 247, ch5=  29, ts=1714036333470142,	delta=812,
seq_no=122,	ch0=1105, ch1=1226, ch2=   0, ch3=  43, ch4= 269, ch5=  79, ts=1714036333470988,	delta=846,
seq_no=123,	ch0= 895, ch1=1426, ch2=   5, ch3=   0, ch4= 255, ch5= 142, ts=1714036333471810,	delta=822,
seq_no=124,	ch0= 713, ch1=1505, ch2=  11, ch3=   0, ch4= 224, ch5= 263, ts=1714036333472652,	delta=842,
seq_no=125,	ch0= 541, ch1=1677, ch2= 240, ch3=  10, ch4= 215, ch5= 181, ts=1714036333473493,	delta=841,
seq_no=126,	ch0= 320, ch1=1611, ch2= 457, ch3=   0, ch4= 176, ch5= 228, ts=1714036333474335,	delta=842,
seq_no=127,	ch0= 158, ch1=1574, ch2= 686, ch3=   0, ch4= 132, ch5= 254, ts=1714036333475185,	delta=850,
seq_no=128,	ch0=  18, ch1=1464, ch2= 914, ch3=  18, ch4=  96, ch5= 277, ts=1714036333476018,	delta=833,
seq_no=129,	ch0=   0, ch1=1314, ch2=1142, ch3=  48, ch4=  50, ch5= 284, ts=1714036333476861,	delta=843,
seq_no=130,	ch0=   0, ch1=1132, ch2=1340, ch3=  90, ch4=  20, ch5= 282, ts=1714036333477702,	delta=841,
seq_no=131,	ch0=  35, ch1= 907, ch2=1509, ch3= 146, ch4=   0, ch5= 270, ts=1714036333478543,	delta=841,
seq_no=132,	ch0=  41, ch1= 706, ch2=1640, ch3= 209, ch4=   0, ch5= 258, ts=1714036333479459,	delta=916,
seq_no=133,	ch0= 219, ch1= 503, ch2=1828, ch3= 218, ch4=   0, ch5= 218, ts=1714036333480247,	delta=788,
seq_no=134,	ch0= 402, ch1= 309, ch2=1718, ch3= 253, ch4=   0, ch5= 210, ts=1714036333481079,	delta=832,
seq_no=135,	ch0= 604, ch1=  58, ch2=1672, ch3= 283, ch4=  48, ch5= 122, ts=1714036333481916,	delta=837,
seq_no=136,	ch0= 917, ch1=  21, ch2=1624, ch3= 320, ch4=   0, ch5=  90, ts=1714036333482771,	delta=855,
seq_no=137,	ch0= 966, ch1=   0, ch2=1432, ch3= 292, ch4=  31, ch5=  53, ts=1714036333483596,	delta=825,
seq_no=138,	ch0=1200, ch1=   0, ch2=1219, ch3= 322, ch4=  79, ch5=  13, ts=1714036333484434,	delta=838,
seq_no=139,	ch0=1355, ch1=   6, ch2= 997, ch3= 310, ch4= 117, ch5=   0, ts=1714036333485277,	delta=843,
seq_no=140,	ch0=1456, ch1= 107, ch2= 759, ch3= 284, ch4= 159, ch5=   0, ts=1714036333486118,	delta=841,
seq_no=141,	ch0=1535, ch1= 258, ch2= 524, ch3= 251, ch4= 193, ch5=   0, ts=1714036333486970,	delta=852,
seq_no=142,	ch0=1548, ch1= 456, ch2= 320, ch3= 210, ch4= 228, ch5=   0, ts=1714036333487803,	delta=833,
seq_no=143,	ch0=1492, ch1= 664, ch2= 147, ch3= 150, ch4= 250, ch5=   0, ts=1714036333488645,	delta=842,
seq_no=144,	ch0=1399, ch1= 881, ch2=  18, ch3= 119, ch4= 254, ch5=   0, ts=1714036333489488,	delta=843,
seq_no=145,	ch0=1262, ch1=1069, ch2=   0, ch3=  73, ch4= 258, ch5=  33, ts=1714036333490329,	delta=841,
seq_no=146,	ch0=1077, ch1=1279, ch2=   0, ch3=  32, ch4= 248, ch5=  75, ts=1714036333491238,	delta=909,
seq_no=147,	ch0= 837, ch1=1478, ch2=  22, ch3=   0, ch4= 248, ch5= 144, ts=1714036333492021,	delta=783,
seq_no=148,	ch0= 645, ch1=1533, ch2=  26, ch3=   0, ch4= 212, ch5= 257, ts=1714036333492859,	delta=838,
seq_no=149,	ch0= 490, ch1=1664, ch2= 274, ch3=  19, ch4= 207, ch5= 161, ts=1714036333493702,	delta=843,
seq_no=150,	ch0= 282, ch1=1601, ch2= 505, ch3=   0, ch4= 167, ch5= 243, ts=1714036333494540,	delta=838,
seq_no=151,	ch0= 121, ch1=1545, ch2= 732, ch3=   0, ch4= 128, ch5= 265, ts=1714036333495393,	delta=853,
seq_no=152,	ch0=  10, ch1=1438, ch2= 970, ch3=  16, ch4=  71, ch5= 285, ts=1714036333496231,	delta=838,
seq_no=153,	ch0=   0, ch1=1281, ch2=1190, ch3=  52, ch4=  36, ch5= 285, ts=1714036333497065,	delta=834,
seq_no=154,	ch0=   0, ch1=1088, ch2=1390, ch3= 109, ch4=   5, ch5= 278, ts=1714036333497908,	delta=843,
seq_no=155,	ch0=   5, ch1= 864, ch2=1554, ch3= 144, ch4=   0, ch5= 260, ts=1714036333498756,	delta=848,
seq_no=156,	ch0=  72, ch1= 661, ch2=1680, ch3= 233, ch4=   0, ch5= 237, ts=1714036333499590,	delta=834,
seq_no=157,	ch0= 252, ch1= 448, ch2=1831, ch3= 231, ch4=   0, ch5= 205, ts=1714036333500432,	delta=842,
seq_no=158,	ch0= 449, ch1= 268, ch2=1721, ch3= 274, ch4=   0, ch5= 134, ts=1714036333501489,	delta=1057,
seq_no=159,	ch0= 630, ch1=  43, ch2=1639, ch3= 301, ch4=  55, ch5= 114, ts=1714036333502158,	delta=669,
seq_no=160,	ch0= 952, ch1=   0, ch2=1578, ch3= 325, ch4=   0, ch5=  90, ts=1714036333502988,	delta=830,
seq_no=161,	ch0=1031, ch1=   0, ch2=1350, ch3= 255, ch4=  57, ch5=  49, ts=1714036333503802,	delta=814,
seq_no=162,	ch0=1242, ch1=   0, ch2=1154, ch3= 312, ch4=  90, ch5=  17, ts=1714036333504640,	delta=838,
seq_no=163,	ch0=1383, ch1=  28, ch2= 941, ch3= 297, ch4= 130, ch5=   1, ts=1714036333505478,	delta=838,
seq_no=164,	ch0=1487, ch1= 149, ch2= 704, ch3= 267, ch4= 157, ch5=   0, ts=1714036333506319,	delta=841,
seq_no=165,	ch0=1535, ch1= 308, ch2= 476, ch3= 243, ch4= 206, ch5=   0, ts=1714036333507188,	delta=869,
seq_no=166,	ch0=1532, ch1= 494, ch2= 274, ch3= 193, ch4= 234, ch5=   0, ts=1714036333508019,	delta=831,
seq_no=167,	ch0=1474, ch1= 698, ch2=  78, ch3= 146, ch4= 237, ch5=   0, ts=1714036333508857,	delta=838,
seq_no=168,	ch0=1370, ch1= 930, ch2=   0, ch3= 111, ch4= 268, ch5=  26, ts=1714036333509695,	delta=838,
seq_no=169,	ch0=1216, ch1=1122, ch2=   0, ch3=  54, ch4= 253, ch5=  64, ts=1714036333510539,	delta=844,
seq_no=170,	ch0=1016, ch1=1319, ch2=   0, ch3=  28, ch4= 255, ch5= 109, ts=1714036333511383,	delta=844,
seq_no=171,	ch0= 802, ch1=1486, ch2=  43, ch3=   0, ch4= 241, ch5= 146, ts=1714036333512223,	delta=840,
seq_no=172,	ch0= 617, ch1=1554, ch2=  96, ch3=   0, ch4= 233, ch5= 242, ts=1714036333513065,	delta=842,
seq_no=173,	ch0= 439, ch1=1613, ch2= 348, ch3=   0, ch4= 234, ch5= 184, ts=1714036333513906,	delta=841,
seq_no=174,	ch0= 230, ch1=1598, ch2= 569, ch3=   0, ch4= 158, ch5= 244, ts=1714036333514755,	delta=849,
seq_no=175,	ch0=  82, ch1=1520, ch2= 797, ch3=   0, ch4= 106, ch5= 273, ts=1714036333515590,	delta=835,
seq_no=176,	ch0=   0, ch1=1399, ch2=1021, ch3=  38, ch4=  69, ch5= 286, ts=1714036333516431,	delta=841,
seq_no=177,	ch0=   0, ch1=1227, ch2=1240, ch3=  67, ch4=  36, ch5= 278, ts=1714036333517272,	delta=841,
seq_no=178,	ch0=   0, ch1=1027, ch2=1434, ch3= 114, ch4=   2, ch5= 277, ts=1714036333518112,	delta=840,
seq_no=179,	ch0= 114, ch1= 806, ch2=1587, ch3= 161, ch4=   0, ch5= 258, ts=1714036333518959,	delta=847,
seq_no=180,	ch0= 114, ch1= 608, ch2=1687, ch3= 228, ch4=   0, ch5= 235, ts=1714036333519798,	delta=839,
seq_no=181,	ch0= 303, ch1= 408, ch2=1840, ch3= 232, ch4=   0, ch5= 205, ts=1714036333520639,	delta=841,
seq_no=182,	ch0= 501, ch1= 241, ch2=1706, ch3= 278, ch4=   0, ch5= 173, ts=1714036333521481,	delta=842,
seq_no=183,	ch0= 692, ch1=   0, ch2=1643, ch3= 298, ch4=  45, ch5=  92, ts=1714036333522320,	delta=839,
seq_no=184,	ch0= 992, ch1=   0, ch2=1562, ch3= 333, ch4=   0, ch5=  66, ts=1714036333523169,	delta=849,
seq_no=185,	ch0=1066, ch1=   0, ch2=1330, ch3= 253, ch4=  54, ch5=  11, ts=1714036333524005,	delta=836,
seq_no=186,	ch0=1270, ch1=   0, ch2=1123, ch3= 320, ch4=  98, ch5=  13, ts=1714036333524848,	delta=843,
seq_no=187,	ch0=1408, ch1=  44, ch2= 892, ch3= 299, ch4= 136, ch5=   0, ts=1714036333525689,	delta=841,
seq_no=188,	ch0=1505, ch1= 174, ch2= 642, ch3= 273, ch4= 174, ch5=   0, ts=1714036333526531,	delta=842,
seq_no=189,	ch0=1545, ch1= 347, ch2= 421, ch3= 220, ch4= 210, ch5=   0, ts=1714036333527384,	delta=853,
seq_no=190,	ch0=1531, ch1= 548, ch2= 234, ch3= 184, ch4= 241, ch5=   0, ts=1714036333528221,	delta=837,
seq_no=191,	ch0=1454, ch1= 766, ch2=  50, ch3= 136, ch4= 253, ch5=   5, ts=1714036333529062,	delta=841,
seq_no=192,	ch0=1335, ch1= 977, ch2=   0, ch3= 101, ch4= 258, ch5=  15, ts=1714036333529899,	delta=837,
seq_no=193,	ch0=1180, ch1=1167, ch2=   0, ch3=  53, ch4= 256, ch5=  55, ts=1714036333530751,	delta=852,
seq_no=194,	ch0= 963, ch1=1351, ch2=   0, ch3=  21, ch4= 260, ch5= 100, ts=1714036333531585,	delta=834,
seq_no=195,	ch0= 758, ch1=1544, ch2=  73, ch3=   0, ch4= 250, ch5= 160, ts=1714036333532423,	delta=838,
seq_no=196,	ch0= 563, ch1=1554, ch2= 114, ch3=   0, ch4= 214, ch5= 285, ts=1714036333533270,	delta=847,
seq_no=197,	ch0= 392, ch1=1674, ch2= 370, ch3=  20, ch4= 199, ch5= 192, ts=1714036333534108,	delta=838,
seq_no=198,	ch0= 195, ch1=1581, ch2= 609, ch3=   0, ch4= 138, ch5= 253, ts=1714036333535003,	delta=895,
seq_no=199,	ch0=  64, ch1=1500, ch2= 832, ch3=   4, ch4= 101, ch5= 274, ts=1714036333535804,	delta=801,
seq_no=200,	ch0=   0, ch1=1368, ch2=1072, ch3=  29, ch4=  64, ch5= 285, ts=1714036333536641,	delta=837,
seq_no=201,	ch0=   0, ch1=1194, ch2=1288, ch3=  70, ch4=  18, ch5= 282, ts=1714036333537481,	delta=840,
seq_no=202,	ch0=   0, ch1= 992, ch2=1479, ch3= 117, ch4=   0, ch5= 281, ts=1714036333538323,	delta=842,
seq_no=203,	ch0=  53, ch1= 768, ch2=1632, ch3= 170, ch4=   0, ch5= 251, ts=1714036333539221,	delta=898,
seq_no=204,	ch0= 138, ch1= 564, ch2=1712, ch3= 254, ch4=   0, ch5= 229, ts=1714036333540008,	delta=787,
seq_no=205,	ch0= 341, ch1= 374, ch2=1760, ch3= 246, ch4=   0, ch5= 188, ts=1714036333540849,	delta=841,
seq_no=206,	ch0= 541, ch1= 192, ch2=1679, ch3= 285, ch4=   0, ch5= 218, ts=1714036333541687,	delta=838,
seq_no=207,	ch0= 758, ch1=   0, ch2=1601, ch3= 295, ch4=  87, ch5=  98, ts=1714036333542532,	delta=845,
