seq_no=68,	ch0=2416, ch1=1828, ch2=   4, ch3= 871, ch4=2072, ch5= 256, ts=1714037646306743,	delta=849,
seq_no=69,	ch0=2338, ch1=2224, ch2=   2, ch3= 654, ch4=2147, ch5= 515, ts=1714037646307582,	delta=839,
seq_no=70,	ch0=1961, ch1=2480, ch2=  12, ch3= 405, ch4=2137, ch5= 853, ts=1714037646308424,	delta=842,
seq_no=71,	ch0=1575, ch1=2521, ch2=  14, ch3= 253, ch4=2038, ch5=1222, ts=1714037646309267,	delta=843,
seq_no=72,	ch0=1165, ch1=2549, ch2= 320, ch3=  87, ch4=1873, ch5=1424, ts=1714037646310111,	delta=844,
seq_no=73,	ch0= 749, ch1=2557, ch2= 688, ch3=  16, ch4=1575, ch5=1669, ts=1714037646310958,	delta=847,
seq_no=74,	ch0= 403, ch1=2575, ch2=1174, ch3=   0, ch4=1298, ch5=1859, ts=1714037646311794,	delta=836,
seq_no=75,	ch0= 151, ch1=2528, ch2=1574, ch3=  38, ch4= 965, ch5=1984, ts=1714037646312639,	delta=845,
seq_no=76,	ch0=  48, ch1=2500, ch2=2072, ch3= 217, ch4= 669, ch5=2113, ts=1714037646313482,	delta=843,
seq_no=77,	ch0=   0, ch1=2401, ch2=2464, ch3= 514, ch4= 496, ch5=2192, ts=1714037646314321,	delta=839,
seq_no=78,	ch0=   0, ch1=2015, ch2=2599, ch3= 875, ch4= 306, ch5=2184, ts=1714037646315170,	delta=849,
seq_no=79,	ch0=  42, ch1=1600, ch2=2695, ch3=1223, ch4= 141, ch5=2080, ts=1714037646316281,	delta=1111,
seq_no=80,	ch0= 297, ch1=1172, ch2=2718, ch3=1487, ch4=  17, ch5=1871, ts=1714037646316897,	delta=616,
seq_no=81,	ch0= 613, ch1= 783, ch2=2728, ch3=1712, ch4=  11, ch5=1601, ts=1714037646317712,	delta=815,
seq_no=82,	ch0= 992, ch1= 410, ch2=2732, ch3=1947, ch4=  16, ch5=1251, ts=1714037646318545,	delta=833,
seq_no=83,	ch0=1416, ch1= 130, ch2=2705, ch3=2124, ch4=  70, ch5= 971, ts=1714037646320010,	delta=1465,
seq_no=84,	ch0=1801, ch1=   0, ch2=2668, ch3=2256, ch4= 294, ch5= 718, ts=1714037646320291,	delta=281,
seq_no=85,	ch0=2180, ch1=   0, ch2=2559, ch3=2292, ch4= 553, ch5= 503, ts=1714037646321098,	delta=807,
seq_no=86,	ch0=2388, ch1=   0, ch2=2115, ch3=2272, ch4= 987, ch5= 284, ts=1714037646321926,	delta=828,
seq_no=87,	ch0=2423, ch1=  79, ch2=1668, ch3=2352, ch4=1159, ch5= 141, ts=1714037646322783,	delta=857,
seq_no=88,	ch0=2456, ch1= 352, ch2=1231, ch3=2065, ch4=1425, ch5=  25, ts=1714037646323596,	delta=813,
seq_no=89,	ch0=2463, ch1= 688, ch2= 782, ch3=1772, ch4=1634, ch5=  17, ts=1714037646324444,	delta=848,
seq_no=90,	ch0=2459, ch1=1088, ch2= 383, ch3=1411, ch4=1824, ch5=  13, ts=1714037646325288,	delta=844,
seq_no=91,	ch0=2442, ch1=1507, ch2=  91, ch3=1075, ch4=1984, ch5= 106, ts=1714037646326128,	delta=840,
