seq_no=61,	ch0= 762, ch1= 141, ch2= 232, ch3= 286, ch4= 237, ch5=   0, ts=1714036173220243,	delta=836,
seq_no=62,	ch0= 756, ch1= 239, ch2= 134, ch3= 237, ch4= 280, ch5=   0, ts=1714036173221084,	delta=841,
seq_no=63,	ch0= 726, ch1= 348, ch2=  48, ch3= 181, ch4= 306, ch5=   0, ts=1714036173221924,	delta=840,
seq_no=64,	ch0= 666, ch1= 448, ch2=   0, ch3= 129, ch4= 327, ch5=  23, ts=1714036173222770,	delta=846,
seq_no=65,	ch0= 600, ch1= 599, ch2=   0, ch3=  81, ch4= 327, ch5=  48, ts=1714036173223605,	delta=835,
seq_no=66,	ch0= 506, ch1= 621, ch2=   0, ch3=  41, ch4= 275, ch5= 105, ts=1714036173224521,	delta=916,
seq_no=67,	ch0= 361, ch1= 705, ch2=   1, ch3=  64, ch4= 293, ch5= 165, ts=1714036173225519,	delta=998,
seq_no=68,	ch0= 277, ch1= 757, ch2=  69, ch3=   0, ch4= 276, ch5= 226, ts=1714036173226208,	delta=689,
seq_no=69,	ch0= 192, ch1= 772, ch2=  77, ch3=   0, ch4= 214, ch5= 372, ts=1714036173227416,	delta=1208,
seq_no=70,	ch0= 117, ch1= 864, ch2= 241, ch3=  21, ch4= 205, ch5= 274, ts=1714036173227956,	delta=540,
seq_no=71,	ch0=  38, ch1= 704, ch2= 356, ch3=   4, ch4=  66, ch5= 330, ts=1714036173228698,	delta=742,
seq_no=72,	ch0=   0, ch1= 685, ch2= 492, ch3=  21, ch4=  97, ch5= 361, ts=1714036173229511,	delta=813,
seq_no=73,	ch0=   0, ch1= 605, ch2= 601, ch3=  70, ch4=  50, ch5= 362, ts=1714036173230348,	delta=837,
seq_no=74,	ch0=   0, ch1= 516, ch2= 706, ch3= 122, ch4=  19, ch5= 349, ts=1714036173231203,	delta=855,
seq_no=75,	ch0=   1, ch1= 405, ch2= 772, ch3= 175, ch4=   0, ch5= 338, ts=1714036173232023,	delta=820,
seq_no=76,	ch0=  64, ch1= 301, ch2= 823, ch3= 228, ch4=   0, ch5= 305, ts=1714036173232866,	delta=843,
seq_no=77,	ch0= 143, ch1= 194, ch2= 855, ch3= 276, ch4=   0, ch5= 260, ts=1714036173233706,	delta=840,
seq_no=78,	ch0= 224, ch1=  98, ch2= 850, ch3= 298, ch4=   0, ch5= 217, ts=1714036173234546,	delta=840,
seq_no=79,	ch0= 330, ch1=  39, ch2= 813, ch3= 335, ch4=   8, ch5= 170, ts=1714036173235712,	delta=1166,
seq_no=80,	ch0= 453, ch1=   0, ch2= 740, ch3= 361, ch4=  21, ch5=  85, ts=1714036173236290,	delta=578,
seq_no=81,	ch0= 522, ch1=   0, ch2= 658, ch3= 386, ch4= 132, ch5=  43, ts=1714036173237088,	delta=798,
seq_no=82,	ch0= 706, ch1=   0, ch2= 600, ch3= 381, ch4= 100, ch5=  19, ts=1714036173237919,	delta=831,
seq_no=83,	ch0= 658, ch1=  14, ch2= 429, ch3= 294, ch4= 171, ch5=   0, ts=1714036173238772,	delta=853,
seq_no=84,	ch0= 738, ch1=  75, ch2= 314, ch3= 323, ch4= 216, ch5=   0, ts=1714036173239599,	delta=827,
seq_no=85,	ch0= 758, ch1= 154, ch2= 214, ch3= 277, ch4= 256, ch5=   0, ts=1714036173240437,	delta=838,
seq_no=86,	ch0= 745, ch1= 252, ch2= 117, ch3= 226, ch4= 284, ch5=   0, ts=1714036173241283,	delta=846,
seq_no=87,	ch0= 715, ch1= 356, ch2=  37, ch3= 164, ch4= 311, ch5=   2, ts=1714036173242121,	delta=838,
seq_no=88,	ch0= 655, ch1= 463, ch2=   0, ch3= 119, ch4= 326, ch5=  37, ts=1714036173242974,	delta=853,
seq_no=89,	ch0= 570, ch1= 562, ch2=  51, ch3=  69, ch4= 325, ch5=  84, ts=1714036173243805,	delta=831,
seq_no=90,	ch0= 491, ch1= 653, ch2=   0, ch3=  34, ch4= 313, ch5= 170, ts=1714036173244645,	delta=840,
seq_no=91,	ch0= 382, ch1= 678, ch2=   7, ch3=   5, ch4= 380, ch5= 184, ts=1714036173245487,	delta=842,
seq_no=92,	ch0= 354, ch1= 761, ch2=  84, ch3=   0, ch4= 250, ch5= 247, ts=1714036173246330,	delta=843,
seq_no=93,	ch0= 134, ch1= 788, ch2= 173, ch3=   0, ch4= 214, ch5= 274, ts=1714036173247176,	delta=846,
seq_no=94,	ch0=  92, ch1= 757, ch2= 402, ch3=   0, ch4= 194, ch5= 330, ts=1714036173248012,	delta=836,
seq_no=95,	ch0=  72, ch1= 752, ch2= 362, ch3=   2, ch4= 133, ch5= 397, ts=1714036173248853,	delta=841,
seq_no=96,	ch0=   0, ch1= 667, ch2= 523, ch3=  26, ch4=  68, ch5= 367, ts=1714036173249695,	delta=842,
seq_no=97,	ch0=   0, ch1= 586, ch2= 632, ch3=  78, ch4=  37, ch5= 366, ts=1714036173250535,	delta=840,
seq_no=98,	ch0=   0, ch1= 487, ch2= 721, ch3= 145, ch4=   8, ch5= 346, ts=1714036173251384,	delta=849,
