seq_no=86,	ch0=2118, ch1=   0, ch2=2606, ch3=  64, ch4=  98, ch5=  51, ts=1713173572407478,	delta=710,
seq_no=87,	ch0=1745, ch1=   0, ch2=2681, ch3=  64, ch4=  58, ch5=  64, ts=1713173572408311,	delta=833,
seq_no=88,	ch0=1383, ch1= 152, ch2=2716, ch3=  48, ch4=   0, ch5=  58, ts=1713173572409148,	delta=837,
seq_no=89,	ch0= 908, ch1= 480, ch2=2727, ch3=  55, ch4=  64, ch5=  64, ts=1713173572409990,	delta=842,
seq_no=90,	ch0= 539, ch1= 847, ch2=2734, ch3=  67, ch4=  75, ch5=  64, ts=1713173572410842,	delta=852,
seq_no=91,	ch0= 226, ch1=1260, ch2=2720, ch3=  64, ch4=  79, ch5=  48, ts=1713173572411672,	delta=830,
seq_no=92,	ch0=   0, ch1=1683, ch2=2691, ch3=  73, ch4=  75, ch5=  31, ts=1713173572412512,	delta=840,
seq_no=93,	ch0=   0, ch1=2087, ch2=2643, ch3=  64, ch4=  66, ch5=  18, ts=1713173572413350,	delta=838,
seq_no=94,	ch0=   0, ch1=2443, ch2=2368, ch3=  58, ch4=  71, ch5=   9, ts=1713173572414195,	delta=845,
seq_no=95,	ch0=   0, ch1=2503, ch2=2008, ch3=  73, ch4=  64, ch5=   8, ts=1713173572415071,	delta=876,
seq_no=96,	ch0= 192, ch1=2551, ch2=1481, ch3=  79, ch4=  65, ch5=  13, ts=1713173572415890,	delta=819,
seq_no=97,	ch0= 478, ch1=2560, ch2= 960, ch3=  86, ch4=  56, ch5=  79, ts=1713173572416727,	delta=837,
seq_no=98,	ch0= 876, ch1=2545, ch2= 553, ch3=  96, ch4=  38, ch5=   0, ts=1713173572417565,	delta=838,
seq_no=99,	ch0=1247, ch1=2544, ch2= 224, ch3= 132, ch4=  53, ch5=   0, ts=1713173572418407,	delta=842,
seq_no=100,	ch0=1675, ch1=2520, ch2=   0, ch3=  96, ch4=  33, ch5=   0, ts=1713173572419259,	delta=852,
seq_no=101,	ch0=2052, ch1=2448, ch2=   3, ch3=  90, ch4=  20, ch5=  11, ts=1713173572420091,	delta=832,
seq_no=102,	ch0=2368, ch1=2162, ch2=   1, ch3= 100, ch4=   9, ch5=  24, ts=1713173572420933,	delta=842,
seq_no=103,	ch0=2424, ch1=1763, ch2=  12, ch3= 102, ch4=  11, ch5=  40, ts=1713173572421771,	delta=838,
seq_no=104,	ch0=2437, ch1=1319, ch2= 238, ch3=  97, ch4=  17, ch5=  54, ts=1713173572422666,	delta=895,
seq_no=105,	ch0=2467, ch1= 906, ch2= 576, ch3=  96, ch4=  22, ch5=  57, ts=1713173572423468,	delta=802,
seq_no=106,	ch0=2466, ch1= 530, ch2= 986, ch3=  91, ch4=  13, ch5=  71, ts=1713173572424304,	delta=836,
seq_no=107,	ch0=2448, ch1= 207, ch2=1438, ch3=  73, ch4=   8, ch5=  73, ts=1713173572425143,	delta=839,
seq_no=108,	ch0=2431, ch1=  17, ch2=1902, ch3=  75, ch4=   0, ch5=  75, ts=1713173572425983,	delta=840,
seq_no=109,	ch0=2359, ch1=  25, ch2=2348, ch3=  67, ch4=   1, ch5=  58, ts=1713173572426835,	delta=852,
seq_no=110,	ch0=2016, ch1=   0, ch2=2673, ch3=  36, ch4=  34, ch5=  82, ts=1713173572427719,	delta=884,
seq_no=111,	ch0=1615, ch1=  47, ch2=2694, ch3=  53, ch4=  53, ch5=  73, ts=1713173572428516,	delta=797,
seq_no=112,	ch0=1208, ch1= 224, ch2=2648, ch3=  44, ch4=  50, ch5= 159, ts=1713173572429355,	delta=839,
seq_no=113,	ch0= 808, ch1= 560, ch2=2727, ch3=  48, ch4=  65, ch5=  64, ts=1713173572430192,	delta=837,
seq_no=114,	ch0= 454, ch1= 950, ch2=2732, ch3=  49, ch4=  73, ch5=  57, ts=1713173572431049,	delta=857,
seq_no=115,	ch0= 153, ch1=1372, ch2=2715, ch3=  54, ch4=  74, ch5=  48, ts=1713173572431878,	delta=829,
seq_no=116,	ch0=   0, ch1=1794, ch2=2683, ch3=  67, ch4=  74, ch5=  37, ts=1713173572432722,	delta=844,
seq_no=117,	ch0=   0, ch1=2196, ch2=2628, ch3=  60, ch4=  68, ch5=  21, ts=1713173572433560,	delta=838,
seq_no=118,	ch0=   0, ch1=2463, ch2=2247, ch3=  70, ch4=  92, ch5=   4, ts=1713173572434401,	delta=841,
seq_no=119,	ch0=   8, ch1=2508, ch2=1804, ch3=  78, ch4=  14, ch5=   6, ts=1713173572435553,	delta=1152,
seq_no=120,	ch0= 326, ch1=2545, ch2=1332, ch3=  91, ch4=  44, ch5=   0, ts=1713173572436131,	delta=578,
seq_no=121,	ch0= 515, ch1=2557, ch2= 877, ch3= 164, ch4=  48, ch5=   5, ts=1713173572436947,	delta=816,
seq_no=122,	ch0= 900, ch1=2557, ch2= 507, ch3= 125, ch4=  42, ch5=  36, ts=1713173572437779,	delta=832,
seq_no=123,	ch0=1312, ch1=2544, ch2= 162, ch3=  43, ch4=  37, ch5=  34, ts=1713173572438675,	delta=896,
seq_no=124,	ch0=1731, ch1=2516, ch2=  38, ch3=  72, ch4=   0, ch5=   8, ts=1713173572439469,	delta=794,
seq_no=125,	ch0=2144, ch1=2439, ch2=   2, ch3=  88, ch4=  14, ch5=  18, ts=1713173572440302,	delta=833,
seq_no=126,	ch0=2383, ch1=2072, ch2=   0, ch3= 102, ch4=   9, ch5=  29, ts=1713173572441138,	delta=836,
seq_no=127,	ch0=2439, ch1=1655, ch2=  26, ch3= 106, ch4=  10, ch5=  41, ts=1713173572441982,	delta=844,
seq_no=128,	ch0=2455, ch1=1216, ch2= 306, ch3= 109, ch4=  11, ch5=  49, ts=1713173572442836,	delta=854,
seq_no=129,	ch0=2463, ch1= 806, ch2= 666, ch3=  97, ch4=   9, ch5=  71, ts=1713173572443668,	delta=832,
seq_no=130,	ch0=2465, ch1= 439, ch2=1075, ch3=  93, ch4=  11, ch5=  64, ts=1713173572444509,	delta=841,
seq_no=131,	ch0=2444, ch1= 105, ch2=1543, ch3=  82, ch4=  13, ch5=  79, ts=1713173572445351,	delta=842,
seq_no=132,	ch0=2415, ch1=  20, ch2=1984, ch3=  73, ch4=  19, ch5=  64, ts=1713173572446195,	delta=844,
seq_no=133,	ch0=2319, ch1=   0, ch2=2424, ch3=  65, ch4=  42, ch5=  57, ts=1713173572447037,	delta=842,
seq_no=134,	ch0=1926, ch1=   0, ch2=2656, ch3=  44, ch4=   0, ch5=  66, ts=1713173572447874,	delta=837,
seq_no=135,	ch0=1651, ch1=  33, ch2=2721, ch3=  57, ch4=   0, ch5=  58, ts=1713173572448719,	delta=845,
seq_no=136,	ch0=1191, ch1= 305, ch2=2700, ch3=  48, ch4=  33, ch5=  64, ts=1713173572449560,	delta=841,
seq_no=137,	ch0= 722, ch1= 646, ch2=2734, ch3=  52, ch4=  71, ch5=  71, ts=1713173572450402,	delta=842,
seq_no=138,	ch0= 381, ch1=1038, ch2=2726, ch3=  51, ch4=  78, ch5=  50, ts=1713173572451253,	delta=851,
seq_no=139,	ch0= 101, ch1=1461, ch2=2707, ch3=  57, ch4=  81, ch5=  38, ts=1713173572452086,	delta=833,
seq_no=140,	ch0=   0, ch1=1880, ch2=2675, ch3=  68, ch4=  78, ch5=  26, ts=1713173572452929,	delta=843,
seq_no=141,	ch0=   0, ch1=2284, ch2=2579, ch3=  64, ch4=  74, ch5=  14, ts=1713173572453769,	delta=840,
seq_no=142,	ch0=   0, ch1=2485, ch2=2240, ch3=  64, ch4=  81, ch5=   5, ts=1713173572454652,	delta=883,
seq_no=143,	ch0=  64, ch1=2536, ch2=1743, ch3=  83, ch4=  64, ch5=   4, ts=1713173572455459,	delta=807,
seq_no=144,	ch0= 320, ch1=2547, ch2=1186, ch3=  93, ch4=  57, ch5=  73, ts=1713173572456296,	delta=837,
seq_no=145,	ch0= 663, ch1=2563, ch2= 772, ch3= 102, ch4=  59, ch5=  45, ts=1713173572457138,	delta=842,
seq_no=146,	ch0=1018, ch1=2608, ch2= 403, ch3= 109, ch4=  45, ch5=   0, ts=1713173572457980,	delta=842,
seq_no=147,	ch0=1463, ch1=2532, ch2=  87, ch3= 126, ch4=  43, ch5=   0, ts=1713173572458831,	delta=851,
seq_no=148,	ch0=1848, ch1=2353, ch2=  10, ch3=  76, ch4=  97, ch5=   0, ts=1713173572459666,	delta=835,
seq_no=149,	ch0=2232, ch1=2371, ch2=   5, ch3=  99, ch4=  10, ch5=  20, ts=1713173572460503,	delta=837,
seq_no=150,	ch0=2400, ch1=1990, ch2=  18, ch3= 102, ch4=   5, ch5=  37, ts=1713173572461347,	delta=844,
seq_no=151,	ch0=2439, ch1=1557, ch2= 106, ch3=  96, ch4=   6, ch5=  50, ts=1713173572462189,	delta=842,
seq_no=152,	ch0=2463, ch1=1126, ch2= 375, ch3=  98, ch4=  14, ch5=  57, ts=1713173572463040,	delta=851,
seq_no=153,	ch0=2440, ch1= 729, ch2= 754, ch3=  96, ch4=  16, ch5=  58, ts=1713173572463873,	delta=833,
seq_no=154,	ch0=2466, ch1= 394, ch2=1194, ch3=  89, ch4=  13, ch5=  52, ts=1713173572464714,	delta=841,
seq_no=155,	ch0=2440, ch1= 125, ch2=1656, ch3=  76, ch4=   5, ch5=  76, ts=1713173572465559,	delta=845,
