seq_no=134,	ch0=  64, ch1=1446, ch2=2286, ch3= 408, ch4=  45, ch5= 913, ts=1714036688033727,	delta=842,
seq_no=135,	ch0=  88, ch1=1168, ch2=2471, ch3= 517, ch4=   0, ch5= 876, ts=1714036688034625,	delta=898,
seq_no=136,	ch0= 298, ch1= 837, ch2=2528, ch3= 684, ch4=   0, ch5= 816, ts=1714036688035425,	delta=800,
seq_no=137,	ch0= 560, ch1= 541, ch2=2603, ch3= 795, ch4=   0, ch5= 641, ts=1714036688036260,	delta=835,
seq_no=138,	ch0= 851, ch1= 275, ch2=2567, ch3= 894, ch4=   0, ch5= 507, ts=1714036688037099,	delta=839,
seq_no=139,	ch0=1161, ch1=  79, ch2=2407, ch3= 960, ch4=  54, ch5= 370, ts=1714036688037943,	delta=844,
seq_no=140,	ch0=1474, ch1=   5, ch2=2191, ch3=1001, ch4= 143, ch5= 256, ts=1714036688038793,	delta=850,
seq_no=141,	ch0=1755, ch1=   5, ch2=1898, ch3=1022, ch4= 276, ch5= 155, ts=1714036688039630,	delta=837,
seq_no=142,	ch0=1997, ch1=   0, ch2=1564, ch3= 996, ch4= 389, ch5=  65, ts=1714036688040472,	delta=842,
seq_no=143,	ch0=2190, ch1= 164, ch2=1216, ch3= 936, ch4= 550, ch5=   0, ts=1714036688041315,	delta=843,
seq_no=144,	ch0=2310, ch1= 372, ch2= 877, ch3= 847, ch4= 656, ch5=   0, ts=1714036688042154,	delta=839,
seq_no=145,	ch0=2294, ch1= 724, ch2= 540, ch3= 736, ch4= 736, ch5=   0, ts=1714036688043005,	delta=851,
seq_no=146,	ch0=2272, ch1= 902, ch2= 281, ch3= 561, ch4= 776, ch5=   0, ts=1714036688043845,	delta=840,
seq_no=147,	ch0=2080, ch1=1250, ch2=  84, ch3= 465, ch4= 898, ch5=  74, ts=1714036688044685,	delta=840,
seq_no=148,	ch0=1930, ch1=1570, ch2=   5, ch3= 298, ch4= 931, ch5= 153, ts=1714036688045524,	delta=839,
seq_no=149,	ch0=1672, ch1=1859, ch2=  16, ch3= 192, ch4= 922, ch5= 283, ts=1714036688046366,	delta=842,
seq_no=150,	ch0=1382, ch1=2112, ch2=   9, ch3= 100, ch4= 890, ch5= 416, ts=1714036688047216,	delta=850,
seq_no=151,	ch0=1062, ch1=2303, ch2= 178, ch3=  23, ch4= 840, ch5= 558, ts=1714036688048054,	delta=838,
seq_no=152,	ch0= 762, ch1=2396, ch2= 399, ch3=   0, ch4= 741, ch5= 661, ts=1714036688048897,	delta=843,
seq_no=153,	ch0= 482, ch1=2417, ch2= 707, ch3=   0, ch4= 621, ch5= 743, ts=1714036688049739,	delta=842,
seq_no=154,	ch0= 229, ch1=2318, ch2=1050, ch3=   4, ch4= 507, ch5= 840, ts=1714036688050617,	delta=878,
seq_no=155,	ch0=   0, ch1=2199, ch2=1403, ch3= 109, ch4= 336, ch5= 905, ts=1714036688051424,	delta=807,
seq_no=156,	ch0=   0, ch1=1973, ch2=1735, ch3= 138, ch4= 224, ch5= 932, ts=1714036688052265,	delta=841,
seq_no=157,	ch0=   5, ch1=1707, ch2=2008, ch3= 287, ch4= 160, ch5= 972, ts=1714036688053105,	delta=840,
seq_no=158,	ch0=   0, ch1=1301, ch2=2301, ch3= 423, ch4= 128, ch5= 883, ts=1714036688054126,	delta=1021,
seq_no=159,	ch0= 221, ch1=1062, ch2=2540, ch3= 580, ch4=   0, ch5= 826, ts=1714036688054873,	delta=747,
seq_no=160,	ch0= 365, ch1= 773, ch2=2597, ch3= 710, ch4=   0, ch5= 737, ts=1714036688055664,	delta=791,
seq_no=161,	ch0= 632, ch1= 467, ch2=2563, ch3= 819, ch4=   0, ch5= 608, ts=1714036688056489,	delta=825,
seq_no=162,	ch0= 944, ch1= 220, ch2=2536, ch3= 911, ch4=   8, ch5= 470, ts=1714036688057330,	delta=841,
seq_no=163,	ch0=1248, ch1=  48, ch2=2352, ch3= 977, ch4=  87, ch5= 335, ts=1714036688058169,	delta=839,
seq_no=164,	ch0=1551, ch1=   0, ch2=2119, ch3=1012, ch4= 168, ch5= 228, ts=1714036688059015,	delta=846,
seq_no=165,	ch0=1824, ch1=   8, ch2=1800, ch3=1018, ch4= 308, ch5= 125, ts=1714036688059850,	delta=835,
seq_no=166,	ch0=2072, ch1=  28, ch2=1475, ch3=1000, ch4= 448, ch5=  49, ts=1714036688060692,	delta=842,
seq_no=167,	ch0=2232, ch1= 195, ch2=1128, ch3= 920, ch4= 563, ch5=   0, ts=1714036688061534,	delta=842,
seq_no=168,	ch0=2307, ch1= 429, ch2= 792, ch3= 817, ch4= 676, ch5=   0, ts=1714036688062376,	delta=842,
seq_no=169,	ch0=2311, ch1= 732, ch2= 536, ch3= 684, ch4= 805, ch5=   1, ts=1714036688063227,	delta=851,
