seq_no=92,	ch0= 981, ch1=   0, ch2=1447, ch3=1120, ch4= 154, ch5= 290, ts=1714038002783418,	delta=880,
seq_no=93,	ch0=1167, ch1=   0, ch2=1248, ch3=1148, ch4= 293, ch5= 180, ts=1714038002784238,	delta=820,
seq_no=94,	ch0=1326, ch1=   2, ch2=1026, ch3=1142, ch4= 448, ch5=  79, ts=1714038002785078,	delta=840,
seq_no=95,	ch0=1432, ch1=  83, ch2= 801, ch3=1073, ch4= 588, ch5=  22, ts=1714038002785921,	delta=843,
seq_no=96,	ch0=1516, ch1= 235, ch2= 572, ch3= 960, ch4= 719, ch5=   0, ts=1714038002786771,	delta=850,
seq_no=97,	ch0=1560, ch1= 415, ch2= 333, ch3= 808, ch4= 833, ch5=   0, ts=1714038002787601,	delta=830,
seq_no=98,	ch0=1516, ch1= 598, ch2= 162, ch3= 648, ch4= 919, ch5=   0, ts=1714038002788439,	delta=838,
seq_no=99,	ch0=1284, ch1= 823, ch2=  25, ch3= 562, ch4= 960, ch5=  64, ts=1714038002789283,	delta=844,
seq_no=100,	ch0=1249, ch1=1075, ch2=   4, ch3= 330, ch4=1012, ch5= 168, ts=1714038002790125,	delta=842,
seq_no=101,	ch0=1145, ch1=1234, ch2=   0, ch3= 234, ch4=1047, ch5= 381, ts=1714038002790975,	delta=850,
seq_no=102,	ch0= 906, ch1=1402, ch2=   0, ch3= 107, ch4=1003, ch5= 480, ts=1714038002791809,	delta=834,
seq_no=103,	ch0= 704, ch1=1518, ch2= 114, ch3=  30, ch4= 918, ch5= 620, ts=1714038002792649,	delta=840,
seq_no=104,	ch0= 488, ch1=1599, ch2= 268, ch3=   0, ch4= 811, ch5= 749, ts=1714038002793495,	delta=846,
seq_no=105,	ch0= 294, ch1=1600, ch2= 480, ch3=   0, ch4= 669, ch5= 870, ts=1714038002794337,	delta=842,
seq_no=106,	ch0= 144, ch1=1562, ch2= 700, ch3=   0, ch4= 527, ch5= 970, ts=1714038002795179,	delta=842,
seq_no=107,	ch0=  78, ch1=1441, ch2= 923, ch3=  45, ch4= 373, ch5=1029, ts=1714038002796022,	delta=843,
seq_no=108,	ch0=   0, ch1=1301, ch2=1151, ch3= 146, ch4= 250, ch5=1055, ts=1714038002796861,	delta=839,
seq_no=109,	ch0=   0, ch1=1121, ch2=1321, ch3= 327, ch4= 140, ch5=1113, ts=1714038002797705,	delta=844,
seq_no=110,	ch0=   0, ch1= 995, ch2=1531, ch3= 488, ch4=  68, ch5= 998, ts=1714038002798547,	delta=842,
seq_no=111,	ch0= 210, ch1= 677, ch2=1660, ch3= 647, ch4=   0, ch5= 936, ts=1714038002799401,	delta=854,
seq_no=112,	ch0= 192, ch1= 481, ch2=1712, ch3= 736, ch4=   0, ch5= 815, ts=1714038002800234,	delta=833,
seq_no=113,	ch0= 409, ch1= 306, ch2=1625, ch3= 901, ch4=   0, ch5= 783, ts=1714038002801076,	delta=842,
seq_no=114,	ch0= 619, ch1= 143, ch2=1683, ch3=1019, ch4=   0, ch5= 530, ts=1714038002801920,	delta=844,
seq_no=115,	ch0= 826, ch1=  21, ch2=1567, ch3=1098, ch4=  82, ch5= 388, ts=1714038002802768,	delta=848,
seq_no=116,	ch0=1032, ch1=   0, ch2=1389, ch3=1139, ch4= 198, ch5= 257, ts=1714038002803606,	delta=838,
seq_no=117,	ch0=1216, ch1=   0, ch2=1184, ch3=1160, ch4= 338, ch5= 149, ts=1714038002804445,	delta=839,
seq_no=118,	ch0=1363, ch1=   7, ch2= 960, ch3=1124, ch4= 485, ch5=  71, ts=1714038002805286,	delta=841,
seq_no=119,	ch0=1481, ch1= 106, ch2= 728, ch3=1049, ch4= 621, ch5=   0, ts=1714038002806315,	delta=1029,
seq_no=120,	ch0=1537, ch1= 278, ch2= 514, ch3= 923, ch4= 753, ch5=   0, ts=1714038002807036,	delta=721,
seq_no=121,	ch0=1532, ch1= 455, ch2= 306, ch3= 777, ch4= 864, ch5=   0, ts=1714038002807834,	delta=798,
seq_no=122,	ch0=1472, ch1= 759, ch2= 105, ch3= 613, ch4= 943, ch5=   0, ts=1714038002808666,	delta=832,
seq_no=123,	ch0=1383, ch1= 846, ch2=   1, ch3= 441, ch4= 925, ch5=  84, ts=1714038002809501,	delta=835,
seq_no=124,	ch0=1175, ch1=1088, ch2=  14, ch3= 346, ch4=1008, ch5= 249, ts=1714038002810341,	delta=840,
seq_no=125,	ch0=1050, ch1=1279, ch2=  65, ch3= 178, ch4=1028, ch5= 354, ts=1714038002811195,	delta=854,
seq_no=126,	ch0= 853, ch1=1425, ch2=  25, ch3=  93, ch4= 981, ch5= 514, ts=1714038002812028,	delta=833,
seq_no=127,	ch0= 643, ch1=1546, ch2= 141, ch3=  11, ch4= 895, ch5= 661, ts=1714038002812869,	delta=841,
seq_no=128,	ch0= 443, ch1=1603, ch2= 322, ch3=   0, ch4= 771, ch5= 795, ts=1714038002813712,	delta=843,
seq_no=129,	ch0= 256, ch1=1593, ch2= 525, ch3=   0, ch4= 636, ch5= 899, ts=1714038002814555,	delta=843,
seq_no=130,	ch0= 101, ch1=1526, ch2= 763, ch3=   0, ch4= 485, ch5= 982, ts=1714038002815406,	delta=851,
seq_no=131,	ch0=   5, ch1=1379, ch2= 985, ch3=  89, ch4= 384, ch5=1024, ts=1714038002816240,	delta=834,
seq_no=132,	ch0=   0, ch1=1251, ch2=1191, ch3= 263, ch4= 221, ch5=1048, ts=1714038002817080,	delta=840,
seq_no=133,	ch0=   0, ch1=1067, ch2=1401, ch3= 347, ch4= 129, ch5=1053, ts=1714038002817921,	delta=841,
seq_no=134,	ch0=  14, ch1= 853, ch2=1504, ch3= 534, ch4=  46, ch5=1068, ts=1714038002818774,	delta=853,
seq_no=135,	ch0= 125, ch1= 509, ch2=1674, ch3= 690, ch4=  76, ch5= 890, ts=1714038002819610,	delta=836,
seq_no=136,	ch0= 346, ch1= 424, ch2=1743, ch3= 826, ch4=   0, ch5= 796, ts=1714038002820448,	delta=838,
seq_no=137,	ch0= 472, ch1= 250, ch2=1728, ch3= 943, ch4=   0, ch5= 644, ts=1714038002821342,	delta=894,
seq_no=138,	ch0= 675, ch1= 107, ch2=1657, ch3=1038, ch4=  21, ch5= 493, ts=1714038002822141,	delta=799,
seq_no=139,	ch0= 889, ch1=   2, ch2=1522, ch3=1116, ch4= 102, ch5= 349, ts=1714038002822991,	delta=850,
seq_no=140,	ch0=1073, ch1=   1, ch2=1344, ch3=1143, ch4= 224, ch5= 224, ts=1714038002823824,	delta=833,
