seq_no=128,	ch0=   0, ch1=1230, ch2=1216, ch3=  77, ch4= 133, ch5= 748, ts=1714036229072735,	delta=842,
seq_no=129,	ch0=   0, ch1=1065, ch2=1485, ch3= 265, ch4=  94, ch5= 763, ts=1714036229073641,	delta=906,
seq_no=130,	ch0=  18, ch1= 846, ch2=1580, ch3= 369, ch4=   0, ch5= 729, ts=1714036229074449,	delta=808,
seq_no=131,	ch0= 140, ch1= 632, ch2=1699, ch3= 494, ch4=   0, ch5= 657, ts=1714036229075292,	delta=843,
seq_no=132,	ch0= 298, ch1= 429, ch2=1735, ch3= 589, ch4=   0, ch5= 560, ts=1714036229076113,	delta=821,
seq_no=133,	ch0= 482, ch1= 246, ch2=1726, ch3= 675, ch4=   0, ch5= 463, ts=1714036229076950,	delta=837,
seq_no=134,	ch0= 692, ch1=  96, ch2=1643, ch3= 732, ch4=  18, ch5= 347, ts=1714036229077794,	delta=844,
seq_no=135,	ch0= 913, ch1=   0, ch2=1516, ch3= 772, ch4=  91, ch5= 241, ts=1714036229078642,	delta=848,
seq_no=136,	ch0=1051, ch1=   0, ch2=1336, ch3= 846, ch4= 148, ch5= 149, ts=1714036229079476,	delta=834,
seq_no=137,	ch0=1256, ch1=   0, ch2=1126, ch3= 784, ch4= 266, ch5=  65, ts=1714036229080320,	delta=844,
seq_no=138,	ch0=1401, ch1=  38, ch2= 884, ch3= 753, ch4= 366, ch5=  53, ts=1714036229081161,	delta=841,
seq_no=139,	ch0=1480, ch1=  65, ch2= 643, ch3= 690, ch4= 531, ch5=   0, ts=1714036229082004,	delta=843,
seq_no=140,	ch0=1552, ch1= 332, ch2= 421, ch3= 647, ch4= 533, ch5=   0, ts=1714036229082854,	delta=850,
seq_no=141,	ch0=1505, ch1= 599, ch2= 270, ch3= 474, ch4= 602, ch5=   0, ts=1714036229083689,	delta=835,
seq_no=142,	ch0=1458, ch1= 749, ch2=  88, ch3= 373, ch4= 666, ch5=  20, ts=1714036229084531,	delta=842,
seq_no=143,	ch0=1335, ch1= 960, ch2=   0, ch3= 266, ch4= 688, ch5=  88, ts=1714036229085369,	delta=838,
seq_no=144,	ch0=1168, ch1=1151, ch2=   0, ch3= 171, ch4= 704, ch5= 182, ts=1714036229086216,	delta=847,
seq_no=145,	ch0= 978, ch1=1334, ch2=   0, ch3=  84, ch4= 682, ch5= 297, ts=1714036229087067,	delta=851,
seq_no=146,	ch0= 778, ch1=1475, ch2=  59, ch3=  26, ch4= 642, ch5= 411, ts=1714036229087902,	delta=835,
seq_no=147,	ch0= 568, ch1=1577, ch2= 202, ch3=   0, ch4= 583, ch5= 510, ts=1714036229088744,	delta=842,
seq_no=148,	ch0= 372, ch1=1610, ch2= 402, ch3=   0, ch4= 485, ch5= 598, ts=1714036229089581,	delta=837,
seq_no=149,	ch0= 173, ch1=1584, ch2= 613, ch3=   0, ch4= 389, ch5= 683, ts=1714036229090423,	delta=842,
seq_no=150,	ch0=  57, ch1=1498, ch2= 839, ch3=  26, ch4= 294, ch5= 738, ts=1714036229091275,	delta=852,
seq_no=151,	ch0=   1, ch1=1443, ch2=1050, ch3= 109, ch4= 210, ch5= 741, ts=1714036229092109,	delta=834,
seq_no=152,	ch0= 118, ch1=1177, ch2=1274, ch3= 182, ch4=  58, ch5= 760, ts=1714036229092952,	delta=843,
seq_no=153,	ch0=   0, ch1= 992, ch2=1488, ch3= 321, ch4=  50, ch5= 760, ts=1714036229093792,	delta=840,
seq_no=154,	ch0=  37, ch1= 779, ch2=1619, ch3= 416, ch4=   0, ch5= 710, ts=1714036229094644,	delta=852,
seq_no=155,	ch0= 176, ch1= 564, ch2=1712, ch3= 527, ch4=   0, ch5= 637, ts=1714036229095479,	delta=835,
seq_no=156,	ch0= 341, ch1= 362, ch2=1737, ch3= 606, ch4=   0, ch5= 541, ts=1714036229096321,	delta=842,
seq_no=157,	ch0= 543, ch1= 198, ch2=1703, ch3= 681, ch4=   0, ch5= 429, ts=1714036229097214,	delta=893,
seq_no=158,	ch0= 754, ch1=  64, ch2=1604, ch3= 752, ch4=  26, ch5= 312, ts=1714036229098234,	delta=1020,
seq_no=159,	ch0= 945, ch1=   0, ch2=1465, ch3= 781, ch4=  97, ch5= 188, ts=1714036229098904,	delta=670,
seq_no=160,	ch0=1135, ch1=   0, ch2=1281, ch3= 799, ch4= 249, ch5= 128, ts=1714036229099706,	delta=802,
seq_no=161,	ch0=1376, ch1=   0, ch2=1049, ch3= 781, ch4= 281, ch5=  50, ts=1714036229100538,	delta=832,
seq_no=162,	ch0=1423, ch1=  73, ch2= 819, ch3= 719, ch4= 399, ch5=   4, ts=1714036229101375,	delta=837,
seq_no=163,	ch0=1517, ch1= 192, ch2= 500, ch3= 661, ch4= 476, ch5=  69, ts=1714036229102216,	delta=841,
seq_no=164,	ch0=1591, ch1= 438, ch2= 370, ch3= 594, ch4= 550, ch5=   0, ts=1714036229103070,	delta=854,
seq_no=165,	ch0=1600, ch1= 587, ch2= 245, ch3= 465, ch4= 593, ch5=   0, ts=1714036229103903,	delta=833,
seq_no=166,	ch0=1431, ch1= 805, ch2=  58, ch3= 347, ch4= 673, ch5=  37, ts=1714036229104745,	delta=842,
seq_no=167,	ch0=1297, ch1=1020, ch2=   0, ch3= 236, ch4= 694, ch5= 111, ts=1714036229105587,	delta=842,
seq_no=168,	ch0=1127, ch1=1219, ch2=   0, ch3= 144, ch4= 701, ch5= 222, ts=1714036229106425,	delta=838,
seq_no=169,	ch0= 931, ch1=1377, ch2=   0, ch3=  65, ch4= 673, ch5= 335, ts=1714036229107275,	delta=850,
seq_no=170,	ch0= 733, ch1=1507, ch2=  88, ch3=  17, ch4= 621, ch5= 430, ts=1714036229108113,	delta=838,
seq_no=171,	ch0= 503, ch1=1593, ch2= 242, ch3=   0, ch4= 569, ch5= 537, ts=1714036229108955,	delta=842,
seq_no=172,	ch0= 321, ch1=1605, ch2= 437, ch3=   0, ch4= 467, ch5= 624, ts=1714036229109796,	delta=841,
seq_no=173,	ch0= 170, ch1=1561, ch2= 650, ch3=   1, ch4= 366, ch5= 704, ts=1714036229110644,	delta=848,
