seq_no=62,	ch0= 366, ch1=2391, ch2= 845, ch3=   0, ch4= 841, ch5=1293, ts=1714036832376344,	delta=844,
seq_no=63,	ch0= 153, ch1=2294, ch2=1193, ch3=   0, ch4= 630, ch5=1388, ts=1714036832377185,	delta=841,
seq_no=64,	ch0=   0, ch1=2115, ch2=1538, ch3= 125, ch4= 458, ch5=1466, ts=1714036832378026,	delta=841,
seq_no=65,	ch0=   0, ch1=1864, ch2=1856, ch3= 320, ch4= 290, ch5=1496, ts=1714036832378876,	delta=850,
seq_no=66,	ch0=   0, ch1=1565, ch2=2153, ch3= 548, ch4= 153, ch5=1499, ts=1714036832379714,	delta=838,
seq_no=67,	ch0=  45, ch1=1271, ch2=2400, ch3= 765, ch4=  58, ch5=1437, ts=1714036832380556,	delta=842,
seq_no=68,	ch0= 228, ch1= 948, ch2=2579, ch3= 987, ch4=   0, ch5=1303, ts=1714036832381398,	delta=842,
seq_no=69,	ch0= 488, ch1= 696, ch2=2614, ch3=1203, ch4=   0, ch5=1084, ts=1714036832382240,	delta=842,
seq_no=70,	ch0= 844, ch1= 360, ch2=2584, ch3=1299, ch4=   0, ch5= 893, ts=1714036832383093,	delta=853,
seq_no=71,	ch0=1031, ch1= 138, ch2=2456, ch3=1388, ch4=  35, ch5= 681, ts=1714036832383924,	delta=831,
seq_no=72,	ch0=1387, ch1=   0, ch2=2270, ch3=1532, ch4= 169, ch5= 480, ts=1714036832384768,	delta=844,
seq_no=73,	ch0=1658, ch1=   0, ch2=1999, ch3=1586, ch4= 348, ch5= 325, ts=1714036832385612,	delta=844,
seq_no=74,	ch0=1920, ch1=   2, ch2=1669, ch3=1584, ch4= 551, ch5= 185, ts=1714036832386454,	delta=842,
seq_no=75,	ch0=2139, ch1=  99, ch2=1350, ch3=1523, ch4= 748, ch5=  75, ts=1714036832387304,	delta=850,
seq_no=76,	ch0=2276, ch1= 281, ch2= 991, ch3=1392, ch4= 925, ch5=   0, ts=1714036832388139,	delta=835,
seq_no=77,	ch0=2333, ch1= 480, ch2= 649, ch3=1200, ch4=1155, ch5=   0, ts=1714036832388982,	delta=843,
seq_no=78,	ch0=2316, ch1= 832, ch2= 379, ch3= 976, ch4=1189, ch5=   0, ts=1714036832389824,	delta=842,
seq_no=79,	ch0=2178, ch1=1152, ch2= 137, ch3= 724, ch4=1306, ch5=  57, ts=1714036832390947,	delta=1123,
seq_no=80,	ch0=1999, ch1=1476, ch2=   0, ch3= 548, ch4=1376, ch5= 239, ts=1714036832391566,	delta=619,
seq_no=81,	ch0=1732, ch1=1670, ch2=   0, ch3= 358, ch4=1481, ch5= 366, ts=1714036832392366,	delta=800,
seq_no=82,	ch0=1344, ch1=2019, ch2=   0, ch3= 315, ch4=1369, ch5= 596, ts=1714036832393204,	delta=838,
seq_no=83,	ch0=1163, ch1=2252, ch2= 116, ch3= 102, ch4=1281, ch5= 821, ts=1714036832394044,	delta=840,
