seq_no=73,	ch0= 708, ch1=2409, ch2= 457, ch3=   0, ch4= 474, ch5= 459, ts=1714036655167609,	delta=813,
seq_no=74,	ch0= 424, ch1=2404, ch2= 740, ch3=   0, ch4= 391, ch5= 576, ts=1714036655168450,	delta=841,
seq_no=75,	ch0= 199, ch1=2368, ch2=1108, ch3=   1, ch4= 321, ch5= 554, ts=1714036655169294,	delta=844,
seq_no=76,	ch0=  96, ch1=2151, ch2=1463, ch3=  49, ch4= 186, ch5= 605, ts=1714036655170132,	delta=838,
seq_no=77,	ch0=   0, ch1=1928, ch2=1795, ch3=  29, ch4= 126, ch5= 608, ts=1714036655171056,	delta=924,
seq_no=78,	ch0=   0, ch1=1665, ch2=2158, ch3= 195, ch4= 102, ch5= 628, ts=1714036655171836,	delta=780,
seq_no=79,	ch0=  26, ch1=1372, ch2=2304, ch3= 297, ch4=   2, ch5= 517, ts=1714036655172954,	delta=1118,
seq_no=80,	ch0= 182, ch1=1014, ch2=2523, ch3= 394, ch4=   0, ch5= 536, ts=1714036655173560,	delta=606,
seq_no=81,	ch0= 409, ch1= 714, ch2=2604, ch3= 483, ch4=   0, ch5= 466, ts=1714036655174366,	delta=806,
seq_no=82,	ch0= 686, ch1= 427, ch2=2587, ch3= 553, ch4=   0, ch5= 373, ts=1714036655175219,	delta=853,
seq_no=83,	ch0= 989, ch1= 182, ch2=2515, ch3= 605, ch4=   9, ch5= 283, ts=1714036655176039,	delta=820,
seq_no=84,	ch0=1304, ch1=  18, ch2=2328, ch3= 651, ch4=  53, ch5= 207, ts=1714036655176881,	delta=842,
seq_no=85,	ch0=1600, ch1=   0, ch2=2068, ch3= 662, ch4= 114, ch5= 116, ts=1714036655177722,	delta=841,
seq_no=86,	ch0=1871, ch1=  13, ch2=1762, ch3= 654, ch4= 197, ch5=  69, ts=1714036655178624,	delta=902,
seq_no=87,	ch0=2086, ch1=  45, ch2=1411, ch3= 633, ch4= 307, ch5=  16, ts=1714036655179415,	delta=791,
seq_no=88,	ch0=2241, ch1= 224, ch2=1077, ch3= 588, ch4= 392, ch5=   0, ts=1714036655180248,	delta=833,
