seq_no=61,	ch0=2463, ch1= 525, ch2= 988, ch3= 200, ch4=   0, ch5= 238, ts=1713174155760763,	delta=896,
seq_no=62,	ch0=2449, ch1= 212, ch2=1432, ch3= 161, ch4=   0, ch5= 251, ts=1713174155761552,	delta=789,
seq_no=63,	ch0=2425, ch1=   0, ch2=1896, ch3= 119, ch4=  21, ch5= 262, ts=1713174155762393,	delta=841,
seq_no=64,	ch0=2351, ch1=  14, ch2=2347, ch3=  84, ch4=  46, ch5= 264, ts=1713174155763245,	delta=852,
seq_no=65,	ch0=2023, ch1=  10, ch2=2639, ch3=  49, ch4=  85, ch5= 267, ts=1713174155764075,	delta=830,
seq_no=66,	ch0=1600, ch1=  25, ch2=2688, ch3=  30, ch4= 125, ch5= 262, ts=1713174155764920,	delta=845,
seq_no=67,	ch0=1192, ch1= 249, ch2=2700, ch3=  18, ch4= 152, ch5= 239, ts=1713174155765760,	delta=840,
seq_no=68,	ch0= 821, ch1= 565, ch2=2717, ch3=  24, ch4= 194, ch5= 210, ts=1713174155766603,	delta=843,
seq_no=69,	ch0= 433, ch1=1046, ch2=2734, ch3=  21, ch4= 230, ch5= 133, ts=1713174155767456,	delta=853,
seq_no=70,	ch0= 176, ch1=1433, ch2=2715, ch3=  28, ch4= 230, ch5=  98, ts=1713174155768289,	delta=833,
seq_no=71,	ch0=   0, ch1=1734, ch2=2678, ch3=  64, ch4= 297, ch5=  75, ts=1713174155769145,	delta=856,
seq_no=72,	ch0=   0, ch1=2199, ch2=2612, ch3=  66, ch4= 246, ch5=  49, ts=1713174155769973,	delta=828,
seq_no=73,	ch0=   0, ch1=2473, ch2=2244, ch3= 101, ch4= 241, ch5=  22, ts=1713174155772176,	delta=2203,
seq_no=74,	ch0=   9, ch1=2518, ch2=1792, ch3= 149, ch4= 234, ch5=   9, ts=1713174155772239,	delta=63,
seq_no=75,	ch0= 253, ch1=2546, ch2=1325, ch3= 187, ch4= 217, ch5=   5, ts=1713174155772558,	delta=319,
seq_no=76,	ch0= 576, ch1=2553, ch2= 873, ch3= 219, ch4= 192, ch5=  17, ts=1713174155773355,	delta=797,
seq_no=77,	ch0= 949, ch1=2553, ch2= 484, ch3= 247, ch4= 152, ch5=   1, ts=1713174155774186,	delta=831,
seq_no=78,	ch0=1350, ch1=2539, ch2= 162, ch3= 254, ch4= 108, ch5=  13, ts=1713174155775058,	delta=872,
seq_no=79,	ch0=1752, ch1=2510, ch2= 102, ch3= 269, ch4=  78, ch5=  29, ts=1713174155776540,	delta=1482,
seq_no=80,	ch0=2144, ch1=2437, ch2=  46, ch3= 270, ch4=  27, ch5=  57, ts=1713174155776842,	delta=302,
seq_no=81,	ch0=2383, ch1=2076, ch2=   0, ch3= 269, ch4=   0, ch5= 162, ts=1713174155777569,	delta=727,
seq_no=82,	ch0=2433, ch1=1642, ch2=   0, ch3= 272, ch4=   0, ch5= 234, ts=1713174155778397,	delta=828,
seq_no=83,	ch0=2482, ch1=1227, ch2= 276, ch3= 258, ch4=   1, ch5= 235, ts=1713174155779257,	delta=860,
seq_no=84,	ch0=2464, ch1= 804, ch2= 672, ch3= 216, ch4=   1, ch5= 219, ts=1713174155780083,	delta=826,
seq_no=85,	ch0=2460, ch1= 438, ch2=1092, ch3= 181, ch4=   0, ch5= 247, ts=1713174155780921,	delta=838,
seq_no=86,	ch0=2441, ch1= 141, ch2=1553, ch3= 141, ch4=   9, ch5= 264, ts=1713174155781760,	delta=839,
seq_no=87,	ch0=2405, ch1=  25, ch2=2017, ch3= 103, ch4=  26, ch5= 270, ts=1713174155782605,	delta=845,
seq_no=88,	ch0=2301, ch1=  11, ch2=2449, ch3=  69, ch4=  53, ch5= 266, ts=1713174155783467,	delta=862,
seq_no=89,	ch0=1928, ch1=   5, ch2=2656, ch3=  51, ch4=  79, ch5= 256, ts=1713174155784300,	delta=833,
seq_no=90,	ch0=1520, ch1=  51, ch2=2695, ch3=  38, ch4= 126, ch5= 242, ts=1713174155785140,	delta=840,
seq_no=91,	ch0=1081, ch1= 309, ch2=2724, ch3=  22, ch4= 176, ch5= 240, ts=1713174155785979,	delta=839,
seq_no=92,	ch0= 707, ch1= 651, ch2=2731, ch3=   0, ch4= 210, ch5= 212, ts=1713174155786834,	delta=855,
seq_no=93,	ch0= 358, ch1=1109, ch2=2736, ch3=   0, ch4= 227, ch5= 178, ts=1713174155787664,	delta=830,
seq_no=94,	ch0=  79, ch1=1466, ch2=2791, ch3=  18, ch4= 249, ch5= 109, ts=1713174155788507,	delta=843,
seq_no=95,	ch0=   0, ch1=1922, ch2=2670, ch3=  50, ch4= 296, ch5=  93, ts=1713174155789348,	delta=841,
seq_no=96,	ch0=   0, ch1=2291, ch2=2559, ch3=  85, ch4= 254, ch5=  40, ts=1713174155790191,	delta=843,
seq_no=97,	ch0=   0, ch1=2487, ch2=2131, ch3= 123, ch4= 242, ch5=   9, ts=1713174155791041,	delta=850,
seq_no=98,	ch0=  64, ch1=2528, ch2=1684, ch3= 166, ch4= 229, ch5=   1, ts=1713174155791873,	delta=832,
seq_no=99,	ch0= 329, ch1=2552, ch2=1211, ch3= 211, ch4= 214, ch5=   2, ts=1713174155792718,	delta=845,
seq_no=100,	ch0= 660, ch1=2557, ch2= 773, ch3= 233, ch4= 181, ch5=   1, ts=1713174155793561,	delta=843,
seq_no=101,	ch0=1044, ch1=2555, ch2= 400, ch3= 264, ch4= 196, ch5=   0, ts=1713174155794401,	delta=840,
seq_no=102,	ch0=1448, ch1=2543, ch2= 101, ch3= 272, ch4=  64, ch5=   8, ts=1713174155795251,	delta=850,
seq_no=103,	ch0=1961, ch1=2500, ch2=  11, ch3= 279, ch4=  36, ch5=  29, ts=1713174155796084,	delta=833,
