seq_no=64,	ch0= 498, ch1= 880, ch2=2719, ch3=  16, ch4= 576, ch5= 448, ts=1713174384701609,	delta=843,
seq_no=65,	ch0= 182, ch1=1311, ch2=2685, ch3=  29, ch4= 619, ch5= 342, ts=1713174384702451,	delta=842,
seq_no=66,	ch0=   0, ch1=1729, ch2=2685, ch3=  73, ch4= 650, ch5= 250, ts=1713174384703298,	delta=847,
seq_no=67,	ch0=   0, ch1=2120, ch2=2630, ch3= 143, ch4= 654, ch5=  76, ts=1713174384704137,	delta=839,
seq_no=68,	ch0=   0, ch1=2497, ch2=2293, ch3= 273, ch4= 670, ch5=  42, ts=1713174384704979,	delta=842,
seq_no=69,	ch0=  37, ch1=2511, ch2=1858, ch3= 368, ch4= 648, ch5=   0, ts=1713174384705821,	delta=842,
seq_no=70,	ch0= 214, ch1=2530, ch2=1394, ch3= 457, ch4= 591, ch5=   5, ts=1713174384706707,	delta=886,
seq_no=71,	ch0= 514, ch1=2560, ch2= 944, ch3= 546, ch4= 523, ch5=   9, ts=1713174384707508,	delta=801,
seq_no=72,	ch0= 888, ch1=2569, ch2= 536, ch3= 614, ch4= 427, ch5=  14, ts=1713174384708350,	delta=842,
seq_no=73,	ch0=1296, ch1=2542, ch2= 197, ch3= 667, ch4= 330, ch5=  14, ts=1713174384709192,	delta=842,
seq_no=74,	ch0=1713, ch1=2512, ch2=  16, ch3= 711, ch4= 237, ch5=  64, ts=1713174384710034,	delta=842,
seq_no=75,	ch0=2078, ch1=2456, ch2=  12, ch3= 710, ch4= 145, ch5= 149, ts=1713174384710884,	delta=850,
seq_no=76,	ch0=2369, ch1=2119, ch2=   3, ch3= 719, ch4=  66, ch5= 234, ts=1713174384711715,	delta=831,
seq_no=77,	ch0=2423, ch1=1712, ch2=  64, ch3= 710, ch4=  39, ch5= 342, ts=1713174384712561,	delta=846,
seq_no=78,	ch0=2451, ch1=1265, ch2= 220, ch3= 674, ch4=   0, ch5= 506, ts=1713174384713404,	delta=843,
seq_no=79,	ch0=2477, ch1= 874, ch2= 581, ch3= 585, ch4=   0, ch5= 534, ts=1713174384714878,	delta=1474,
seq_no=80,	ch0=2461, ch1= 581, ch2=1008, ch3= 509, ch4=   0, ch5= 530, ts=1713174384715159,	delta=281,
seq_no=81,	ch0=2459, ch1= 234, ch2=1475, ch3= 397, ch4=  12, ch5= 621, ts=1713174384715959,	delta=800,
seq_no=82,	ch0=2419, ch1=  26, ch2=1944, ch3= 287, ch4=  64, ch5= 666, ts=1713174384716789,	delta=830,
seq_no=83,	ch0=2339, ch1=  21, ch2=2384, ch3= 204, ch4= 139, ch5= 679, ts=1713174384717624,	delta=835,
seq_no=84,	ch0=1987, ch1=   6, ch2=2644, ch3= 124, ch4= 230, ch5= 675, ts=1713174384718464,	delta=840,
seq_no=85,	ch0=1591, ch1=  34, ch2=2689, ch3=  69, ch4= 333, ch5= 642, ts=1713174384719319,	delta=855,
seq_no=86,	ch0=1172, ch1= 279, ch2=2715, ch3=  26, ch4= 436, ch5= 588, ts=1713174384720147,	delta=828,
seq_no=87,	ch0= 763, ch1= 621, ch2=2722, ch3=  14, ch4= 520, ch5= 512, ts=1713174384720990,	delta=843,
seq_no=88,	ch0= 407, ch1=1007, ch2=2724, ch3=  18, ch4= 576, ch5= 408, ts=1713174384721832,	delta=842,
seq_no=89,	ch0= 118, ch1=1424, ch2=2707, ch3=  38, ch4= 634, ch5= 327, ts=1713174384722724,	delta=892,
seq_no=90,	ch0=   0, ch1=1839, ch2=2611, ch3=  94, ch4= 654, ch5= 294, ts=1713174384723523,	delta=799,
seq_no=91,	ch0=  27, ch1=2260, ch2=2535, ch3= 158, ch4= 694, ch5= 187, ts=1713174384724359,	delta=836,
seq_no=92,	ch0=   0, ch1=2462, ch2=2186, ch3= 261, ch4= 640, ch5=   1, ts=1713174384725202,	delta=843,
seq_no=93,	ch0=  44, ch1=2520, ch2=1755, ch3= 395, ch4= 630, ch5=   0, ts=1713174384726046,	delta=844,
seq_no=94,	ch0= 280, ch1=2531, ch2=1289, ch3= 481, ch4= 576, ch5=   5, ts=1713174384726895,	delta=849,
seq_no=95,	ch0= 604, ch1=2556, ch2= 845, ch3= 563, ch4= 493, ch5=   1, ts=1713174384727783,	delta=888,
seq_no=96,	ch0= 992, ch1=2558, ch2= 449, ch3= 639, ch4= 397, ch5=   9, ts=1713174384728574,	delta=791,
seq_no=97,	ch0=1398, ch1=2528, ch2= 137, ch3= 689, ch4= 301, ch5=  26, ts=1713174384729417,	delta=843,
