seq_no=70,	ch0=  25, ch1= 774, ch2= 357, ch3=   8, ch4= 154, ch5= 330, ts=1714038097042215,	delta=573,
seq_no=71,	ch0=   0, ch1= 623, ch2= 492, ch3=  47, ch4= 148, ch5= 413, ts=1714038097043028,	delta=813,
seq_no=72,	ch0=   0, ch1= 600, ch2= 609, ch3=  80, ch4=  64, ch5= 437, ts=1714038097043836,	delta=808,
seq_no=73,	ch0=   0, ch1= 500, ch2= 708, ch3= 146, ch4=  21, ch5= 417, ts=1714038097044673,	delta=837,
seq_no=74,	ch0=  20, ch1= 400, ch2= 784, ch3= 209, ch4=   0, ch5= 393, ts=1714038097045512,	delta=839,
seq_no=75,	ch0=  78, ch1= 291, ch2= 844, ch3= 274, ch4=   0, ch5= 365, ts=1714038097046351,	delta=839,
seq_no=76,	ch0= 144, ch1= 193, ch2= 862, ch3= 327, ch4=   0, ch5= 301, ts=1714038097047201,	delta=850,
seq_no=77,	ch0= 312, ch1=  97, ch2= 854, ch3= 367, ch4=   0, ch5= 237, ts=1714038097048029,	delta=828,
seq_no=78,	ch0= 323, ch1=  37, ch2= 806, ch3= 386, ch4=  11, ch5= 174, ts=1714038097048864,	delta=835,
seq_no=79,	ch0= 442, ch1=   0, ch2= 775, ch3= 441, ch4=  42, ch5= 123, ts=1714038097049708,	delta=844,
seq_no=80,	ch0= 540, ch1=  46, ch2= 632, ch3= 435, ch4=  85, ch5=  47, ts=1714038097050723,	delta=1015,
seq_no=81,	ch0= 642, ch1=   0, ch2= 537, ch3= 434, ch4=  64, ch5=  30, ts=1714038097051494,	delta=771,
seq_no=82,	ch0= 597, ch1=   9, ch2= 418, ch3= 453, ch4= 192, ch5=  26, ts=1714038097052260,	delta=766,
seq_no=83,	ch0= 730, ch1= 109, ch2= 314, ch3= 356, ch4= 258, ch5=   0, ts=1714038097053091,	delta=831,
seq_no=84,	ch0= 765, ch1= 170, ch2= 194, ch3= 320, ch4= 297, ch5=   0, ts=1714038097053927,	delta=836,
seq_no=85,	ch0= 757, ch1= 264, ch2= 101, ch3= 261, ch4= 332, ch5=   0, ts=1714038097055234,	delta=1307,
seq_no=86,	ch0= 708, ch1= 377, ch2=  26, ch3= 196, ch4= 366, ch5=   7, ts=1714038097055661,	delta=427,
seq_no=87,	ch0= 645, ch1= 473, ch2=   0, ch3= 133, ch4= 381, ch5=  59, ts=1714038097056461,	delta=800,
seq_no=88,	ch0= 560, ch1= 576, ch2=   0, ch3=  84, ch4= 383, ch5= 104, ts=1714038097057294,	delta=833,
seq_no=89,	ch0= 495, ch1= 643, ch2=   0, ch3=  42, ch4= 366, ch5= 154, ts=1714038097058133,	delta=839,
seq_no=90,	ch0= 373, ch1= 714, ch2=  13, ch3=   2, ch4= 363, ch5= 233, ts=1714038097059013,	delta=880,
seq_no=91,	ch0= 265, ch1= 773, ch2=  96, ch3=   0, ch4= 320, ch5= 296, ts=1714038097059826,	delta=813,
seq_no=92,	ch0= 146, ch1= 792, ch2= 199, ch3=   0, ch4= 250, ch5= 354, ts=1714038097060658,	delta=832,
seq_no=93,	ch0=  89, ch1= 802, ch2= 360, ch3=   0, ch4= 201, ch5= 388, ts=1714038097061495,	delta=837,
seq_no=94,	ch0=  23, ch1= 835, ch2= 418, ch3=  46, ch4= 154, ch5= 384, ts=1714038097062338,	delta=843,
seq_no=95,	ch0=   0, ch1= 647, ch2= 543, ch3=  41, ch4=  50, ch5= 422, ts=1714038097063191,	delta=853,
seq_no=96,	ch0=   0, ch1= 578, ch2= 648, ch3= 103, ch4=  50, ch5= 424, ts=1714038097064027,	delta=836,
seq_no=97,	ch0=   0, ch1= 480, ch2= 743, ch3= 167, ch4=  16, ch5= 412, ts=1714038097064867,	delta=840,
seq_no=98,	ch0=  16, ch1= 373, ch2= 814, ch3= 231, ch4=   0, ch5= 384, ts=1714038097065704,	delta=837,
seq_no=99,	ch0=  86, ch1= 262, ch2= 841, ch3= 294, ch4=   0, ch5= 348, ts=1714038097066547,	delta=843,
seq_no=100,	ch0= 169, ch1= 170, ch2= 847, ch3= 335, ch4=   0, ch5= 289, ts=1714038097067431,	delta=884,
seq_no=101,	ch0= 241, ch1=  88, ch2= 836, ch3= 402, ch4=   0, ch5= 228, ts=1714038097068247,	delta=816,
seq_no=102,	ch0= 367, ch1=  16, ch2= 872, ch3= 409, ch4=   5, ch5= 171, ts=1714038097069083,	delta=836,
seq_no=103,	ch0= 492, ch1=   0, ch2= 704, ch3= 433, ch4=  42, ch5=  71, ts=1714038097069924,	delta=841,
