seq_no=137,	ch0=2438, ch1=  48, ch2=1736, ch3= 266, ch4=  33, ch5= 521, ts=1713174339473550,	delta=841,
seq_no=138,	ch0=2387, ch1=  21, ch2=2168, ch3= 184, ch4=  86, ch5= 529, ts=1713174339474394,	delta=844,
seq_no=139,	ch0=2157, ch1=   9, ch2=2583, ch3= 121, ch4= 149, ch5= 530, ts=1713174339475297,	delta=903,
seq_no=140,	ch0=1764, ch1=  16, ch2=2671, ch3=  77, ch4= 232, ch5= 521, ts=1713174339476084,	delta=787,
seq_no=141,	ch0=1356, ch1= 155, ch2=2711, ch3=  36, ch4= 304, ch5= 494, ts=1713174339476925,	delta=841,
seq_no=142,	ch0= 954, ch1= 448, ch2=2719, ch3=  10, ch4= 381, ch5= 436, ts=1713174339477766,	delta=841,
seq_no=143,	ch0= 569, ch1= 801, ch2=2732, ch3=  21, ch4= 448, ch5= 362, ts=1713174339478649,	delta=883,
seq_no=144,	ch0= 251, ch1=1222, ch2=2699, ch3=  20, ch4= 477, ch5= 359, ts=1713174339479455,	delta=806,
seq_no=145,	ch0=   4, ch1=1647, ch2=2697, ch3=  54, ch4= 509, ch5= 174, ts=1713174339480295,	delta=840,
seq_no=146,	ch0=   0, ch1=2179, ch2=2637, ch3= 109, ch4= 519, ch5=  79, ts=1713174339481134,	delta=839,
seq_no=147,	ch0=  25, ch1=2438, ch2=2387, ch3= 216, ch4= 527, ch5=  40, ts=1713174339481978,	delta=844,
seq_no=148,	ch0=   0, ch1=2425, ch2=1961, ch3= 246, ch4= 567, ch5=  16, ts=1713174339482829,	delta=851,
seq_no=149,	ch0= 153, ch1=2545, ch2=1504, ch3= 343, ch4= 473, ch5=   2, ts=1713174339483663,	delta=834,
seq_no=150,	ch0= 448, ch1=2566, ch2=1048, ch3= 421, ch4= 424, ch5=   8, ts=1713174339484505,	delta=842,
seq_no=151,	ch0= 804, ch1=2556, ch2= 618, ch3= 473, ch4= 355, ch5=   4, ts=1713174339485348,	delta=843,
seq_no=152,	ch0=1206, ch1=2543, ch2= 265, ch3= 522, ch4= 274, ch5=   4, ts=1713174339486191,	delta=843,
seq_no=153,	ch0=1618, ch1=2520, ch2=  11, ch3= 553, ch4= 188, ch5=  48, ts=1713174339487042,	delta=851,
seq_no=154,	ch0=1987, ch1=2488, ch2=  22, ch3= 557, ch4= 112, ch5= 110, ts=1713174339487875,	delta=833,
seq_no=155,	ch0=2344, ch1=2208, ch2=   0, ch3= 576, ch4=  64, ch5= 161, ts=1713174339488714,	delta=839,
seq_no=156,	ch0=2417, ch1=1794, ch2=   1, ch3= 560, ch4=  49, ch5= 251, ts=1713174339489560,	delta=846,
seq_no=157,	ch0=2450, ch1=1359, ch2= 206, ch3= 520, ch4=  16, ch5= 327, ts=1713174339490401,	delta=841,
seq_no=158,	ch0=2466, ch1= 934, ch2= 443, ch3= 476, ch4=   2, ch5= 488, ts=1713174339491452,	delta=1051,
