seq_no=80,	ch0=  38, ch1=1260, ch2=2408, ch3= 164, ch4=   0, ch5= 248, ts=1714036591030120,	delta=644,
seq_no=81,	ch0= 228, ch1= 931, ch2=2559, ch3= 212, ch4=   0, ch5= 230, ts=1714036591030939,	delta=819,
seq_no=82,	ch0= 463, ch1= 640, ch2=2597, ch3= 245, ch4=   0, ch5= 199, ts=1714036591031768,	delta=829,
seq_no=83,	ch0= 707, ch1= 374, ch2=2598, ch3= 303, ch4=   0, ch5= 176, ts=1714036591032604,	delta=836,
seq_no=84,	ch0=1049, ch1= 151, ch2=2570, ch3= 304, ch4=   0, ch5= 110, ts=1714036591033443,	delta=839,
seq_no=85,	ch0=1363, ch1=   0, ch2=2246, ch3= 326, ch4=  27, ch5= 106, ts=1714036591034281,	delta=838,
seq_no=86,	ch0=1656, ch1=  25, ch2=1998, ch3= 327, ch4= 123, ch5=  21, ts=1714036591035132,	delta=851,
seq_no=87,	ch0=2026, ch1=   0, ch2=1728, ch3= 334, ch4=  69, ch5=   0, ts=1714036591035969,	delta=837,
seq_no=88,	ch0=2107, ch1=  77, ch2=1323, ch3= 235, ch4= 149, ch5=   0, ts=1714036591036810,	delta=841,
seq_no=89,	ch0=2268, ch1= 274, ch2=1064, ch3= 268, ch4= 210, ch5=   5, ts=1714036591037651,	delta=841,
seq_no=90,	ch0=2323, ch1= 526, ch2= 654, ch3= 234, ch4= 212, ch5=   0, ts=1714036591038489,	delta=838,
seq_no=91,	ch0=2304, ch1= 824, ch2= 376, ch3= 181, ch4= 229, ch5=   0, ts=1714036591039340,	delta=851,
seq_no=92,	ch0=2199, ch1=1143, ch2= 144, ch3= 138, ch4= 247, ch5=   0, ts=1714036591040184,	delta=844,
seq_no=93,	ch0=2008, ch1=1467, ch2=   0, ch3=  96, ch4= 268, ch5=  18, ts=1714036591041022,	delta=838,
seq_no=94,	ch0=1763, ch1=1770, ch2=   0, ch3=  56, ch4= 267, ch5=  51, ts=1714036591041863,	delta=841,
seq_no=95,	ch0=1465, ch1=2029, ch2=   0, ch3=  21, ch4= 256, ch5=  89, ts=1714036591042707,	delta=844,
seq_no=96,	ch0=1179, ch1=2215, ch2=  93, ch3=   4, ch4= 240, ch5= 148, ts=1714036591043545,	delta=838,
seq_no=97,	ch0= 839, ch1=2380, ch2= 308, ch3=   0, ch4= 217, ch5= 185, ts=1714036591044388,	delta=843,
seq_no=98,	ch0= 576, ch1=2434, ch2= 599, ch3=   0, ch4= 195, ch5= 226, ts=1714036591045228,	delta=840,
seq_no=99,	ch0= 313, ch1=2375, ch2= 853, ch3=   0, ch4= 145, ch5= 313, ts=1714036591046073,	delta=845,
seq_no=100,	ch0= 140, ch1=2327, ch2=1255, ch3=  34, ch4=  89, ch5= 217, ts=1714036591046919,	delta=846,
seq_no=101,	ch0=  96, ch1=2036, ch2=1615, ch3=  50, ch4=   9, ch5= 253, ts=1714036591047753,	delta=834,
seq_no=102,	ch0=   0, ch1=1804, ch2=1943, ch3=  84, ch4=  29, ch5= 278, ts=1714036591048599,	delta=846,
seq_no=103,	ch0=   0, ch1=1504, ch2=2223, ch3= 130, ch4=   4, ch5= 266, ts=1714036591049440,	delta=841,
