seq_no=81,	ch0=1222, ch1=   0, ch2=1186, ch3= 543, ch4= 167, ch5=  64, ts=1714036287902890,	delta=58,
seq_no=82,	ch0=1382, ch1=   5, ch2= 953, ch3= 525, ch4= 241, ch5=   8, ts=1714036287903549,	delta=659,
seq_no=83,	ch0=1496, ch1= 123, ch2= 714, ch3= 488, ch4= 320, ch5=   0, ts=1714036287904328,	delta=779,
seq_no=84,	ch0=1539, ch1= 288, ch2= 493, ch3= 421, ch4= 360, ch5=   0, ts=1714036287905154,	delta=826,
seq_no=85,	ch0=1541, ch1= 480, ch2= 304, ch3= 345, ch4= 413, ch5=   0, ts=1714036287905992,	delta=838,
seq_no=86,	ch0=1482, ch1= 696, ch2= 132, ch3= 281, ch4= 460, ch5=   0, ts=1714036287906851,	delta=859,
seq_no=87,	ch0=1336, ch1= 901, ch2=  10, ch3= 232, ch4= 486, ch5=  51, ts=1714036287907671,	delta=820,
seq_no=88,	ch0=1219, ch1=1097, ch2=  78, ch3= 121, ch4= 491, ch5=  96, ts=1714036287908511,	delta=840,
seq_no=89,	ch0=1036, ch1=1292, ch2=   0, ch3=  66, ch4= 493, ch5= 206, ts=1714036287909351,	delta=840,
seq_no=90,	ch0= 825, ch1=1356, ch2=   0, ch3=   9, ch4= 532, ch5= 230, ts=1714036287910194,	delta=843,
seq_no=91,	ch0= 645, ch1=1537, ch2= 146, ch3=  34, ch4= 398, ch5= 316, ts=1714036287911046,	delta=852,
seq_no=92,	ch0= 407, ch1=1661, ch2= 341, ch3=   0, ch4= 372, ch5= 397, ts=1714036287911882,	delta=836,
seq_no=93,	ch0= 229, ch1=1591, ch2= 541, ch3=   0, ch4= 301, ch5= 430, ts=1714036287912720,	delta=838,
seq_no=94,	ch0=  96, ch1=1520, ch2= 767, ch3=   1, ch4= 214, ch5= 467, ts=1714036287913564,	delta=844,
seq_no=95,	ch0=   0, ch1=1410, ch2= 994, ch3=  46, ch4= 150, ch5= 490, ts=1714036287914405,	delta=841,
seq_no=96,	ch0=   0, ch1=1254, ch2=1226, ch3=  98, ch4=  84, ch5= 498, ts=1714036287915252,	delta=847,
seq_no=97,	ch0=   0, ch1=1053, ch2=1415, ch3= 170, ch4=  25, ch5= 492, ts=1714036287916090,	delta=838,
seq_no=98,	ch0=  18, ch1= 839, ch2=1573, ch3= 258, ch4=   0, ch5= 455, ts=1714036287916930,	delta=840,
seq_no=99,	ch0= 141, ch1= 615, ch2=1679, ch3= 342, ch4=   0, ch5= 405, ts=1714036287917770,	delta=840,
seq_no=100,	ch0= 274, ch1= 412, ch2=1747, ch3= 409, ch4=   0, ch5= 377, ts=1714036287918742,	delta=972,
seq_no=101,	ch0= 482, ch1= 245, ch2=1728, ch3= 455, ch4=   0, ch5= 298, ts=1714036287919469,	delta=727,
seq_no=102,	ch0= 736, ch1= 105, ch2=1585, ch3= 500, ch4=  34, ch5= 277, ts=1714036287920306,	delta=837,
seq_no=103,	ch0= 898, ch1=   0, ch2=1520, ch3= 516, ch4= 146, ch5= 135, ts=1714036287921146,	delta=840,
seq_no=104,	ch0=1203, ch1=   0, ch2=1368, ch3= 543, ch4=  74, ch5=  91, ts=1714036287921987,	delta=841,
seq_no=105,	ch0=1271, ch1=   0, ch2=1136, ch3= 530, ch4= 174, ch5=  34, ts=1714036287922836,	delta=849,
seq_no=106,	ch0=1407, ch1=  46, ch2= 903, ch3= 509, ch4= 256, ch5=   0, ts=1714036287923669,	delta=833,
seq_no=107,	ch0=1496, ch1= 165, ch2= 675, ch3= 465, ch4= 323, ch5=   0, ts=1714036287924511,	delta=842,
seq_no=108,	ch0=1549, ch1= 337, ch2= 449, ch3= 407, ch4= 385, ch5=   0, ts=1714036287925353,	delta=842,
seq_no=109,	ch0=1527, ch1= 534, ch2= 242, ch3= 321, ch4= 437, ch5=   0, ts=1714036287926251,	delta=898,
seq_no=110,	ch0=1462, ch1= 758, ch2=  96, ch3= 249, ch4= 466, ch5=  18, ts=1714036287927053,	delta=802,
seq_no=111,	ch0=1344, ch1= 960, ch2=   0, ch3= 177, ch4= 482, ch5= 105, ts=1714036287927880,	delta=827,
seq_no=112,	ch0=1187, ch1=1116, ch2=   0, ch3= 108, ch4= 540, ch5= 103, ts=1714036287928724,	delta=844,
seq_no=113,	ch0=1055, ch1=1344, ch2=   0, ch3=  52, ch4= 472, ch5= 176, ts=1714036287929564,	delta=840,
seq_no=114,	ch0= 737, ch1=1477, ch2=  49, ch3=   0, ch4= 448, ch5= 253, ts=1714036287930406,	delta=842,
seq_no=115,	ch0= 571, ch1=1600, ch2= 247, ch3=   0, ch4= 422, ch5= 321, ts=1714036287931255,	delta=849,
seq_no=116,	ch0= 369, ch1=1712, ch2= 361, ch3=  10, ch4= 359, ch5= 349, ts=1714036287932090,	delta=835,
seq_no=117,	ch0= 203, ch1=1576, ch2= 607, ch3=   0, ch4= 258, ch5= 445, ts=1714036287932934,	delta=844,
seq_no=118,	ch0=  68, ch1=1505, ch2= 824, ch3=   9, ch4= 192, ch5= 464, ts=1714036287933775,	delta=841,
seq_no=119,	ch0=   0, ch1=1383, ch2=1056, ch3=  58, ch4= 131, ch5= 487, ts=1714036287934916,	delta=1141,
seq_no=120,	ch0=   0, ch1=1191, ch2=1274, ch3= 123, ch4=  74, ch5= 496, ts=1714036287935499,	delta=583,
seq_no=121,	ch0=   0, ch1= 992, ch2=1456, ch3= 202, ch4=  21, ch5= 477, ts=1714036287936304,	delta=805,
seq_no=122,	ch0=  50, ch1= 777, ch2=1602, ch3= 281, ch4=   0, ch5= 451, ts=1714036287937141,	delta=837,
seq_no=123,	ch0= 165, ch1= 586, ch2=1713, ch3= 343, ch4=   0, ch5= 418, ts=1714036287937981,	delta=840,
seq_no=124,	ch0= 341, ch1= 378, ch2=1742, ch3= 424, ch4=   0, ch5= 354, ts=1714036287938845,	delta=864,
seq_no=125,	ch0= 543, ch1= 205, ch2=1713, ch3= 485, ch4=   0, ch5= 266, ts=1714036287939680,	delta=835,
