seq_no=83,	ch0=   0, ch1=1888, ch2=1841, ch3= 340, ch4= 345, ch5=1615, ts=1714036872140529,	delta=836,
seq_no=84,	ch0=   0, ch1=1600, ch2=2136, ch3= 584, ch4= 207, ch5=1614, ts=1714036872141370,	delta=841,
seq_no=85,	ch0=   0, ch1=1287, ch2=2375, ch3= 908, ch4=  87, ch5=1539, ts=1714036872142208,	delta=838,
seq_no=86,	ch0= 217, ch1= 953, ch2=2615, ch3=1085, ch4=   6, ch5=1401, ts=1714036872143063,	delta=855,
seq_no=87,	ch0= 457, ch1= 669, ch2=2580, ch3=1273, ch4=   0, ch5=1182, ts=1714036872143898,	delta=835,
seq_no=88,	ch0= 741, ch1= 359, ch2=2594, ch3=1450, ch4=  16, ch5= 982, ts=1714036872144741,	delta=843,
seq_no=89,	ch0= 984, ch1= 158, ch2=2527, ch3=1615, ch4=  25, ch5= 780, ts=1714036872145581,	delta=840,
seq_no=90,	ch0=1344, ch1=  10, ch2=2385, ch3=1689, ch4= 217, ch5= 554, ts=1714036872146420,	delta=839,
seq_no=91,	ch0=1643, ch1=  92, ch2=1996, ch3=1755, ch4= 386, ch5= 330, ts=1714036872147272,	delta=852,
seq_no=92,	ch0=1912, ch1=  13, ch2=1712, ch3=1775, ch4= 590, ch5= 220, ts=1714036872148111,	delta=839,
seq_no=93,	ch0=2124, ch1=  83, ch2=1376, ch3=1712, ch4= 832, ch5=  88, ts=1714036872148954,	delta=843,
seq_no=94,	ch0=2279, ch1= 268, ch2=1015, ch3=1566, ch4=1040, ch5=   1, ts=1714036872149792,	delta=838,
seq_no=95,	ch0=2328, ch1= 523, ch2= 683, ch3=1347, ch4=1206, ch5=   0, ts=1714036872150643,	delta=851,
seq_no=96,	ch0=2312, ch1= 814, ch2= 389, ch3=1100, ch4=1332, ch5=   1, ts=1714036872151479,	delta=836,
seq_no=97,	ch0=2202, ch1=1138, ch2= 151, ch3= 833, ch4=1460, ch5=  34, ts=1714036872152322,	delta=843,
seq_no=98,	ch0=2009, ch1=1444, ch2=   0, ch3= 617, ch4=1529, ch5= 196, ts=1714036872153166,	delta=844,
seq_no=99,	ch0=1776, ch1=1743, ch2=   0, ch3= 434, ch4=1571, ch5= 394, ts=1714036872154005,	delta=839,
seq_no=100,	ch0=1600, ch1=1998, ch2=   0, ch3= 277, ch4=1522, ch5= 620, ts=1714036872154853,	delta=848,
seq_no=101,	ch0=1167, ch1=2240, ch2=  88, ch3=  98, ch4=1466, ch5= 873, ts=1714036872155695,	delta=842,
seq_no=102,	ch0= 868, ch1=2343, ch2= 241, ch3=  26, ch4=1321, ch5=1156, ts=1714036872156533,	delta=838,
seq_no=103,	ch0= 587, ch1=2332, ch2= 576, ch3=   0, ch4=1191, ch5=1242, ts=1714036872157376,	delta=843,
seq_no=104,	ch0= 322, ch1=2400, ch2= 912, ch3=   0, ch4= 906, ch5=1401, ts=1714036872158534,	delta=1158,
seq_no=105,	ch0= 109, ch1=2275, ch2=1251, ch3=  32, ch4= 667, ch5=1504, ts=1714036872159119,	delta=585,
seq_no=106,	ch0=   0, ch1=2072, ch2=1609, ch3= 183, ch4= 480, ch5=1586, ts=1714036872159923,	delta=804,
seq_no=107,	ch0=   0, ch1=1816, ch2=1932, ch3= 404, ch4= 320, ch5=1624, ts=1714036872160760,	delta=837,
seq_no=108,	ch0=   0, ch1=1520, ch2=2198, ch3= 664, ch4= 185, ch5=1607, ts=1714036872161595,	delta=835,
seq_no=109,	ch0=  73, ch1=1216, ch2=2435, ch3= 887, ch4=  64, ch5=1519, ts=1714036872162436,	delta=841,
seq_no=110,	ch0= 273, ch1= 880, ch2=2509, ch3=1134, ch4=   0, ch5=1424, ts=1714036872163289,	delta=853,
seq_no=111,	ch0= 528, ch1= 582, ch2=2607, ch3=1320, ch4=  64, ch5=1152, ts=1714036872164122,	delta=833,
