seq_no=126,	ch0=2208, ch1=1105, ch2= 110, ch3= 377, ch4= 669, ch5=  17, ts=1714036671523713,	delta=834,
seq_no=127,	ch0=1928, ch1=1474, ch2=   2, ch3= 296, ch4= 749, ch5= 130, ts=1714036671524556,	delta=843,
seq_no=128,	ch0=1748, ch1=1773, ch2=   1, ch3= 180, ch4= 759, ch5= 181, ts=1714036671525396,	delta=840,
seq_no=129,	ch0=1462, ch1=2034, ch2=   4, ch3=  96, ch4= 749, ch5= 308, ts=1714036671526239,	delta=843,
seq_no=130,	ch0=1160, ch1=2240, ch2= 107, ch3=  29, ch4= 705, ch5= 417, ts=1714036671527091,	delta=852,
seq_no=131,	ch0= 846, ch1=2380, ch2= 334, ch3=   0, ch4= 638, ch5= 520, ts=1714036671527921,	delta=830,
seq_no=132,	ch0= 555, ch1=2416, ch2= 611, ch3=   0, ch4= 530, ch5= 610, ts=1714036671528765,	delta=844,
seq_no=133,	ch0= 303, ch1=2395, ch2= 947, ch3=   0, ch4= 418, ch5= 676, ts=1714036671529609,	delta=844,
seq_no=134,	ch0=  77, ch1=2239, ch2=1280, ch3=  26, ch4= 309, ch5= 728, ts=1714036671530451,	delta=842,
seq_no=135,	ch0=   0, ch1=2044, ch2=1639, ch3= 106, ch4= 202, ch5= 752, ts=1714036671531298,	delta=847,
seq_no=136,	ch0=   0, ch1=1792, ch2=1949, ch3= 198, ch4= 137, ch5= 765, ts=1714036671532132,	delta=834,
seq_no=137,	ch0=   0, ch1=1472, ch2=2153, ch3= 321, ch4=  37, ch5= 837, ts=1714036671532974,	delta=842,
seq_no=138,	ch0= 137, ch1=1231, ch2=2432, ch3= 469, ch4=   0, ch5= 666, ts=1714036671533817,	delta=843,
seq_no=139,	ch0= 405, ch1= 847, ch2=2604, ch3= 562, ch4=   0, ch5= 617, ts=1714036671534664,	delta=847,
seq_no=140,	ch0= 542, ch1= 552, ch2=2611, ch3= 656, ch4=   0, ch5= 538, ts=1714036671535504,	delta=840,
seq_no=141,	ch0= 844, ch1= 284, ch2=2559, ch3= 737, ch4=   0, ch5= 419, ts=1714036671536343,	delta=839,
